        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,Ed_Transportation ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis ,Seco_E_e+_LeptsPositronium ,
        -2.5e-05 ,         510.383 ,     1.49918e+06 ,          569390 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
         2.5e-05 ,         415.698 ,     1.49406e+06 ,     3.68412e+07 ,               0 ,     1.88304e+08 ,         44684.8 ,          420701 ,         260.319 ,     3.40297e+08 ,     3.97016e+06 ,          152242 ,         1775.76 ,               2 ,        0.459822 ,          269256 ,     2.59236e+06 ,             258 ,         2646.33 ,             691 ,         43201.9 ,          442824 ,     5.58401e+06 ,          558829 ,     7.04683e+06 ,             686 ,          102361 ,           12749 ,     1.61867e+07 ,            3925 ,          137375 ,          895381 ,         8048.97 ,           77020 ,          575051 ,               1 ,         3.82503 ,               8 ,         233.881 ,          180443 ,               0 ,
         7.5e-05 ,         416.036 ,     1.48442e+06 ,     3.70174e+07 ,               0 ,     1.96614e+08 ,         46661.2 ,          420821 ,         263.933 ,     3.55123e+08 ,     4.14309e+06 ,          153566 ,         1792.64 ,               0 ,               0 ,          279288 ,     2.68607e+06 ,             249 ,         2574.65 ,            1765 ,         96840.1 ,          457914 ,      5.7743e+06 ,          561402 ,     7.07928e+06 ,             791 ,          119080 ,           12869 ,     1.63201e+07 ,            3884 ,          135940 ,          931978 ,         8354.53 ,           80924 ,          602692 ,               0 ,               0 ,               5 ,         330.005 ,          164656 ,               0 ,
        0.000125 ,         415.772 ,     1.47686e+06 ,     3.70995e+07 ,               0 ,     1.97798e+08 ,           46924 ,          419246 ,         258.839 ,     3.57292e+08 ,      4.1684e+06 ,          154244 ,         1800.31 ,               0 ,               0 ,          280380 ,     2.69738e+06 ,             263 ,         2673.93 ,            3006 ,          174892 ,          459119 ,     5.78949e+06 ,          566164 ,     7.13933e+06 ,             765 ,          111028 ,           12799 ,     1.62169e+07 ,            3840 ,          134400 ,          936849 ,          8404.8 ,           81486 ,          607420 ,               0 ,               0 ,               2 ,         253.142 ,          177187 ,               0 ,
        0.000175 ,         416.002 ,     1.46884e+06 ,     3.73949e+07 ,               0 ,     1.99116e+08 ,         47242.1 ,          419998 ,         260.234 ,     3.59586e+08 ,     4.19515e+06 ,          155558 ,         1814.51 ,               3 ,         0.77789 ,          282003 ,      2.7116e+06 ,             254 ,          2701.1 ,            4482 ,          263591 ,          463996 ,     5.85099e+06 ,          570095 ,      7.1889e+06 ,             806 ,          120062 ,           12845 ,     1.62501e+07 ,            3931 ,          137585 ,          944700 ,         8462.05 ,           82605 ,          616183 ,               1 ,       0.0214214 ,               6 ,         252.331 ,          184706 ,               0 ,
        0.000225 ,         416.328 ,     1.46097e+06 ,     3.79843e+07 ,               0 ,     2.00504e+08 ,           47606 ,          420230 ,         262.041 ,     3.61996e+08 ,     4.22332e+06 ,          156041 ,         1820.27 ,               1 ,        0.245385 ,          284757 ,     2.74025e+06 ,             260 ,         2668.96 ,            6044 ,          355382 ,          466585 ,     5.88364e+06 ,          572114 ,     7.21436e+06 ,             782 ,          115854 ,           13166 ,     1.66364e+07 ,            3957 ,          138495 ,          949338 ,         8507.58 ,           82566 ,          615473 ,               0 ,               0 ,               4 ,         257.666 ,          178389 ,               0 ,
        0.000275 ,         416.539 ,     1.45207e+06 ,     3.78762e+07 ,               0 ,     2.01505e+08 ,         47860.6 ,          420810 ,         256.859 ,     3.63699e+08 ,     4.24318e+06 ,          157895 ,         1842.43 ,               7 ,          1.8691 ,          285419 ,     2.74371e+06 ,             267 ,          2726.6 ,            7898 ,          459202 ,          467744 ,     5.89825e+06 ,          576335 ,     7.26758e+06 ,             766 ,          112669 ,           12943 ,      1.6329e+07 ,            3900 ,          136500 ,          953029 ,         8536.64 ,           83704 ,          624124 ,               3 ,         4.42486 ,              11 ,         762.057 ,          193991 ,               0 ,
        0.000325 ,         416.124 ,     1.44251e+06 ,     3.86526e+07 ,               0 ,     2.03806e+08 ,         48359.1 ,          420468 ,         260.761 ,     3.68025e+08 ,     4.29361e+06 ,          159554 ,         1861.35 ,              14 ,         4.58748 ,          289445 ,     2.78313e+06 ,             270 ,         2771.04 ,            9987 ,          600089 ,          475431 ,     5.99518e+06 ,          581420 ,     7.33171e+06 ,             838 ,          127867 ,           13247 ,     1.66844e+07 ,            4099 ,          143465 ,          966243 ,         8656.18 ,           84452 ,          630520 ,               5 ,         1.83778 ,              15 ,         740.187 ,          203652 ,               0 ,
        0.000375 ,         415.939 ,     1.43439e+06 ,     3.90691e+07 ,               0 ,      2.0517e+08 ,         48679.5 ,          418657 ,         257.432 ,     3.70601e+08 ,     4.32362e+06 ,          161037 ,         1878.04 ,              15 ,         4.27263 ,          290779 ,     2.79679e+06 ,             291 ,         3008.45 ,           11904 ,          687877 ,          478092 ,     6.02874e+06 ,          585299 ,     7.38062e+06 ,             804 ,          119729 ,           13444 ,     1.69024e+07 ,            4041 ,          141435 ,          972425 ,         8714.65 ,           83845 ,          624991 ,               3 ,       0.0377796 ,              12 ,         364.968 ,          182743 ,               0 ,
        0.000425 ,         416.276 ,     1.42592e+06 ,     3.91018e+07 ,               0 ,     2.06419e+08 ,         49002.6 ,          419406 ,         263.892 ,     3.72559e+08 ,     4.34649e+06 ,          161591 ,         1886.67 ,               8 ,          2.3802 ,          290596 ,     2.79475e+06 ,             327 ,         3366.38 ,           14222 ,          840562 ,          478211 ,     6.03024e+06 ,          590157 ,     7.44188e+06 ,             805 ,          120622 ,           13290 ,      1.6688e+07 ,            3956 ,          138460 ,          975533 ,         8756.26 ,           85296 ,          636716 ,               5 ,        0.519467 ,              13 ,         771.465 ,          195942 ,               0 ,
