
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
  -0.5        0      0        0         0        0           0               0               0               0
   0.5      154      0        0         0        0         830             500             560             280
   1.5   191545     20        0         0        0        1740            1180            1091             710
   2.5   191479     30       18        10        0        2163            1630            1581            1020
   3.5   193583      0        9         2        0        2710            1751            1750            1250
   4.5   191515     50       18         0        0        2997            2381            2229            1330
   5.5   192269     20       30         9        9        3340            2704            2331            1700
   6.5   191904    100       29        20        1        3702            3072            2291            1760
   7.5   192340     80       14         9        0        4001            3044            2820            1880
   8.5   192390    110       55        18        0        4162            3540            2994            2380
   9.5   194757     60       31         9        0        4517            3832            3002            2120
  10.5   191779    260       32        28        3        5080            3814            3147            2531
  11.5   193579    130       67        19        0        4985            4410            3820            2410
  12.5   193108    120       77         2        1        5458            4560            4261            2620
  13.5   193975    210       24        23        9        5386            4850            4326            2632
  14.5   192622    260       57         3        0        6235            5389            3990            2830
  15.5   194824    310      126         2       10        6030            5364            4362            2773
  16.5   192503    220       98        13        0        6349            5742            4450            3271
  17.5   193600    380       62        10       12        7024            5811            4888            3550
  18.5   192618    400      107        13       10        6860            5775            5029            3340
  19.5   194171    240       65        31       18        6623            6250            4844            3480
  20.5   180351    370       82        31        2        7211            6441            5883            3382
  21.5   187259    290       92        23        0        7820            6405            5249            3642
  22.5   182099    550      103        59        1        7923            7437            5919            3924
  23.5   177801    400       46        91       11        8471            7316            6004            4070
  24.5   184511    490      135        84        1        8477            6957            5672            4156
  25.5   176998    480      161        67       11        8620            7410            5866            4130
  26.5   174913    400      216        49        3        9255            7661            6199            4520
  27.5   178586    550      245        42       10        9239            7760            6370            4463
  28.5   176187    600      211        43        7        9018            7862            6282            4471
  29.5   176328    610      187        24       45        9559            8076            6638            4481
  30.5   176438    670      296        32       29        9844            7664            6980            4664
  31.5   177343    680      239        60       20        9423            8469            6960            4812
  32.5   174934    840      264        64       38        9819            8917            7433            4842
  33.5   174282    750      154        86       11        9988            8683            7358            5050
  34.5   175896    790      202        35        0       10155            8696            7235            4810
  35.5   176908    760      274        49       20       10764            9333            7567            5122
  36.5   175307    790      197        86       10       11114            8935            7714            5302
  37.5   176771   1060      216        86       22       11443            9153            7819            5011
  38.5   179799   1010      246        70       10       10675            9298            7735            5120
  39.5   173859    980      196        91       31       11241           10177            8002            5458
  40.5   181314   4470     3610      1838      800       11912           11074            9696            6176
  41.5   176076   5270     3826      2359     1060       12431           10673            9743            6640
  42.5   178347   5090     3982      2431     1163       11658           10914            9200            6772
  43.5   184251   5320     3622      2403     1134       12602           11548            9752            6542
  44.5   182869   5200     3595      2742     1106       12481           11100            9733            6934
