
#A            B      C
#E(keV)     el0   el20
	       
  -0.5        0      0          -500               0 
   0.5      154      0	         500              50 
   1.5   191545     20	        1500             940 
   2.5   191479     30	        2500             380 
   3.5   193583      0	        3500             370 
   4.5   191515     50	        4500             200 
   5.5   192269     20	        5500             190 
   6.5   191904    100	        6500             270 
   7.5   192340     80	        7500             230 
   8.5   192390    110	        8500             420 
   9.5   194757     60	        9500             783 
  10.5   191779    260	       10500             360 
  11.5   193579    130	       11500             940 
  12.5   193108    120	       12500             230 
  13.5   193975    210	       13500             320 
  14.5   192622    260	       14500             240 
  15.5   194824    310	       15500             240 
  16.5   192503    220	       16500             220 
  17.5   193600    380	       17500             310 
  18.5   192618    400	       18500             350 
  19.5   194171    240	       19500             260 
  20.5   180351    370	       20500             280 
  21.5   187259    290	       21500             340 
  22.5   182099    550	       22500             332 
  23.5   177801    400	       23500             390 
  24.5   184511    490	       24500             490 
  25.5   176998    480	       25500             570 
  26.5   174913    400	       26500             530 
  27.5   178586    550	       27500             470 
  28.5   176187    600	       28500             500 
  29.5   176328    610	       29500             330 
  30.5   176438    670	       30500             410 
  31.5   177343    680	       31500             620 
  32.5   174934    840	       32500             410 
  33.5   174282    750	       33500             460 
  34.5   175896    790	       34500             500 
  35.5   176908    760	       35500             520 
  36.5   175307    790	       36500             510 
  37.5   176771   1060	       37500             560 
  38.5   179799   1010	       38500             550 
  39.5   173859    980	       39500             490 
  40.5   181314   4470	       40500             480 
  41.5   176076   5270	       41500             560 
  42.5   178347   5090	       42500             460 
  43.5   184251   5320	       43500             580 
  44.5   182869   5200	       44500             560 
  45.5   183554   5180	       45500             470 
  46.5   183443   4940	       46500             510 
  47.5   181574   4960	       47500             375 
  48.5   180871   5050	       48500             360 
  49.5   189550   4860	       49500             320 
  50.5   184259   4690	       50500             460 
  51.5   185599   4690	       51500             461 
  52.5   188796   4950	       52500             540 
  53.5   191913   4680	       53500             571 
  54.5   192090   4973	       54500             460 
  55.5   194188   4890	       55500             410 
  56.5   196215   4680	       56500             463 
  57.5   192563   4380	       57500             655 
  58.5   193749   4630	       58500             460 
  59.5   196000   4960	       59500             483 
  60.5   193529   4840	       60500             443 
  61.5   194966   4830	       61500             343 
  62.5   196082   4400	       62500             514 
  63.5   192743   4410	       63500             240 
  64.5   189329   4640	       64500             413 
  65.5   193357   4310	       65500             372 
  66.5   189632   4740	       66500             620 
  67.5   193176   8597	       67500             830 
  68.5   194337   4740	       68500             380 
  69.5   192757   9451	       69500             870 
  70.5   195440   4240	       70500             420 
  71.5   196810   4760	       71500             480 
  72.5   198733   4410	       72500             400 
  73.5   201888   4460	       73500             540 
  74.5   204166   4330	       74500             420 
  75.5   200974   4560	       75500             460 
  76.5   203869   4030	       76500             350 
  77.5   203263   4900	       77500             395 
  78.5   198961   5830	       78500             580 
  79.5   201562   4530	       79500             540 
  80.5   202758   5260	       80500             460 
  81.5   208609   4520	       81500             450 
  82.5   206831   4150	       82500             370 
  83.5   211606   4551	       83500             450 
  84.5   208233   3990	       84500             360 
  85.5   207552   4460	       85500             463 
  86.5   211381   4120	       86500             440 
  87.5   210440   4390	       87500             470 
  88.5   211712   3840	       88500             490 
  89.5   210279   4130	       89500             610 
  90.5   208054   4470	       90500             462 
  91.5   213833   4510	       91500             410 
  92.5   217909   4420	       92500             372 
  93.5   216626   4280	       93500             415 
  94.5   217169   4490	       94500             473 
  95.5   216667   4780	       95500             480 
  96.5   212190   4350	       96500             610 
  97.5   217047   4960	       97500             380 
  98.5   218296   4610	       98500             600 
  99.5   213814   4730	       99500             440 
 100.5   216961   4550	      100500             501 
 101.5   225314   4730	      101500             480 
 102.5   220119   4770	      102500             520 
 103.5   217977   4990	      103500             470 
 104.5   223062   4850	      104500             470 
 105.5   224769   5100	      105500             512 
 106.5   224972   4670	      106500             520 
 107.5   224784   5150	      107500             400 
 108.5   230580   5160	      108500             410 
 109.5   223065   5330	      109500             550 
 110.5   220949   5090	      110500             480 
 111.5   227747   4840	      111500             500 
 112.5   226897   5360	      112500             560 
 113.5   223365   4920	      113500             690 
 114.5   227135   4860	      114500             510 
 115.5   227475   5260	      115500             590 
 116.5   227063   4910	      116500             430 
 117.5   231529   5360	      117500             560 
