
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
  -0.5            0      0            0              0
   0.5           22      0          830              0
   1.5        19086     20         1740             10
   2.5        19127     30         2163              1
   3.5        19257      0         2710            315
   4.5        18984     50         2997            217
   5.5        19323     20         3340            375
   6.5        19395    100         3702           1173
   7.5        19322     80         4001           1427
   8.5        19186    110         4162           3465
   9.5        19337     60         4517           5361
  10.5        19242    260         5080           4060
  11.5        19220    130         4985           5129
  12.5        19271    120         5458           5362
  13.5        19398    210         5386           5451
  14.5        19373    260         6235           7048
  15.5        19006    310         6030           5998
  16.5        19414    220         6349           7757
  17.5        19064    380         7024           9142
  18.5        19442    400         6860           6930
  19.5        19501    240         6623           7284
  20.5        18351    370         7211           6859
  21.5        18441    290         7820          10005
  22.5        18314    550         7923           8093
  23.5        17774    400         8471           8051
  24.5        18156    490         8477           9608
  25.5        17851    480         8620           9513
  26.5        17461    400         9255           7847
  27.5        17753    550         9239           8697
  28.5        17649    600         9018           9123
  29.5        17601    610         9559           9112
  30.5        17663    670         9844           8861
  31.5        18026    680         9423          10369
  32.5        17502    840         9819          10400
  33.5        17599    750         9988           9808
  34.5        17692    790        10155           9526
  35.5        17777    760        10764           9792
  36.5        17731    790        11114          10785
  37.5        17691   1060        11443          10232
  38.5        17873   1010        10675          11059
  39.5        17488    980        11241          11608
  40.5        18038   4470        11912          10060
  41.5        17612   5270        12431          11743
  42.5        17991   5090        11658          12267
  43.5        18464   5320        12602          13173
  44.5        18421   5200        12481          11106
  45.5        18374   5180        13200          13081
  46.5        18587   4940        12965          12992
  47.5        17909   4960        13404          14502
  48.5        18452   5050        13351          14162
  49.5        19078   4860        12900          12587
  50.5        18474   4690        13484          14253
  51.5        18619   4690        13261          14412
  52.5        18679   4950        14318          14321
  53.5        19179   4680        13725          14774
  54.5        19331   4973        14034          13057
  55.5        19667   4890        14154          14996
  56.5        19749   4680        14629          13300
  57.5        19407   4380        14707          15092
  58.5        19205   4630        14781          13932
  59.5        19263   4960        14552          13615
  60.5        19419   4840        15657          14388
  61.5        19392   4830        15108          13803
  62.5        19782   4400        14755          15708
  63.5        19030   4410        14631          15094
  64.5        19147   4640        15458          15323
  65.5        19342   4310        16003          15309
  66.5        19170   4740        15842          12989
  67.5        19412   8597        15723          15271
  68.5        19187   4740        15879          13365
  69.5        19389   9451        16072          14182
  70.5        19221   4240        16191          13919
  71.5        19741   4760        15683          13995
  72.5        20055   4410        16613          16017
  73.5        20343   4460        16181          17465
  74.5        20701   4330        16503          15007
  75.5        20011   4560        16929          15624
  76.5        20530   4030        16350          16871
  77.5        20256   4900        17526          18366
  78.5        20211   5830        16988          14308
  79.5        19939   4530        17858          18290
  80.5        20072   5260        17643          17450
  81.5        20797   4520        17520          18064
  82.5        20688   4150        16939          21278
  83.5        20983   4551        17546          17269
  84.5        21027   3990        17335          17714
  85.5        20847   4460        17748          17702
  86.5        21228   4120        17135          19502
  87.5        20998   4390        17287          18540
  88.5        20962   3840        18175          19308
  89.5        20922   4130        17956          21406
  90.5        20948   4470        17383          19984
  91.5        21166   4510        18308          20188
  92.5        21942   4420        18066          20645
  93.5        21756   4280        18172          21567
  94.5        21847   4490        17473          19384
  95.5        21497   4780        18425          19859
  96.5        21468   4350        18949          21508
  97.5        21580   4960        18808          23969
  98.5        22017   4610        18138          22149
  99.5        21913   4730        18674          20716
 100.5        21583   4550        19035          26500
 101.5        22593   4730        18951          22606
 102.5        21945   4770        18876          21591
 103.5        21564   4990        19286          22666
 104.5        22302   4850        18917          24157
 105.5        22241   5100        18968          21691
 106.5        22354   4670        18934          21100
 107.5        22525   5150        18743          22763
 108.5        23114   5160        19302          24903
 109.5        22207   5330        19526          22904
 110.5        22192   5090        18206          22281
 111.5        22864   4840        18764          22272
 112.5        22637   5360        19713          24586
 113.5        22484   4920        18889          23858
 114.5        22830   4860        19860          23773
 115.5        22835   5260        19590          25418
 116.5        22713   4910        19877          22021
 117.5        23459   5360        19959          24138
 118.5        23043   5280        20176          24978
 119.5        22583   5530        19351          24285
 120.5        23064   5410        19672          24089
 121.5        23333   5182        18842          25605
 122.5        23069   5370        20105          26167
 123.5        23458   5600        19147          22780
 124.5        22987   5610        20615          24391
 125.5        23227   5280        18775          23495
 126.5        23221   5940        20156          21274
 127.5        23015   6080        19562          23444
 128.5        23788   5877        20228          20796
 129.5        23536   5520        20347          22786
 130.5        23454   6120        19970          23561
 131.5        23099   6391        20363          24500
 132.5        23770   5930        19199          25488
 133.5        23440   6170        19989          21608
 134.5        23706   6040        20173          21840
 135.5        23663   6310        20646          24572
 136.5        23468   6320        19473          22923
 137.5        23976   6020        20262          23879
 138.5        23912   6100        20411          22810
 139.5        23827   6080        21272          23224
 140.5        23929   6780        20379          24436
 141.5        23525   6540        20583          24617
 142.5        24221   6580        20160          24536
 143.5        23770   6210        21223          25839
 144.5        24309   6294        19718          23581
 145.5        23992   6620        21029          22353
 146.5        24337   6970        20573          25080
 147.5        23689   6160        20844          25466
 148.5        24629   6410        20521          21108
 149.5        24000   6350        20398          22517
 150.5        23656   7030        21015          22335
 151.5        23978   6550        20294          23631
 152.5        24603   7280        21177          23819
 153.5        24304   6670        20866          23989
 154.5        24049   7150        20998          24192
 155.5        24602   6840        21176          24523
 156.5        24510   7240        21156          24897
 157.5        24399   7280        20332          21216
 158.5        24618   6910        21242          24119
 159.5        24301   7340        20740          26928
 160.5        24431   7470        20619          24268
 161.5        23601   7150        21187          24091
 162.5        24336   7380        20851          22403
 163.5        24274   6860        19984          22362
 164.5        24467   7730        20738          22531
 165.5        24169   7470        20636          24097
 166.5        24508   7632        20782          21867
 167.5        24219   7217        20194          25722
 168.5        24874   8403        20887          23366
 169.5        24582   7970        20781          24040
 170.5        24719   8300        20854          22897
 171.5        24790   7610        20674          23357
 172.5        24547   7691        21161          24452
 173.5        24165   7750        20589          19917
 174.5        24087   8130        20704          23223
 175.5        24247   7900        20538          25937
 176.5        24841   7934        20627          22749
 177.5        24284   8280        20451          23670
 178.5        25115   8050        20360          24996
 179.5        24719   8190        20670          21708
 180.5        23982   8640        20161          24683
 181.5        24765   8700        21061          27530
 182.5        24478   8340        20997          23919
 183.5        24230   8530        20649          23050
 184.5        24395   8660        20092          24648
 185.5        24241   8620        20480          23629
 186.5        24216   8490        20247          21430
 187.5        24641   8383        20909          26218
 188.5        24758   8680        20846          25390
 189.5        24835   8720        21085          23433
 190.5        24161   8710        20609          24213
