#water
#E(eV)     SP(Ed)    SP(El)

00003   0.528207 0.528207
00004   0.638298 0.638298
00005   0.820539 0.820539
00007   1.77364  1.77364
00010   1.53473  1.53473
00015   22.7085  23.3013
00020   68.6753  75.9655
00030   155.847  186.306
00070   196.704  319.928
00500   65.1349  140.42
00700   58.7186  143.423
01000   46.1522  111.018
01500   33.5461  80.3263
02000   27.4614  64.8755
03000   19.3567  46.375
04000   14.4774  35.9262
05000   11.7971  29.5296
07000   9.20125  22.0454
10000   6.66583  16.1432



#pyrimidine
#E(eV)     SP(Ed)    SP(El)

00002   1.41434      1.41434
00003   1.33907      1.33907
00004   1.29988      1.29988
00005   1.14246      1.14246
00007   0.841025      0.841025
00010   8.92016      8.93093
00015   18.4896      22.3181
00020   31.9726      46.4586
00030   53.543      86.3776
00040   68.8489      111.611
00050   98.8288      145.343
00070   132.859      243.02
00100   126.146      242.866
00150   106.166      216.953
00200   93.7759      194.008
00300   83.4299      161.622
00400   72.5627      137.593
00500   62.5505      120.475
00700   49.3926      96.4386
01000   38.8535      75.8693
01500   30.732      59.7048
02000   23.2935      45.5346
03000   16.7104      32.3343
04000   13.3017      25.8391
05000   10.7568      21.0481
07000   8.06818      16.2856
10000   5.41701      10.7076
