
   x(um)    WaterEdep(eV)   PyriEdep(eV)

    0.01     5.05242e+06     3.89803e+06
    0.03     5.43295e+06     4.07888e+06
    0.05     5.56004e+06      4.1243e+06
    0.07     5.67902e+06     4.16753e+06
    0.09     5.80233e+06     4.23792e+06
    0.11      5.9417e+06     4.28607e+06
    0.13     6.14425e+06     4.34839e+06
    0.15     6.31275e+06     4.40485e+06
    0.17     6.53013e+06     4.48716e+06
    0.19      6.7563e+06     4.56552e+06
    0.21     6.87946e+06     4.59893e+06
    0.23     7.14547e+06     4.71377e+06
    0.25     7.40713e+06     4.81031e+06
    0.27     7.68918e+06     4.87903e+06
    0.29     7.94131e+06     4.98831e+06
    0.31     8.28388e+06     5.12481e+06
    0.33     8.59803e+06     5.24141e+06
    0.35     8.96585e+06     5.34024e+06
    0.37     9.34992e+06     5.45714e+06
    0.39      9.7673e+06     5.58741e+06
    0.41     1.01101e+07     5.71457e+06
    0.43     1.04263e+07     5.89307e+06
    0.45     1.08473e+07     6.03934e+06
    0.47     1.13375e+07     6.18555e+06
    0.49      1.1719e+07     6.37124e+06
    0.51     1.19613e+07     6.53273e+06
    0.53     1.24722e+07     6.70978e+06
    0.55     1.27547e+07     6.89342e+06
    0.57     1.30947e+07      7.1371e+06
    0.59     1.33211e+07     7.36159e+06
    0.61     1.34179e+07     7.62158e+06
    0.63     1.36127e+07     7.86234e+06
    0.65     1.36484e+07     8.04355e+06
    0.67     1.37013e+07     8.31965e+06
    0.69     1.35541e+07     8.58038e+06
    0.71     1.35048e+07     8.81598e+06
    0.73     1.32978e+07     9.08175e+06
    0.75     1.28963e+07     9.24126e+06
    0.77     1.25809e+07     9.51465e+06
    0.79     1.21573e+07     9.83872e+06
    0.81     1.15538e+07     1.00987e+07
    0.83     1.10322e+07     1.04213e+07
    0.85     1.02775e+07     1.06721e+07
    0.87     9.62469e+06     1.09268e+07
    0.89     8.85139e+06      1.1148e+07
    0.91     8.00469e+06     1.13993e+07
    0.93     7.34623e+06     1.14605e+07
    0.95      6.5081e+06      1.1504e+07
    0.97     5.74943e+06     1.15234e+07
    0.99     4.97441e+06     1.14817e+07
    1.01     4.29162e+06     1.13372e+07
    1.03      3.7103e+06     1.10668e+07
    1.05     3.12102e+06     1.06958e+07
    1.07     2.52201e+06     1.03679e+07
    1.09     2.08311e+06     9.78823e+06
    1.11     1.68435e+06     9.13844e+06
    1.13     1.32936e+06     8.44708e+06
    1.15     1.00705e+06     7.71272e+06
    1.17          793739     6.90701e+06
    1.19          574886     6.06816e+06
    1.21          437624     5.30755e+06
    1.23          315738     4.48289e+06
    1.25          235948     3.77723e+06
    1.27          155511     3.15096e+06
    1.29          123111     2.57739e+06
    1.31         71567.1      2.0217e+06
    1.33         50129.3      1.5758e+06
    1.35         35695.9     1.26858e+06
    1.37         25093.7          935293
    1.39           16082          684825
    1.41         7687.34          498929
    1.43         4087.55          356880
    1.45         2057.52          242556
    1.47         3235.73          175564
    1.49         1423.82          135260
    1.51         143.175         95401.2
    1.53               0         58961.2
    1.55               0         41667.4
    1.57               0         27277.4
    1.59               0         14490.8
    1.61               0         9687.43
    1.63               0         4452.55
    1.65               0         2917.71
    1.67               0         517.625
    1.69               0         517.125
    1.71               0         113.247
    1.73               0         43.2175
    1.75               0         90.8039
    1.77               0         167.104
    1.79               0           99.72
    1.81               0         255.803
    1.83               0          66.594
    1.85               0         195.761
    1.87               0         258.813
    1.89               0         617.266
    1.91               0         19.4152
    1.93               0               0
    1.95               0               0
    1.97               0               0
    1.99               0               0






































































































