# E(eV)    StopPower(MeV*cm2/g)
#          pyrimid       water       water-G4DNA

00001      0             1.94477     	  
00002      1.41495       0.757864    	  
00003      1.34038       0.531166    	  
00004      1.2992        0.638129    	  
00005      1.14215       0.822206    
00007      0.844945      1.76869     
00010      8.86947       1.55057     1.16408
00015      23.2822       23.1893     14.8209
00020      48.2074       76.0274     37.8482
00030      88.8139       186.439     77.826 
00040      116.488       254.418     117.767
00050      152.51        295.365     155.796
00070      246.85        321.857     202.813
00100      242.676       312.008     234.748
00150      217.644       268.405     240.33 
00200      198.39        237.411     230.394
00300      164.057       192.079     203.646
00400      138.722       160.905     179.972
00500      123.23        141.377     161.024
00700      98.3245       127.28      133.768
01000      75.8889       97.7727     108.559
01500      60.0283       70.7332     86.4318
02000      45.6989       57.0218     70.3079
03000      32.2025       40.8061     53.6538
04000      25.9446       31.4664     43.3687
05000      21.0783       25.9539     37.4966
07000      16.4715       19.3974     29.1634
10000      10.9578       14.5292     23.2509

