#Table:
        #x(mm) ,           NoInt ,           EdepX ,               E ,   EdepX UnkNown ,        EdepX e- ,  UserSpecialCut ,  Transportation ,         Elastic ,      ExcitRotat ,      Excitation ,     DissocNeutr ,            Ioni ,            Rayl ,           compt ,            phot ,
            -0.5 ,               0 ,               0 ,          155725 ,               0 ,               0 ,               0 ,           11371 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             0.5 ,          297268 ,               0 ,          113957 ,               0 ,               0 ,               0 ,               9 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             1.5 ,             361 ,               0 ,           89481 ,               0 ,               0 ,               0 ,              10 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             2.5 ,            8000 ,               0 ,         69603.2 ,               0 ,               0 ,               0 ,               5 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             3.5 ,           17600 ,               0 ,          110250 ,               0 ,               0 ,               0 ,               8 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             4.5 ,           56183 ,               0 ,          157125 ,               0 ,               0 ,               0 ,            2512 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
             5.5 ,          229349 ,          191300 ,         54200.2 ,          112161 ,         79139.4 ,            4851 ,            7738 ,            3813 ,            1836 ,             131 ,             982 ,            4579 ,               3 ,             266 ,               0 ,
             6.5 ,          108759 ,          158779 ,         5928.65 ,         95898.2 ,         62880.9 ,            3945 ,              33 ,            3073 ,            1494 ,              84 ,             745 ,            3700 ,               5 ,             236 ,               0 ,
             7.5 ,            6505 ,          165126 ,         5943.56 ,         98104.9 ,         67020.8 ,            4169 ,              29 ,            3129 ,            1548 ,             102 ,             771 ,            3914 ,               6 ,             251 ,               0 ,
             8.5 ,          279017 ,          186279 ,          5727.1 ,          109343 ,         76935.8 ,            4712 ,              44 ,            3650 ,            1731 ,              88 ,             870 ,            4441 ,               1 ,             265 ,               0 ,
             9.5 ,              15 ,          209776 ,         5836.41 ,          125858 ,         83917.5 ,            5210 ,              39 ,            3876 ,            1907 ,             103 ,             981 ,            4895 ,               4 ,             301 ,               0 ,
            10.5 ,            7985 ,          177951 ,         5968.34 ,          106729 ,         71222.2 ,            4414 ,              44 ,            3331 ,            1673 ,             114 ,             836 ,            4128 ,               4 ,             274 ,               0 ,
            11.5 ,           15987 ,          166513 ,         6127.57 ,          100181 ,         66331.2 ,            4110 ,              53 ,            3178 ,            1527 ,              97 ,             787 ,            3840 ,               3 ,             259 ,               0 ,
            12.5 ,               2 ,          182248 ,         5924.47 ,          107540 ,         74707.8 ,            4612 ,              41 ,            3594 ,            1675 ,             116 ,             900 ,            4325 ,               3 ,             280 ,               0 ,
            13.5 ,               0 ,          215139 ,         8188.32 ,          129105 ,         86033.9 ,            5492 ,              41 ,            4261 ,            2042 ,              88 ,             996 ,            5184 ,               4 ,             283 ,               1 ,
            14.5 ,               0 ,          171120 ,            6032 ,          103132 ,           67988 ,            4364 ,              53 ,            3472 ,            1630 ,             102 ,             805 ,            4087 ,               4 ,             269 ,               0 ,
            15.5 ,               0 ,          161754 ,         6162.94 ,         94943.3 ,         66810.4 ,            3980 ,              55 ,            3109 ,            1355 ,              76 ,             795 ,            3722 ,               7 ,             244 ,               0 ,
            16.5 ,               0 ,          162403 ,         6140.06 ,         95310.5 ,         67092.8 ,            3953 ,              47 ,            3137 ,            1391 ,              83 ,             815 ,            3705 ,               6 ,             242 ,               0 ,
            17.5 ,               0 ,          198177 ,         8437.59 ,          117268 ,         80908.9 ,            5064 ,              36 ,            3972 ,            1723 ,              93 ,             968 ,            4788 ,              15 ,             262 ,               1 ,
            18.5 ,               0 ,          175854 ,         5960.25 ,          105543 ,         70310.9 ,            4401 ,              65 ,            3366 ,            1657 ,             107 ,             824 ,            4135 ,               2 ,             256 ,               0 ,
            19.5 ,               0 ,          168307 ,         5891.68 ,          101556 ,         66750.9 ,            4261 ,              48 ,            3353 ,            1561 ,              88 ,             753 ,            3986 ,               3 ,             260 ,               0 ,
            20.5 ,               0 ,          165664 ,         6256.99 ,         99290.7 ,         66373.1 ,            4199 ,              50 ,            3200 ,            1528 ,              88 ,             799 ,            3936 ,               9 ,             254 ,               0 ,
            21.5 ,               0 ,          177877 ,         8083.89 ,          105670 ,         72207.5 ,            4544 ,              57 ,            3504 ,            1621 ,              90 ,             847 ,            4283 ,               4 ,             249 ,               1 ,
            22.5 ,               0 ,          157689 ,         8896.64 ,         93929.6 ,         63759.9 ,            4066 ,              56 ,            3118 ,            1401 ,              86 ,             717 ,            3846 ,               5 ,             212 ,               1 ,
            23.5 ,               0 ,          165669 ,         6249.76 ,         99842.1 ,         65826.5 ,            4033 ,              49 ,            3073 ,            1532 ,              85 ,             802 ,            3761 ,               4 ,             259 ,               0 ,
            24.5 ,               0 ,          157959 ,         6199.17 ,         94257.7 ,         63701.7 ,            3865 ,              48 ,            2898 ,            1353 ,              72 ,             782 ,            3613 ,               5 ,             239 ,               0 ,
