#Table:
        #x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  UserSpecialCut ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
          -1e-05 ,               0 ,               0 ,               0 ,               0 ,               0 ,     2.25856e+09 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
           1e-05 ,     2.89435e+08 ,         27950.3 ,     1.53405e+08 ,     1.36002e+08 ,          488508 ,     7.56279e+08 ,     1.44689e+09 ,     2.71044e+09 ,     4.84462e+07 ,     1.34774e+06 ,     5.12231e+06 ,     1.09656e+07 ,          516664 ,             800 ,            5486 ,
           3e-05 ,     3.24071e+08 ,         40579.4 ,     1.84509e+08 ,     1.39522e+08 ,          707725 ,            3199 ,     1.99163e+09 ,     3.81883e+09 ,     6.63013e+07 ,     1.54709e+06 ,     5.52458e+06 ,     1.15557e+07 ,          683825 ,            1344 ,            6741 ,
           5e-05 ,     3.30902e+08 ,         41792.2 ,     1.88309e+08 ,     1.42552e+08 ,          728936 ,            3154 ,     2.04138e+09 ,     3.92033e+09 ,     6.79157e+07 ,     1.57494e+06 ,     5.63675e+06 ,     1.17621e+07 ,          697080 ,            1558 ,            7438 ,
           7e-05 ,     3.36334e+08 ,         42455.7 ,     1.91288e+08 ,     1.45003e+08 ,          740457 ,            3196 ,     2.07302e+09 ,      3.9817e+09 ,     6.89909e+07 ,      1.5994e+06 ,     5.73639e+06 ,     1.19417e+07 ,          710089 ,            1703 ,            7880 ,
           9e-05 ,     3.42036e+08 ,         43058.2 ,     1.94311e+08 ,     1.47683e+08 ,          751448 ,            3297 ,     2.10556e+09 ,     4.04418e+09 ,     7.00582e+07 ,     1.62678e+06 ,     5.84008e+06 ,     1.21353e+07 ,          718860 ,            1867 ,            8400 ,
         0.00011 ,     3.47509e+08 ,         43705.4 ,     1.97055e+08 ,      1.5041e+08 ,          762267 ,            3179 ,     2.13585e+09 ,     4.10257e+09 ,     7.10641e+07 ,     1.65022e+06 ,     5.93971e+06 ,     1.23084e+07 ,          729251 ,            1903 ,            8842 ,
         0.00013 ,     3.53428e+08 ,         44486.6 ,     2.00112e+08 ,     1.53272e+08 ,          775014 ,            3157 ,      2.1685e+09 ,     4.16516e+09 ,     7.21574e+07 ,     1.67524e+06 ,     6.04968e+06 ,     1.24987e+07 ,          740663 ,            2074 ,            9424 ,
         0.00015 ,     3.59367e+08 ,         45069.7 ,     2.03233e+08 ,     1.56089e+08 ,          786632 ,            3217 ,     2.20333e+09 ,     4.23223e+09 ,     7.33041e+07 ,     1.70286e+06 ,     6.15066e+06 ,      1.2697e+07 ,          753013 ,            2031 ,            9724 ,
         0.00017 ,     3.65038e+08 ,         45810.9 ,     2.06339e+08 ,     1.58652e+08 ,          799190 ,            3135 ,      2.2361e+09 ,     4.29537e+09 ,     7.44136e+07 ,     1.72872e+06 ,     6.25774e+06 ,     1.28882e+07 ,          765440 ,            2235 ,            9875 ,
