#Table10b:
        #x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  UserSpecialCut ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
         -0.0001 ,               0 ,               0 ,               0 ,               0 ,               0 ,     2.25856e+09 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
          0.0001 ,      3.4191e+09 ,          421416 ,     1.92791e+09 ,     1.49078e+09 ,     7.35188e+06 ,     7.56308e+08 ,     2.06724e+10 ,     3.96312e+10 ,     6.88208e+08 ,     1.62066e+07 ,     5.86228e+07 ,     1.21834e+08 ,     7.08904e+06 ,           17788 ,           83964 ,
          0.0003 ,     4.07605e+09 ,          508727 ,     2.29048e+09 ,     1.78506e+09 ,     8.87411e+06 ,           32691 ,     2.48308e+10 ,     4.76967e+10 ,     8.26343e+08 ,     1.92151e+07 ,     7.01718e+07 ,     1.43091e+08 ,     8.48456e+06 ,           26937 ,          124248 ,
          0.0005 ,     4.84083e+09 ,          601965 ,     2.70781e+09 ,     2.13242e+09 ,     1.04969e+07 ,           32422 ,     2.93596e+10 ,     5.63992e+10 ,     9.77033e+08 ,     2.27368e+07 ,     8.36194e+07 ,     1.69222e+08 ,      1.0035e+07 ,           35339 ,          162469 ,
          0.0007 ,     5.69529e+09 ,          705685 ,     3.17624e+09 ,     2.51834e+09 ,      1.2309e+07 ,           32132 ,     3.44359e+10 ,      6.6149e+10 ,       1.146e+09 ,     2.66822e+07 ,     9.86483e+07 ,     1.98458e+08 ,     1.17654e+07 ,           44904 ,          204878 ,
          0.0009 ,     6.52198e+09 ,          805176 ,     3.62628e+09 ,     2.89489e+09 ,     1.40471e+07 ,           32126 ,     3.93303e+10 ,     7.55518e+10 ,     1.30881e+09 ,      3.0514e+07 ,     1.13164e+08 ,     2.26666e+08 ,     1.34424e+07 ,           55400 ,          251943 ,
          0.0011 ,      7.2074e+09 ,          888690 ,      3.9992e+09 ,     3.20731e+09 ,     1.55004e+07 ,           32116 ,     4.33743e+10 ,     8.33209e+10 ,     1.44342e+09 ,     3.36975e+07 ,     1.25222e+08 ,     2.49976e+08 ,     1.48215e+07 ,           67242 ,          307055 ,
          0.0013 ,     7.68249e+09 ,          946833 ,     4.25922e+09 ,     3.42232e+09 ,     1.65126e+07 ,           32706 ,     4.61963e+10 ,     8.87431e+10 ,     1.53739e+09 ,      3.5964e+07 ,     1.33496e+08 ,     2.66269e+08 ,     1.57926e+07 ,           79431 ,          367797 ,
          0.0015 ,     7.94614e+09 ,          979361 ,     4.40472e+09 ,     3.54044e+09 ,     1.70804e+07 ,           32197 ,     4.77946e+10 ,     9.18163e+10 ,     1.59065e+09 ,     3.72762e+07 ,     1.37919e+08 ,     2.75455e+08 ,     1.63251e+07 ,           94602 ,          435021 ,
          0.0017 ,     8.00217e+09 ,          986890 ,     4.43737e+09 ,     3.56381e+09 ,     1.72134e+07 ,           32448 ,     4.81649e+10 ,     9.25296e+10 ,     1.60289e+09 ,      3.7664e+07 ,     1.38703e+08 ,     2.77593e+08 ,     1.64576e+07 ,          109836 ,          508578 ,
          0.0019 ,     7.86555e+09 ,          969931 ,     4.35709e+09 ,     3.50749e+09 ,     1.69148e+07 ,           32466 ,     4.73179e+10 ,     9.09062e+10 ,     1.57482e+09 ,     3.71092e+07 ,     1.36211e+08 ,      2.7273e+08 ,      1.6169e+07 ,          127372 ,          586370 ,
          0.0021 ,     7.50801e+09 ,          923272 ,      4.1484e+09 ,     3.35869e+09 ,     1.61057e+07 ,           32240 ,     4.50758e+10 ,     8.66057e+10 ,     1.50027e+09 ,     3.54969e+07 ,     1.30053e+08 ,     2.59858e+08 ,     1.54027e+07 ,          143459 ,          662370 ,
          0.0023 ,      6.9181e+09 ,          847940 ,     3.80457e+09 ,     3.11268e+09 ,     1.47879e+07 ,           32115 ,     4.13746e+10 ,     7.94966e+10 ,     1.37709e+09 ,     3.27167e+07 ,      1.2002e+08 ,     2.38492e+08 ,     1.41399e+07 ,          158530 ,          724781 ,
          0.0025 ,     6.08517e+09 ,          741865 ,     3.32458e+09 ,     2.75985e+09 ,     1.29398e+07 ,           32113 ,     3.61813e+10 ,      6.9528e+10 ,     1.20429e+09 ,     2.87803e+07 ,     1.05847e+08 ,     2.08609e+08 ,     1.23614e+07 ,          165414 ,          761892 ,
          0.0027 ,     5.02309e+09 ,          607888 ,     2.72225e+09 ,     2.30023e+09 ,     1.06005e+07 ,           32189 ,     2.96658e+10 ,       5.701e+10 ,     9.87439e+08 ,     2.37161e+07 ,     8.76581e+07 ,     1.71028e+08 ,     1.01296e+07 ,          162380 ,          748785 ,
          0.0029 ,     3.81547e+09 ,          458344 ,     2.04975e+09 ,     1.76526e+09 ,     7.99474e+06 ,           32058 ,     2.23633e+10 ,     4.29824e+10 ,     7.44364e+08 ,     1.80059e+07 ,     6.68144e+07 ,     1.28959e+08 ,     7.63864e+06 ,          146151 ,          673362 ,
          0.0031 ,     2.60886e+09 ,          311197 ,     1.38915e+09 ,      1.2194e+09 ,     5.42695e+06 ,           32031 ,     1.51789e+10 ,     2.91771e+10 ,     5.05268e+08 ,     1.23033e+07 ,     4.58348e+07 ,     8.75257e+07 ,     5.18334e+06 ,          117406 ,          541181 ,
          0.0033 ,     1.57403e+09 ,          186267 ,     8.30657e+08 ,     7.43189e+08 ,     3.24705e+06 ,           32127 ,     9.09093e+09 ,      1.7477e+10 ,     3.02631e+08 ,     7.42288e+06 ,     2.77133e+07 ,     5.24265e+07 ,     3.10346e+06 ,           82651 ,          379097 ,
          0.0035 ,     8.13814e+08 ,         95785.6 ,     4.26139e+08 ,     3.87579e+08 ,     1.66987e+06 ,           31990 ,     4.67022e+09 ,     8.97953e+09 ,     1.55457e+08 ,     3.84151e+06 ,     1.43566e+07 ,     2.69313e+07 ,     1.59582e+06 ,           48669 ,          225399 ,
          0.0037 ,     3.56232e+08 ,           41589 ,     1.85037e+08 ,     1.71154e+08 ,          725077 ,           32084 ,     2.03066e+09 ,     3.90506e+09 ,     6.76167e+07 ,     1.68346e+06 ,      6.2933e+06 ,     1.17093e+07 ,          692611 ,           24353 ,          112177 ,
          0.0039 ,     1.27743e+08 ,         14832.5 ,     6.58462e+07 ,     6.18817e+07 ,          258849 ,           32220 ,     7.23993e+08 ,     1.39223e+09 ,     2.41065e+07 ,          604465 ,     2.25941e+06 ,      4.1747e+06 ,          247506 ,            9963 ,           45125 ,
          0.0041 ,     3.75209e+07 ,          4334.9 ,     1.92268e+07 ,     1.82897e+07 ,           75543 ,           32164 ,     2.11627e+08 ,     4.07072e+08 ,     7.04806e+06 ,          178867 ,          663702 ,     1.22055e+06 ,           72650 ,            3339 ,           14663 ,
          0.0043 ,     8.48501e+06 ,         984.603 ,     4.29336e+06 ,     4.19067e+06 ,           17147 ,           32273 ,      4.7472e+07 ,     9.13822e+07 ,     1.58217e+06 ,           40234 ,          149548 ,          274270 ,           16413 ,             782 ,            3789 ,
          0.0045 ,     1.47544e+06 ,         173.269 ,          745801 ,          729470 ,            3016 ,           32185 ,     8.22766e+06 ,     1.58157e+07 ,          273969 ,            6885 ,           26104 ,           47289 ,            2896 ,             153 ,             725 ,
          0.0047 ,          193022 ,         21.4031 ,           98332 ,         94668.2 ,             371 ,           32215 ,     1.06036e+06 ,     2.03886e+06 ,           35668 ,             948 ,            3454 ,            6121 ,             376 ,              22 ,             100 ,
          0.0049 ,         15402.5 ,         2.15695 ,         6294.93 ,          9105.4 ,              37 ,           32082 ,           73105 ,          141558 ,            2472 ,              58 ,             255 ,             419 ,              28 ,               4 ,              11 ,
          0.0051 ,          2083.2 ,       0.0776324 ,         877.167 ,         1205.95 ,               2 ,           32272 ,           11799 ,           23030 ,             406 ,               6 ,              31 ,              69 ,               2 ,               0 ,               1 ,
          0.0053 ,               0 ,               0 ,               0 ,               0 ,               0 ,           31911 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
          0.0055 ,               0 ,               0 ,               0 ,               0 ,               0 ,           31975 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
          0.0057 ,               0 ,               0 ,               0 ,               0 ,               0 ,           32210 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
          0.0059 ,               0 ,               0 ,               0 ,               0 ,               0 ,           32015 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
          0.0061 ,               0 ,               0 ,               0 ,               0 ,               0 ,     2.97849e+09 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
