         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
          -5e-06 ,               0 ,               0 ,               0 ,               0 ,     1.81161e+07 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
           5e-06 ,     1.35427e+08 ,               0 ,     6.73013e+07 ,     6.81256e+07 ,      9.3738e+06 ,     5.29713e+08 ,     9.22069e+08 ,     1.75618e+07 ,          600205 ,     2.48274e+06 ,     5.37916e+06 ,          217245 ,              48 ,            2652 ,
         1.5e-05 ,     1.57666e+08 ,               0 ,     8.84866e+07 ,     6.91794e+07 ,               0 ,     8.87145e+08 ,     1.58885e+09 ,     2.91183e+07 ,          739634 ,     2.74541e+06 ,     5.70964e+06 ,          350023 ,              70 ,            3172 ,
         2.5e-05 ,     1.62782e+08 ,               0 ,     9.27571e+07 ,     7.00248e+07 ,               0 ,     9.60057e+08 ,      1.7338e+09 ,     3.13639e+07 ,          758392 ,     2.80134e+06 ,     5.80741e+06 ,          370747 ,              82 ,            3343 ,
         3.5e-05 ,     1.64585e+08 ,               0 ,     9.38957e+07 ,     7.06895e+07 ,               0 ,     9.77566e+08 ,     1.76854e+09 ,     3.19005e+07 ,          766695 ,     2.82892e+06 ,     5.85348e+06 ,          377394 ,              76 ,            3607 ,
         4.5e-05 ,     1.66163e+08 ,               0 ,     9.47846e+07 ,     7.13785e+07 ,               0 ,     9.87313e+08 ,     1.78699e+09 ,     3.22124e+07 ,          773987 ,     2.85402e+06 ,     5.90843e+06 ,          380916 ,              88 ,            3729 ,
         5.5e-05 ,     1.67852e+08 ,               0 ,      9.5769e+07 ,     7.20833e+07 ,               0 ,     9.96096e+08 ,     1.80285e+09 ,      3.2507e+07 ,          781534 ,     2.88672e+06 ,     5.96412e+06 ,          384192 ,              93 ,            3879 ,
         6.5e-05 ,     1.69288e+08 ,               0 ,     9.65236e+07 ,     7.27647e+07 ,               0 ,      1.0043e+09 ,     1.81738e+09 ,     3.27822e+07 ,          787551 ,     2.91282e+06 ,     6.00737e+06 ,          388040 ,             114 ,            3997 ,
         7.5e-05 ,      1.7091e+08 ,               0 ,     9.73954e+07 ,     7.35148e+07 ,               0 ,     1.01287e+09 ,     1.83319e+09 ,     3.30622e+07 ,          795582 ,     2.93984e+06 ,     6.06577e+06 ,          390915 ,             106 ,            4191 ,
         8.5e-05 ,     1.72207e+08 ,               0 ,     9.80658e+07 ,     7.41412e+07 ,               0 ,     1.02051e+09 ,     1.84697e+09 ,     3.33005e+07 ,          799686 ,     2.96527e+06 ,     6.11148e+06 ,          391818 ,             123 ,            4242 ,
         9.5e-05 ,     1.73305e+08 ,               0 ,     9.86035e+07 ,     7.47015e+07 ,               0 ,      1.0272e+09 ,     1.85947e+09 ,     3.35192e+07 ,          805496 ,     2.98538e+06 ,     6.14153e+06 ,          395719 ,              97 ,            4388 ,
        0.000105 ,     1.74836e+08 ,               0 ,     9.94836e+07 ,      7.5352e+07 ,               0 ,     1.03556e+09 ,     1.87423e+09 ,     3.37984e+07 ,          814589 ,     3.01238e+06 ,     6.19647e+06 ,          398244 ,             121 ,            4570 ,
        0.000115 ,     1.76299e+08 ,               0 ,     1.00145e+08 ,     7.61534e+07 ,               0 ,     1.04313e+09 ,     1.88792e+09 ,     3.40375e+07 ,          817756 ,     3.03722e+06 ,     6.24302e+06 ,          402752 ,             123 ,            4461 ,
        0.000125 ,     1.77754e+08 ,               0 ,     1.01037e+08 ,     7.67169e+07 ,               0 ,     1.05148e+09 ,     1.90305e+09 ,     3.43164e+07 ,          825246 ,     3.06607e+06 ,     6.29356e+06 ,          405611 ,             129 ,            4690 ,
        0.000135 ,     1.79018e+08 ,               0 ,     1.01652e+08 ,     7.73663e+07 ,               0 ,     1.05864e+09 ,     1.91604e+09 ,     3.45487e+07 ,          831889 ,       3.087e+06 ,     6.33548e+06 ,          408298 ,             119 ,            4721 ,
        0.000145 ,     1.80556e+08 ,               0 ,     1.02533e+08 ,     7.80236e+07 ,               0 ,     1.06742e+09 ,     1.93219e+09 ,     3.48298e+07 ,          837185 ,     3.11413e+06 ,      6.3945e+06 ,          410332 ,             113 ,            4992 ,
        0.000155 ,     1.82142e+08 ,               0 ,     1.03415e+08 ,     7.87266e+07 ,               0 ,     1.07689e+09 ,      1.9493e+09 ,     3.51371e+07 ,          844608 ,     3.14398e+06 ,     6.44059e+06 ,          414142 ,             137 ,            5087 ,
        0.000165 ,     1.83843e+08 ,               0 ,      1.0432e+08 ,     7.95231e+07 ,               0 ,     1.08572e+09 ,     1.96512e+09 ,      3.5432e+07 ,          851803 ,     3.17465e+06 ,     6.49697e+06 ,          417896 ,             135 ,            5250 ,
        0.000175 ,     1.85256e+08 ,               0 ,     1.05042e+08 ,     8.02141e+07 ,               0 ,     1.09374e+09 ,     1.97965e+09 ,     3.57043e+07 ,          859158 ,     3.19846e+06 ,     6.54356e+06 ,          422357 ,             140 ,            5244 ,
        0.000185 ,     1.86502e+08 ,               0 ,     1.05768e+08 ,     8.07336e+07 ,               0 ,     1.10114e+09 ,     1.99307e+09 ,      3.5927e+07 ,          865256 ,     3.22288e+06 ,     6.59057e+06 ,          423366 ,             131 ,            5244 ,
        0.000195 ,     1.88152e+08 ,               0 ,     1.06612e+08 ,     8.15403e+07 ,               0 ,     1.11008e+09 ,      2.0093e+09 ,     3.62309e+07 ,          870670 ,     3.25047e+06 ,     6.64253e+06 ,          427261 ,             131 ,            5358 ,
        0.000205 ,     1.89844e+08 ,               0 ,      1.0755e+08 ,     8.22941e+07 ,               0 ,     1.11962e+09 ,     2.02656e+09 ,     3.65333e+07 ,          879007 ,     3.28196e+06 ,     6.69827e+06 ,          431483 ,             146 ,            5523 ,
