#plot [:20]'dxs1kev.txt' u 1:2 w histe, 'dxs1kev.txt' u 1:($4/965) w histe lt 3, 'dxsp.txt' u 1:($2/105) w histe
# old dxs / new dxs
# py1keV      pyold   pynew  w1keV          wold       wnew
0 111.72      199585 107809  9.688	    26615       13983
1 94.08	       68115  91739  8.568	    10509       12631
2 70	       48983  68116  7.112	     8698       10511
3 50.68	       35416  48993  5.936	     7192        8702
4 36.4	       25815  35428  4.928	     5912        7194
5 26.628       19544  25810  4.06	     4949        5911
6 20.132       12394  19536  3.332	     4012        4953
7 12.936        9356  12400  2.744	     3277        4010
8 9.716	        7721   9349  2.2484	     2735        3274
9 8.008	        6487   7726  1.834	     2199        2735
10 6.608        5064   6488  1.498	     1772        2198
11 5.236        3842   5064  1.218	     1354        1772
12 3.948        2733   3839  0.952	     1024        1354
13 2.828        1966   2733  0.742	      858        1023
14 2.0356       1507   1966  0.588	      699         858
15 1.5652       1313   1509  0.4732	      592         701
16 1.3692       1295   1315  0.3864	      430         592
17 1.3356       1239   1296  0.3164	      361         430
18 1.2768       1037   1235  0.26488	      330         361
19 1.0668        850   1036  0.2226	      285         331
20 0.8904        744    849  0.18844	      229         285
21 0.742         587    743  0.16016	      211         226
22 0.6188        557    587  0.13692	      140         211
23 0.5208        385    557  0.11732	      141         140
24 0.4424        332    385  0.1008	      122         141
25 0.3528        295    332  0.08652	      125         122
26 0.2856        236    295  0.07476	       98         125
27 0.24724       190    236  0.06524	       80          98
28 0.22372       182    190  0.0574	       69          80
29 0.20832       199    182  0.05096	       63          69
30 0.19656       179    199  0.04536	       62          62
31 0.18592       166    179  0.0406	       46          62
32 0.17612       153    166  0.03668	       40          46
33 0.16268       157    154  0.03304	       42          40
34 0.14756       141    157  0.02996	       43          42
35 0.13412       133    141  0.027328          36          43
36 0.12236        97    133  0.025032          34          36
37 0.112          99     97  0.023044          29          34
38 0.10332        89    100  0.02128	       27          28
39 0.09576       109     88  0.019768          25          27
40 0.08876        67    109  0.018424          25          25
41 0.0826         86     67  0.01722	       17          25
42 0.07644        81     86  0.0161	       23          17
43 0.06916        69     81  0.015064          14          23
44 0.05964        60     69  0.014112          19          14
45 0.05208        47     60  0.013216          14          19
46 0.04648        32     48  0.012376          17          14
47 0.0434         50     32  0.011592          23          17
48 0.04228        35     50  0.010864          13          23
49 0.042          40     35  0.010164          11          13
50 0.04116        28     40  0.00952	       16          11
51 0.03836        27     28  0.008932           8          16
52 0.03612        29     27  0.0084	       11           8
53 0.03388        26     29  0.007924          17          11
54 0.03164        21     26  0.007476          13          17
55 0.02968        38     21  0.007084          11          13
56 0.027776       26     38  0.006692           7          11
57 0.025956       17     26  0.006356           7           7
58 0.024248       24     17  0.006048           6           7
59 0.02268        24     24  0.005768           6           6
60 0.02114        22     24  0.005488           6           6
61 0.01974        17     22  0.005236           5           6
62 0.018452       15     17  0.004984           6           5
63 0.016884       12     15  0.004732           9           6
64 0.01526        18     12  0.004508           6           9
65 0.013944        7     18  0.004284           6           6
66 0.013048       17      7  0.004088          12           6
67 0.012488       11     17  0.003892           5          12
68 0.012292       19     11  0.003724           6           5
69 0.012236       17     19  0.003556          11           6
70 0.011956       11     17  0.003388           6          11
71 0.011368       14     11  0.003248           3           6
72 0.010752       11     14  0.003108           3           3
73 0.010192       11     11  0.002968           2           3
74 0.009632       11     11  0.002828           5           2
75 0.009156       16     11  0.002716           3           5
76 0.008708        6     16  0.00259	        2           3
77 0.008344        6      6  0.0024752          4           2
78 0.007896       10      6  0.002366           4           4
79 0.007532        7     10  0.002268           5           4
80 0.007252       10      7  0.0021784          1           5
81 0.007           8     10  0.0020944          3           1
82 0.006776        7      8  0.0020188          5           3
83 0.006524        3      8  0.0019488          1           5
84 0.006272        3      3  0.0018872          1           1
85 0.005992       10      3  0.0018284          4           1
86 0.00574         3     10  0.0017752          4           4
87 0.005516        7      3  0.0017248          5           4
88 0.00532         5      7  0.00168	        3           5
89 0.005152        1      5  0.0016352          4           3
90 0.00504         2      1  0.0015904          1           4
91 0.004984        6      2  0.0015428          2           1
92 0.004928        4      6  0.0014952          1           2
93 0.004844        4      4  0.0014532          3           1
94 0.004732        3      4  0.0014112          3           3
95 0.00462         6      3  0.001372           5           3
96 0.004508        3      6  0.0013384          0           5
97 0.004396        4      3  0.0013048          4           0
98 0.004284        4      4  0.0012768          0           4
99 0.004144        7      4  0.0012488          0           0
100 0.00406        3      7  0.0012208          2           0
101 0.003976       4      3  0.0011928          1           2
102 0.003892       7      4  0.0011676          1           1
103 0.00378        4      7  0.0011396          1           1
104 0.003696       6      4  0.0011144          1           1
105 0.003612       4      6  0.0010892          2           1
106 0.003556       3      4  0.001064           4           2
107 0.003472       5      3  0.0010416          1           4
108 0.003416       2      5  0.0010192          3           1
109 0.00336        2      2  0.0009996          1           3
110 0.003304       5      2  0.00098	        1           1
111 0.003276       4      5  0.0009632          4           1
112 0.003248       4      4  0.0009464          1           4
