# 1000                             -0.5               0
0 111.72                            0.5          199474      
1 94.08		                    1.5           67907      
2 70		                    2.5           49070      
3 50.68		                    3.5           35437      
4 36.4		                    4.5           25812      
5 26.628	                    5.5           19617      
6 20.132	                    6.5           12331      
7 12.936	                    7.5            9429      
8 9.716		                    8.5            7731      
9 8.008		                    9.5            6491      
10 6.608	                   10.5            5116      
11 5.236	                   11.5            3869      
12 3.948	                   12.5            2677      
13 2.828	                   13.5            1978      
14 2.0356	                   14.5            1526      
15 1.5652	                   15.5            1328      
16 1.3692	                   16.5            1289      
17 1.3356	                   17.5            1243      
18 1.2768	                   18.5            1031      
19 1.0668	                   19.5             835      
20 0.8904	                   20.5             751      
21 0.742	                   21.5             601      
22 0.6188	                   22.5             570      
23 0.5208	                   23.5             387      
24 0.4424	                   24.5             337      
25 0.3528	                   25.5             289      
26 0.2856	                   26.5             224      
27 0.24724	                   27.5             194      
28 0.22372	                   28.5             177      
29 0.20832	                   29.5             190      
30 0.19656	                   30.5             172      
31 0.18592	                   31.5             163      
32 0.17612	                   32.5             155      
33 0.16268	                   33.5             164      
34 0.14756	                   34.5             147      
35 0.13412	                   35.5             123      
36 0.12236	                   36.5             100      
37 0.112	                   37.5              90      
38 0.10332	                   38.5              91      
39 0.09576	                   39.5             104      
40 0.08876	                   40.5              66      
41 0.0826	                   41.5              74      
42 0.07644	                   42.5              81      
43 0.06916	                   43.5              74      
44 0.05964	                   44.5              59      
45 0.05208	                   45.5              48      
46 0.04648	                   46.5              37      
47 0.0434	                   47.5              48      
48 0.04228	                   48.5              33      
49 0.042	                   49.5              40      
50 0.04116	                   50.5              33      
51 0.03836	                   51.5              32      
52 0.03612	                   52.5              35      
53 0.03388	                   53.5              35      
54 0.03164	                   54.5              17      
55 0.02968	                   55.5              32      
56 0.027776	                   56.5              23      
57 0.025956	                   57.5              19      
58 0.024248	                   58.5              22      
59 0.02268	                   59.5              27      
60 0.02114	                   60.5              20      
61 0.01974	                   61.5              21      
62 0.018452	                   62.5              14      
63 0.016884	                   63.5              19      
64 0.01526	                   64.5              17      
65 0.013944	                   65.5               7      
66 0.013048	                   66.5              17      
67 0.012488	                   67.5              11      
68 0.012292	                   68.5              21      
69 0.012236	                   69.5              11      
70 0.011956	                   70.5               6      
71 0.011368	                   71.5              12      
72 0.010752	                   72.5              11      
73 0.010192	                   73.5              14      
74 0.009632	                   74.5              12      
75 0.009156	                   75.5              14      
76 0.008708	                   76.5               8      
77 0.008344	                   77.5               5      
78 0.007896	                   78.5              11      
79 0.007532	                   79.5               8      
80 0.007252	                   80.5               7      
81 0.007	                   81.5               7      
82 0.006776	                   82.5               9      
83 0.006524	                   83.5               3      
84 0.006272	                   84.5               2      
85 0.005992	                   85.5              11      
86 0.00574	                   86.5               3      
87 0.005516	                   87.5               4      
88 0.00532	                   88.5               4      
89 0.005152	                   89.5               2      
90 0.00504	                   90.5               4      
91 0.004984	                   91.5               7      
92 0.004928	                   92.5               3      
93 0.004844	                   93.5               6      
94 0.004732	                   94.5               4      
95 0.00462	                   95.5               6      
96 0.004508	                   96.5               2      
97 0.004396	                   97.5               3      
98 0.004284	                   98.5               4      
99 0.004144	                   99.5               6      
100 0.00406	                  100.5               3      
101 0.003976	                  101.5               5      
102 0.003892	                  102.5               8      
103 0.00378	                  103.5               3      
104 0.003696	                  104.5               8      
105 0.003612	                  105.5               4      
106 0.003556	                  106.5               4      
107 0.003472	                  107.5               6      
108 0.003416	                  108.5               2      
109 0.00336	                  109.5               1      
110 0.003304	                  110.5               3      
111 0.003276	                  111.5               2      
112 0.003248	                  112.5               5      
113 0.003248	                  113.5               4      
114 0.00322	                  114.5               4      
115 0.00322	                  115.5               0      
116 0.003192	                  116.5               2      
117 0.003136	                  117.5               0      
118 0.003136	                  118.5               1      
119 0.003108	                  119.5               2      
120 0.00308	                  120.5               3      
121 0.003052	                  121.5               2      
122 0.003024	                  122.5               4      
123 0.002996	                  123.5               1      
124 0.002968	                  124.5               5      
125 0.00294	                  125.5               3      
126 0.002912	                  126.5               3      
127 0.002884	                  127.5               6      
128 0.002856	                  128.5               3      
129 0.002828	                  129.5               0      
130 0.002828	                  130.5               2      
131 0.0028	                  131.5               1      
132 0.0027888	                  132.5               7      
133 0.0027664	                  133.5               3      
134 0.0027552	                  134.5               2      
135 0.0027272	                  135.5               1      
136 0.0027188	                  136.5               3      
137 0.0026936	                  137.5               3      
138 0.0026684	                  138.5               1      
139 0.0026348	                  139.5               7      
140 0.0026068	                  140.5               2      
141 0.0025816	                  141.5               1      
142 0.002548	                  142.5               3      
143 0.0025312	                  143.5               3      
144 0.0025004	                  144.5               5      
145 0.0024892	                  145.5               2      
146 0.0024668	                  146.5               0      
147 0.0024556	                  147.5               3      
148 0.0024444	                  148.5               1      
149 0.0024332	                  149.5               1      
150 0.0024332	                  150.5               5      
151 0.0024248	                  151.5               1      
152 0.0024332	                  152.5               2      
153 0.0024276	                  153.5               2      
154 0.002436	                  154.5               3      
155 0.0024332	                  155.5               1      
156 0.0024388	                  156.5               4      
157 0.0024444	                  157.5               4      
158 0.0024472	                  158.5               2      
159 0.0024584	                  159.5               2      
160 0.0024556	                  160.5               3      
161 0.0024724	                  161.5               6      
162 0.0024668	                  162.5               3      
163 0.0024724	                  163.5               4      
164 0.0024668	                  164.5               1      
165 0.0024696	                  165.5               3      
166 0.0024668	                  166.5               3      
167 0.0024556	                  167.5               1      
168 0.0024584	                  168.5               0      
169 0.0024416	                  169.5               3      
170 0.0024472	                  170.5               2      
171 0.0024332	                  171.5               2      
172 0.0024416	                  172.5               3      
173 0.0024332	                  173.5               2      
174 0.0024304	                  174.5               1      
175 0.0024388	                  175.5               2      
176 0.0024332	                  176.5               2      
177 0.0024668	                  177.5               0      
178 0.0024556	                  178.5               4      
179 0.0025032	                  179.5               2      
180 0.0024388	                  190.5               0      
		       
