#Table:
        #x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,  Thermalisation ,      Attachment ,            Nint ,
          -5e-06 ,               0 ,               0 ,               0 ,     1.84341e+08 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
           5e-06 ,     1.14995e+09 ,               0 ,     1.14995e+09 ,     9.49142e+07 ,     6.49572e+09 ,      1.0843e+10 ,     1.99652e+08 ,     5.70489e+06 ,     1.71011e+07 ,     4.61721e+07 ,     1.84804e+07 ,     1.21922e+06 ,        4.68e+07 ,
         1.5e-05 ,     1.38212e+09 ,               0 ,     1.38212e+09 ,               0 ,     1.16851e+10 ,     2.01131e+10 ,     3.58815e+08 ,     7.72449e+06 ,     1.85065e+07 ,     4.83249e+07 ,     3.74102e+07 ,     2.10614e+06 ,     7.36445e+08 ,
         2.5e-05 ,     1.43462e+09 ,               0 ,     1.43462e+09 ,               0 ,     1.30989e+10 ,     2.28299e+10 ,     3.99196e+08 ,     8.05215e+06 ,     1.86435e+07 ,     4.87978e+07 ,     4.42707e+07 ,     2.26407e+06 ,     6.20326e+09 ,
         3.5e-05 ,     1.45522e+09 ,               0 ,     1.45522e+09 ,               0 ,      1.3489e+10 ,     2.35964e+10 ,     4.11165e+08 ,     8.20123e+06 ,     1.88291e+07 ,     4.90384e+07 ,     4.64908e+07 ,     2.28759e+06 ,     4.28278e+12 ,
         4.5e-05 ,     1.48042e+09 ,               0 ,     1.48042e+09 ,               0 ,     1.36183e+10 ,     2.38404e+10 ,     4.15457e+08 ,     8.24629e+06 ,     1.92383e+07 ,     4.95844e+07 ,     4.69729e+07 ,     2.35283e+06 ,     7.49877e+12 ,
         5.5e-05 ,     1.47617e+09 ,               0 ,     1.47617e+09 ,               0 ,      1.3671e+10 ,     2.39512e+10 ,     4.16122e+08 ,     8.34199e+06 ,     1.90149e+07 ,     4.94874e+07 ,      4.7349e+07 ,     2.34794e+06 ,     1.30663e+11 ,
         6.5e-05 ,     1.47701e+09 ,               0 ,     1.47701e+09 ,               0 ,     1.36927e+10 ,     2.39952e+10 ,     4.18139e+08 ,     8.30843e+06 ,     1.91472e+07 ,     4.95542e+07 ,      4.7514e+07 ,      2.2884e+06 ,     2.61055e+09 ,
         7.5e-05 ,     1.48767e+09 ,               0 ,     1.48767e+09 ,               0 ,     1.37815e+10 ,     2.41246e+10 ,     4.20941e+08 ,     8.24449e+06 ,     1.91975e+07 ,     5.00333e+07 ,     4.76255e+07 ,     2.39984e+06 ,       1.527e+10 ,
         8.5e-05 ,      1.4791e+09 ,               0 ,      1.4791e+09 ,               0 ,     1.37352e+10 ,     2.40643e+10 ,     4.18885e+08 ,     8.28685e+06 ,     1.91481e+07 ,     4.94297e+07 ,     4.75782e+07 ,     2.36287e+06 ,     1.46247e+10 ,
         9.5e-05 ,     1.48915e+09 ,               0 ,     1.48915e+09 ,               0 ,     1.38275e+10 ,     2.42287e+10 ,     4.21894e+08 ,     8.37129e+06 ,       1.922e+07 ,     5.01459e+07 ,     4.80213e+07 ,     2.38582e+06 ,     1.88212e+07 ,
        0.000105 ,     1.48891e+09 ,               0 ,     1.48891e+09 ,               0 ,     1.38349e+10 ,     2.42511e+10 ,     4.21613e+08 ,      8.2931e+06 ,     1.92958e+07 ,     4.99878e+07 ,     4.80197e+07 ,     2.37454e+06 ,     6.55545e+07 ,
        0.000115 ,     1.51146e+09 ,               0 ,     1.51146e+09 ,               0 ,     1.38892e+10 ,     2.43215e+10 ,     4.23204e+08 ,     8.43173e+06 ,      1.9654e+07 ,     5.07613e+07 ,     4.80943e+07 ,     2.37805e+06 ,               0 ,
        0.000125 ,     1.49275e+09 ,               0 ,     1.49275e+09 ,               0 ,     1.39385e+10 ,     2.44236e+10 ,     4.25222e+08 ,     8.27732e+06 ,     1.92681e+07 ,     5.01342e+07 ,     4.82803e+07 ,     2.45984e+06 ,               0 ,
        0.000135 ,     1.51237e+09 ,               0 ,     1.51237e+09 ,               0 ,     1.39518e+10 ,     2.44534e+10 ,     4.25648e+08 ,     8.36187e+06 ,     1.96521e+07 ,     5.05819e+07 ,     4.84312e+07 ,     2.37617e+06 ,               0 ,
        0.000145 ,     1.51579e+09 ,               0 ,     1.51579e+09 ,               0 ,     1.40332e+10 ,      2.4612e+10 ,     4.27729e+08 ,     8.31983e+06 ,     1.95749e+07 ,     5.09527e+07 ,     4.87595e+07 ,     2.39693e+06 ,               0 ,
        0.000155 ,     1.52392e+09 ,               0 ,     1.52392e+09 ,               0 ,     1.41032e+10 ,     2.46939e+10 ,     4.29995e+08 ,     8.49014e+06 ,     1.97932e+07 ,     5.13419e+07 ,     4.88524e+07 ,     2.46667e+06 ,               0 ,
        0.000165 ,     1.52955e+09 ,               0 ,     1.52955e+09 ,               0 ,     1.41629e+10 ,     2.48318e+10 ,     4.32198e+08 ,     8.47996e+06 ,      1.9807e+07 ,     5.14584e+07 ,     4.92447e+07 ,     2.43356e+06 ,               0 ,
        0.000175 ,     1.53556e+09 ,               0 ,     1.53556e+09 ,               0 ,     1.42527e+10 ,     2.49772e+10 ,     4.35188e+08 ,     8.51121e+06 ,     1.98006e+07 ,     5.15061e+07 ,     4.95329e+07 ,     2.43994e+06 ,               0 ,
        0.000185 ,     1.54768e+09 ,               0 ,     1.54768e+09 ,               0 ,     1.43101e+10 ,     2.50693e+10 ,     4.35673e+08 ,     8.67732e+06 ,     2.00431e+07 ,     5.17533e+07 ,     4.95319e+07 ,     2.44591e+06 ,               0 ,
        0.000195 ,     1.54022e+09 ,               0 ,     1.54022e+09 ,               0 ,     1.42662e+10 ,     2.49741e+10 ,     4.35295e+08 ,     8.59986e+06 ,     1.99065e+07 ,     5.19005e+07 ,     4.93713e+07 ,     2.45527e+06 ,               0 ,
        0.000205 ,      1.5378e+09 ,               0 ,      1.5378e+09 ,               0 ,     1.43225e+10 ,     2.50982e+10 ,     4.36705e+08 ,     8.63986e+06 ,     1.97949e+07 ,     5.17323e+07 ,      4.9627e+07 ,     2.46784e+06 ,               0 ,
        0.000215 ,     1.54474e+09 ,               0 ,     1.54474e+09 ,               0 ,     1.43327e+10 ,     2.50918e+10 ,      4.3716e+08 ,     8.61601e+06 ,     1.98999e+07 ,       5.181e+07 ,     4.94618e+07 ,     2.43661e+06 ,               0 ,
        0.000225 ,     1.54748e+09 ,               0 ,     1.54748e+09 ,               0 ,     1.43388e+10 ,     2.50973e+10 ,     4.36837e+08 ,      8.6795e+06 ,      1.9909e+07 ,     5.20913e+07 ,     4.97128e+07 ,     2.47215e+06 ,               0 ,
        0.000235 ,     1.55844e+09 ,               0 ,     1.55844e+09 ,               0 ,     1.44112e+10 ,     2.52678e+10 ,      4.3926e+08 ,     8.67466e+06 ,     2.01369e+07 ,     5.20175e+07 ,     5.01654e+07 ,     2.50553e+06 ,               0 ,
