#Table10b:
        #x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,  Thermalisation ,      Attachment ,            Nint ,
          -5e-05 ,               0 ,               0 ,               0 ,     1.84341e+08 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
           5e-05 ,     1.43114e+10 ,               0 ,     1.43114e+10 ,     9.49142e+07 ,     1.27095e+11 ,     2.21587e+11 ,     3.88027e+09 ,     7.94821e+07 ,     1.88046e+08 ,     4.90568e+08 ,     4.31713e+08 ,     2.20147e+07 ,     1.19517e+13 ,
         0.00015 ,     1.51982e+10 ,               0 ,     1.51982e+10 ,               0 ,     1.40743e+11 ,     2.46608e+11 ,     4.29176e+09 ,     8.44423e+07 ,     1.96795e+08 ,     5.10378e+08 ,     4.88118e+08 ,     2.42269e+07 ,     6.55545e+07 ,
         0.00025 ,     1.56548e+10 ,               0 ,     1.56548e+10 ,               0 ,     1.45113e+11 ,     2.54166e+11 ,     4.42603e+09 ,     8.74954e+07 ,     2.02218e+08 ,     5.25197e+08 ,     5.02721e+08 ,     2.49384e+07 ,     6.55545e+07 ,
         0.00035 ,     1.62457e+10 ,               0 ,     1.62457e+10 ,               0 ,     1.50443e+11 ,     2.63584e+11 ,     4.58901e+09 ,     9.03482e+07 ,     2.10062e+08 ,     5.45454e+08 ,     5.21883e+08 ,     2.58334e+07 ,     6.55545e+07 ,
         0.00045 ,     1.69229e+10 ,               0 ,     1.69229e+10 ,               0 ,     1.56567e+11 ,     2.74265e+11 ,     4.77589e+09 ,     9.46296e+07 ,     2.18963e+08 ,     5.67136e+08 ,     5.42951e+08 ,     2.69393e+07 ,     6.55545e+07 ,
         0.00055 ,      1.7643e+10 ,               0 ,      1.7643e+10 ,               0 ,     1.63394e+11 ,     2.86194e+11 ,     4.98662e+09 ,     9.83116e+07 ,     2.28243e+08 ,     5.92499e+08 ,      5.6638e+08 ,      2.8198e+07 ,     6.55545e+07 ,
         0.00065 ,     1.84162e+10 ,               0 ,     1.84162e+10 ,               0 ,     1.70526e+11 ,     2.98698e+11 ,     5.20728e+09 ,     1.02488e+08 ,     2.38271e+08 ,      6.1729e+08 ,     5.90838e+08 ,     2.92253e+07 ,     6.55545e+07 ,
         0.00075 ,     1.93623e+10 ,               0 ,     1.93623e+10 ,               0 ,      1.7874e+11 ,     3.13189e+11 ,     5.45132e+09 ,     1.07926e+08 ,     2.51728e+08 ,     6.47844e+08 ,      6.2029e+08 ,     3.08554e+07 ,     6.55545e+07 ,
         0.00085 ,     2.04114e+10 ,               0 ,     2.04114e+10 ,               0 ,     1.88456e+11 ,     3.30164e+11 ,     5.74936e+09 ,     1.13894e+08 ,     2.65409e+08 ,     6.82803e+08 ,       6.535e+08 ,     3.23921e+07 ,     6.55545e+07 ,
         0.00095 ,     2.15275e+10 ,               0 ,     2.15275e+10 ,               0 ,     1.98448e+11 ,     3.47667e+11 ,     6.05401e+09 ,     1.19545e+08 ,     2.80353e+08 ,     7.18969e+08 ,     6.88162e+08 ,     3.41383e+07 ,     6.55545e+07 ,
         0.00105 ,     2.28416e+10 ,               0 ,     2.28416e+10 ,               0 ,     2.10553e+11 ,     3.68738e+11 ,     6.42665e+09 ,     1.26982e+08 ,     2.98083e+08 ,     7.62065e+08 ,     7.29201e+08 ,     3.61269e+07 ,     6.55545e+07 ,
         0.00115 ,     2.43357e+10 ,               0 ,     2.43357e+10 ,               0 ,      2.2399e+11 ,     3.92452e+11 ,     6.83349e+09 ,     1.35102e+08 ,     3.17497e+08 ,     8.11586e+08 ,     7.76578e+08 ,     3.86273e+07 ,     6.55545e+07 ,
         0.00125 ,     2.59959e+10 ,               0 ,     2.59959e+10 ,               0 ,     2.38881e+11 ,     4.18522e+11 ,      7.2865e+09 ,     1.44664e+08 ,     3.39912e+08 ,     8.65449e+08 ,     8.28795e+08 ,     4.10472e+07 ,     6.55545e+07 ,
         0.00135 ,     2.76859e+10 ,               0 ,     2.76859e+10 ,               0 ,     2.53981e+11 ,     4.44957e+11 ,     7.75197e+09 ,     1.53515e+08 ,     3.62808e+08 ,     9.19959e+08 ,     8.80848e+08 ,      4.3635e+07 ,     6.55545e+07 ,
         0.00145 ,     2.94797e+10 ,               0 ,     2.94797e+10 ,               0 ,     2.70272e+11 ,     4.73498e+11 ,     8.24312e+09 ,     1.63179e+08 ,     3.87996e+08 ,     9.78378e+08 ,     9.37208e+08 ,     4.63398e+07 ,     6.55545e+07 ,
         0.00155 ,     3.13535e+10 ,               0 ,     3.13535e+10 ,               0 ,     2.87137e+11 ,     5.03057e+11 ,     8.75785e+09 ,     1.73889e+08 ,      4.1231e+08 ,     1.03947e+09 ,     9.95766e+08 ,     4.94581e+07 ,     6.55545e+07 ,
