#            *****************************    Double-differential cross section (in \AA^2/sr) ************************************
# Proton energy: 15 keV
# Sc. Angle   Energy of ejected secondary electrons (in eV)
# (degrees)     W=10eV          20eV           30eV           40eV          50eV           60eV           80eV           100eV
  0.00E+00   6.888529E-02   1.902556E-02   7.125788E-03   3.483688E-03   1.605978E-03   8.935468E-04   1.183969E-04   5.073271E-05
  5.00E+00   6.220828E-02   1.718068E-02   6.435087E-03   3.054136E-03   1.404906E-03   7.734950E-04   1.105030E-04   4.659298E-05
  1.00E+01   5.553127E-02   1.533580E-02   5.744386E-03   2.624585E-03   1.203835E-03   6.534433E-04   1.026090E-04   4.245325E-05
  1.50E+01   4.885426E-02   1.349093E-02   5.053685E-03   2.195033E-03   1.002763E-03   5.333916E-04   9.471515E-05   3.831351E-05
  2.00E+01   4.244326E-02   1.191752E-02   4.427214E-03   1.837445E-03   8.232712E-04   4.340913E-04   8.678299E-05   3.417378E-05
  2.50E+01   3.624151E-02   1.043268E-02   3.845952E-03   1.535593E-03   6.844160E-04   3.474595E-04   7.829886E-05   3.051529E-05
  3.00E+01   3.013530E-02   9.024156E-03   3.312745E-03   1.291969E-03   5.809262E-04   2.904978E-04   6.994033E-05   2.680690E-05
  3.50E+01   2.469532E-02   7.549340E-03   2.821877E-03   1.088250E-03   4.876507E-04   2.414576E-04   6.172834E-05   2.303049E-05
  4.00E+01   2.031865E-02   6.194696E-03   2.371149E-03   9.253937E-04   4.187223E-04   1.993262E-04   5.419257E-05   1.944949E-05
  4.50E+01   1.674615E-02   5.099767E-03   1.961012E-03   7.937664E-04   3.595918E-04   1.661738E-04   4.717363E-05   1.613416E-05
  5.00E+01   1.384900E-02   4.277729E-03   1.666188E-03   7.005577E-04   3.085898E-04   1.422300E-04   4.080053E-05   1.365027E-05
  5.50E+01   1.192635E-02   3.609376E-03   1.454370E-03   6.088018E-04   2.726285E-04   1.227796E-04   3.467844E-05   1.144406E-05
  6.00E+01   1.047099E-02   3.118551E-03   1.287021E-03   5.423868E-04   2.394188E-04   1.087694E-04   3.000605E-05   9.601228E-06
  6.50E+01   9.410906E-03   2.755649E-03   1.144441E-03   4.850439E-04   2.101029E-04   9.640468E-05   2.598814E-05   8.246246E-06
  7.00E+01   8.657808E-03   2.479779E-03   1.034287E-03   4.356908E-04   1.913453E-04   8.702406E-05   2.263024E-05   7.268430E-06
  7.50E+01   8.167354E-03   2.258572E-03   9.357156E-04   4.041697E-04   1.747439E-04   7.819200E-05   1.981282E-05   6.484676E-06
  8.00E+01   7.842972E-03   2.095612E-03   8.835337E-04   3.754953E-04   1.637044E-04   7.291732E-05   1.784646E-05   5.939610E-06
  8.50E+01   7.662743E-03   2.000983E-03   8.409594E-04   3.612221E-04   1.539129E-04   6.837440E-05   1.692383E-05   5.639225E-06
  9.00E+01   7.758339E-03   1.945732E-03   8.271832E-04   3.474309E-04   1.480985E-04   6.616327E-05   1.641087E-05   5.521997E-06
  9.50E+01   7.935901E-03   1.911142E-03   8.161499E-04   3.383855E-04   1.438830E-04   6.418237E-05   1.609451E-05   5.459352E-06
  1.00E+02   8.168338E-03   1.929208E-03   8.161499E-04   3.383855E-04   1.413324E-04   6.313173E-05   1.632989E-05   5.576138E-06
  1.05E+02   8.382619E-03   1.963798E-03   8.278952E-04   3.433224E-04   1.417095E-04   6.252467E-05   1.662315E-05   5.868939E-06
  1.10E+02   8.602240E-03   2.025990E-03   8.540529E-04   3.499866E-04   1.440777E-04   6.428505E-05   1.701582E-05   6.309933E-06
  1.15E+02   8.853823E-03   2.174256E-03   8.810859E-04   3.639512E-04   1.483572E-04   6.604543E-05   1.764909E-05   6.929445E-06
  1.20E+02   9.034059E-03   2.306106E-03   9.139576E-04   3.789420E-04   1.541716E-04   6.796974E-05   1.849076E-05   7.663581E-06
  1.25E+02   9.034059E-03   2.460564E-03   9.573856E-04   3.969462E-04   1.607699E-04   6.997114E-05   1.947333E-05   8.493778E-06
  1.30E+02   8.949092E-03   2.680128E-03   1.018820E-03   4.159461E-04   1.684268E-04   7.293087E-05   2.094432E-05   9.388309E-06
  1.35E+02   8.777114E-03   2.863068E-03   1.081978E-03   4.392164E-04   1.795103E-04   7.768451E-05   2.240900E-05   1.015013E-05
  1.40E+02   8.520967E-03   3.034741E-03   1.160051E-03   4.706785E-04   1.905763E-04   8.242887E-05   2.379392E-05   1.087360E-05
  1.45E+02   8.287200E-03   3.199136E-03   1.236068E-03   5.031374E-04   2.019662E-04   8.840923E-05   2.534893E-05   1.160417E-05
  1.50E+02   8.051397E-03   3.343177E-03   1.324222E-03   5.339774E-04   2.151435E-04   9.516692E-05   2.674113E-05   1.235148E-05
  1.55E+02   7.750449E-03   3.476612E-03   1.352408E-03   5.744643E-04   2.318854E-04   1.020132E-04   2.858305E-05   1.316440E-05
  1.60E+02   7.396017E-03   3.612175E-03   1.538076E-03   6.195475E-04   2.484217E-04   1.101642E-04   3.143781E-05   1.397732E-05
  1.65E+02   7.041585E-03   3.747738E-03   1.768684E-03   6.646306E-04   2.649580E-04   1.183151E-04   3.378991E-05   1.479024E-05
  1.70E+02   6.687153E-03   3.883301E-03   1.999293E-03   7.097138E-04   2.814943E-04   1.264660E-04   3.666521E-05   1.560315E-05
  1.75E+02   6.332721E-03   4.018865E-03   2.229901E-03   7.547970E-04   2.980306E-04   1.346170E-04   4.015040E-05   1.641607E-05
  1.80E+02   5.978289E-03   4.154428E-03   2.460509E-03   7.998802E-04   3.145669E-04   1.427679E-04   4.363558E-05   1.722899E-05
