  dE_eV        10MeV          4.2MeV         3.0MeV         1.5MeV         1.0MeV         0.5MeV         0.3MeV         0.15MeV        0.1MeV          70keV         50keV          30keV          20keV           15keV
 1.26E+01   1.609251E-05   2.400319E-03   4.098343E-04   5.324899E-03   8.216448E-03   1.594000E-03   2.306180E-02   1.178000E-01   1.334000E-01   1.400000E-01   1.145880E-01   1.567000E-01   1.467000E-01   1.478000E-01
 1.50E+01   5.951942E-03   1.172126E-02   3.327441E-03   1.657609E-02   1.236551E-02   1.376450E-02   4.890610E-02   1.678000E-01   1.834000E-01   2.561000E-01   2.124934E-01   2.317000E-01   2.217000E-01   1.978000E-01
 2.00E+01   3.986962E-04   1.900198E-02   1.361190E-02   2.315384E-02   1.718082E-02   5.794890E-02   8.871810E-02   1.819029E-01   1.989971E-01   2.184800E-01   1.715884E-01   2.450600E-01   2.322000E-01   2.093000E-01
 3.00E+01   5.245358E-05   4.848127E-03   5.837649E-03   1.494573E-02   1.318292E-02   3.100962E-02   7.104690E-02   9.303062E-02   1.111529E-01   1.249142E-01   1.002926E-01   1.185742E-01   8.362571E-02   6.550714E-02
 4.00E+01   2.109785E-05   3.369828E-03   4.295489E-03   9.063514E-03   8.293591E-03   1.805352E-02   3.802600E-02   5.704700E-02   7.183000E-02   8.339600E-02   6.252759E-02   5.548400E-02   3.687400E-02   2.504700E-02
 5.00E+01   9.999076E-06   2.259130E-03   2.995364E-03   5.797233E-03   5.706388E-03   1.164283E-02   2.173646E-02   4.187100E-02   5.365400E-02   5.552500E-02   4.052489E-02   3.254550E-02   1.624990E-02   9.575400E-03
 7.00E+01   5.237381E-06   1.170717E-03   1.522031E-03   2.892115E-03   2.897815E-03   6.319975E-03   9.814055E-03   2.455256E-02   3.057943E-02   2.808800E-02   1.917883E-02   9.674500E-03   4.505226E-03   2.283640E-03
 1.00E+02   2.703519E-06   5.345014E-04   7.054143E-04   1.332093E-03   1.426386E-03   3.312260E-03   4.525643E-03   1.382978E-02   1.483193E-02   1.192509E-02   6.684867E-03   2.272593E-03   8.661816E-04   4.039657E-04
 1.50E+02   9.887844E-07   2.096944E-04   2.803687E-04   5.448795E-04   6.362231E-04   1.567684E-03   1.796658E-03   5.511646E-03   3.720884E-03   3.180623E-03   1.278241E-03   2.557399E-04   1.148655E-04   7.645361E-05
 2.00E+02   4.829229E-07   9.626776E-05   1.359071E-04   2.726585E-04   3.274070E-04   8.862906E-04   9.036840E-04   2.177538E-03   1.168506E-03   6.274914E-04   1.889194E-04   5.640014E-05   2.947551E-05   2.512485E-05
