#            **** Single-differential cross section (in \AA^2/sr) ****
# Sc. Angle
# (degrees)      E=15keV        0.1MeV         0.3MeV         0.5MeV         1.0MeV        1.5MeV
  0.00E+00    6.731150E-01   3.217782E+00   5.520678E-01   2.607249E-01   1.121766E-01   6.518489E-02
  5.00E+00    6.060679E-01   2.864134E+00   4.683230E-01   2.329803E-01   8.965775E-02   6.551065E-02
  1.00E+01    5.390207E-01   2.510486E+00   4.370143E-01   2.161138E-01   7.954380E-02   6.598265E-02
  1.50E+01    4.719737E-01   2.156839E+00   4.122450E-01   2.114926E-01   7.565275E-02   6.659663E-02
  2.00E+01    4.108595E-01   1.826531E+00   3.936911E-01   2.085284E-01   7.456688E-02   6.755669E-02
  2.50E+01    3.532769E-01   1.545805E+00   3.807497E-01   2.097084E-01   7.728901E-02   7.952307E-02
  3.00E+01    2.987988E-01   1.339397E+00   3.685990E-01   2.108010E-01   8.181892E-02   8.185991E-02
  3.50E+01    2.480345E-01   1.142016E+00   3.561350E-01   2.119821E-01   8.650336E-02   7.383041E-02
  4.00E+01    2.049610E-01   9.726680E-01   3.384288E-01   2.108978E-01   9.104833E-02   7.833324E-02
  4.50E+01    1.694695E-01   8.284562E-01   3.117006E-01   2.052321E-01   9.458496E-02   8.206441E-02
  5.00E+01    1.418616E-01   7.103502E-01   2.952049E-01   1.954613E-01   9.553275E-02   8.516501E-02
  5.50E+01    1.217332E-01   6.039854E-01   2.722985E-01   1.830270E-01   9.458953E-02   8.758355E-02
  6.00E+01    1.065564E-01   5.175875E-01   2.470158E-01   1.716967E-01   9.217842E-02   8.998997E-02
  6.50E+01    9.505519E-02   4.423419E-01   2.226634E-01   1.598794E-01   8.878138E-02   9.401614E-02
  7.00E+01    8.653071E-02   3.779335E-01   2.006198E-01   1.483998E-01   8.379857E-02   9.717398E-02
  7.50E+01    8.020276E-02   3.227351E-01   1.815047E-01   1.326990E-01   7.819266E-02   9.770805E-02
  8.00E+01    7.590839E-02   2.808183E-01   1.611256E-01   1.240380E-01   7.238578E-02   9.142901E-02
  8.50E+01    7.330497E-02   2.479887E-01   1.432582E-01   1.162925E-01   6.754660E-02   8.125317E-02
  9.00E+01    7.285202E-02   2.223213E-01   1.294046E-01   1.100606E-01   6.106290E-02   7.343709E-02
  9.50E+01    7.311432E-02   2.046214E-01   1.147084E-01   1.018639E-01   5.698000E-02   6.226818E-02
  1.00E+02    7.442178E-02   1.887376E-01   1.022180E-01   9.488570E-02   5.316477E-02   5.636827E-02
  1.05E+02    7.600936E-02   1.772400E-01   9.265930E-02   8.907930E-02   4.993930E-02   5.138765E-02
  1.10E+02    7.811996E-02   1.692505E-01   8.595730E-02   8.390780E-02   4.678908E-02   4.798052E-02
  1.15E+02    8.135857E-02   1.645252E-01   8.158799E-02   7.924181E-02   4.410100E-02   4.494244E-02
  1.20E+02    8.416806E-02   1.604832E-01   7.800580E-02   7.550973E-02   4.118094E-02   4.187475E-02
  1.25E+02    8.645092E-02   1.579827E-01   7.533461E-02   7.122720E-02   3.875420E-02   3.996797E-02
  1.30E+02    8.918540E-02   1.590208E-01   7.562004E-02   6.822040E-02   3.651700E-02   3.917094E-02
  1.35E+02    9.123824E-02   1.629208E-01   7.570110E-02   6.530020E-02   3.459367E-02   3.828166E-02
  1.40E+02    9.298635E-02   1.628220E-01   7.620238E-02   6.240410E-02   3.348110E-02   3.773587E-02
  1.45E+02    9.478823E-02   1.612850E-01   7.615500E-02   6.098164E-02   3.236710E-02   3.759428E-02
  1.50E+02    9.650802E-02   1.596583E-01   7.670493E-02   5.973481E-02   3.196460E-02   3.744646E-02
  1.55E+02    9.733944E-02   1.578930E-01   7.766210E-02                                 3.731402E-02
  1.60E+02    9.958327E-02   1.561917E-01   7.844403E-02                                 3.726841E-02
  1.65E+02    1.022664E-01   1.544904E-01   8.013470E-02                                 3.746602E-02
  1.70E+02    1.049601E-01   1.527891E-01   8.126014E-02                                 3.741030E-02
  1.75E+02    1.076659E-01   1.510877E-01   8.168200E-02                                 3.748383E-02
  1.80E+02    1.103718E-01   1.493864E-01   8.159393E-02                                 3.744834E-02
