# E(keV),beta sin absorb,rX sin absorb,20 micras,40 micras,60 micras,100 micras,,Area sin absorbente: 1.217e6
# 1,2,3,4,5,6,7,,
0.04,2325.557,1025.966285676,789.523285676,515.523285676,639.8617822591,386.8089999617,,
0.43,2326.11275,1255.2334112174,750.3461612174,545.3461612174,424.39490837,320.7747326459,,
0.82,2326.6685,1253.6503316915,794.3188316915,502.3188316915,355.558011646,310.3188316915,,
1.21,2327.22425,1225.5733275231,692.7975775231,500.7975775231,361.3880103249,281.940434666,,
1.6,2327.78,1368.2918693702,739.0718693702,525.0718693702,353.7260834932,295.3575836559,,
1.99,2328.33575,1235.2199248055,677.5556748055,496.5556748055,329.0499800447,251.5556748055,,
2.38,2328.8915,1366.6641748055,679.5556748055,514.5556748055,343.6139891563,325.2699605198,,
2.77,2329.44725,1324.4252249895,774.8724749895,571.8724749895,360.1116549439,232.5867607037,,
3.16,2330.003,1580.2409342252,763.2439342252,461.2439342252,323.376508257,234.5296485109,,
3.55,2330.55875,1739.3785032485,746.9372532485,502.9372532485,333.6443147519,275.7943961056,,
3.94,2331.1145,2317.9948181034,1034.1093181034,565.1093181034,367.8487258483,252.6807466748,,
4.33,2331.67025,5156.853035676,1413.523285676,646.523285676,387.1565430791,295.9518571045,,
4.72,2332.226,7523.678864119,1326.904864119,732.904864119,416.9426773308,285.904864119,,
5.11,2332.78175,5178.3650168366,939.1467668366,614.1467668366,381.5777463355,270.0039096937,,
5.5,2333.3375,2215.0835586837,873.4210586837,523.4210586837,338.8834732623,255.9924872552,,
5.89,2333.89325,2146.8719383936,1174.7651883936,614.7651883936,344.7064184619,309.1937598221,,
6.28,2334.449,4453.0418965464,1743.4908965464,861.4908965464,429.5182313984,294.0623251179,,
6.67,2335.00475,6500.8302762563,1714.8350262563,911.8350262563,473.5224977825,299.2635976848,,
7.06,2335.5605,5090.9303965464,1146.4908965464,700.4908965464,361.8152701227,290.6337536893,,
7.45,2336.11625,2568.6165492641,730.7327992641,495.7327992641,313.8544393552,269.5899421212,,
7.84,2336.672,1241.4423777071,720.1143777071,420.1143777071,319.6296396661,213.2572348499,,
8.23,2337.22775,881.1933086837,702.4210586837,438.4210586837,299.1276646063,242.2782015409,,
8.62,2337.7835,1447.2235911112,688.0070911112,478.0070911112,310.5223530702,238.4356625398,,
9.01,2338.33925,1696.947192562,633.286442562,470.286442562,319.5889482568,215.8578711334,,
9.4,2338.895,1237.9774749895,619.8724749895,435.8724749895,288.0788531216,272.0153321323,,
9.79,2339.45075,763.2496601345,594.7004101345,383.7004101345,249.9382233464,183.7004101345,,
10.18,2340.0065,589.6939101345,541.7004101345,342.7004101345,247.5764921391,181.9861244203,,
10.57,2340.56225,357.1381601345,545.7004101345,328.7004101345,191.6821868999,202.5575529917,,
10.96,2341.118,215.2706695542,476.3886695542,286.3886695542,199.3918586203,144.3886695542,,
11.35,2341.67375,165.0964979972,510.7702479972,273.7702479972,186.2732092729,148.055962283,,
11.74,2342.2295,16.0296130361,508.2591130361,241.2591130361,167.6978374097,138.5448273219,,
12.13,2342.78525,89.5710304247,454.3562804247,252.3562804247,139.4118612903,108.2134232818,,
12.52,2343.341,31.5689237226,442.9099237226,220.9099237226,128.220629873,116.1956380084,,
12.91,2343.89675,154.1477898444,450.0445398444,223.0445398444,123.8978428057,104.9016827015,,
13.3,2344.4525,34.1082344091,416.5607344091,200.5607344091,119.445928031,90.4178772663,,
13.69,2345.00825,130.5575440128,445.5657940128,236.5657940128,136.5680719171,95.5657940128,,
14.08,2345.564,71.9694048833,450.5334048833,223.5334048833,136.4185985052,97.1048334547,,
14.47,2346.11975,66.4784331423,436.5981831423,231.5981831423,109.1640145774,78.5981831423,,
14.86,2346.6755,-8.5611222929,458.1143777071,205.1143777071,97.6269061809,70.9715205642,,
15.25,2347.23125,50.818349448,453.049599448,198.049599448,108.7429935255,87.7638851623,,
15.64,2347.787,12.5045021657,401.2915021657,181.2915021657,94.2400215279,61.5772164514,,
16.03,2348.34275,-37.0188587048,399.3238912952,169.3238912952,74.7084015458,32.6096055809,,
16.42,2348.8985,-3.4025438499,421.4959561501,155.4959561501,93.5615597947,42.0673847215,,
16.81,2349.45425,3.4880628522,413.9423128522,160.9423128522,72.0821761779,23.7994557093,,
17.2,2350.01,7.4535670206,397.4635670206,190.4635670206,73.7309929887,47.034995592,,
17.59,2350.56575,-53.897728995,426.668021005,160.668021005,76.2015061986,32.668021005,,
17.98,2351.1215,-60.3461923991,428.7753076009,187.7753076009,76.2554898333,48.632450458,,
18.37,2351.67725,-0.6600396815,441.0172103185,191.0172103185,78.2846362866,56.7314960328,,
18.76,2352.233,-20.183400552,432.049599448,171.049599448,73.710647284,46.6210280195,,
19.15,2352.78875,66.879271005,467.668021005,176.668021005,64.7864720301,73.8108781479,,
19.54,2353.3445,25.0117804247,399.3562804247,180.3562804247,59.9002439782,53.3562804247,,
19.93,2353.90025,0.6655440128,412.5657940128,167.5657940128,66.8970013021,40.7086511557,,
20.32,2236.1194373108,0,417.1194373107,192.1194373107,67.5144259212,38.4051515965,,
20.71,2146.3613400284,0,467.3613400284,202.3613400284,96.3098593906,29.3613400284,,
21.1,2254.4635670206,0,454.4635670206,169.4635670206,97.7419269295,33.3207098777,,
21.49,2305.8775345931,0,492.8775345931,183.8775345931,66.6661450715,35.4489631646,,
21.88,2281.0495994481,0,435.049599448,189.049599448,61.5083693797,36.3353137338,,
22.27,2205.3238912952,0,462.3238912952,161.3238912952,62.1125017735,34.3238912952,,
22.66,2235.8127563341,0,447.8127563341,173.8127563341,78.5694761519,64.2413277627,,
23.05,2139.984821189,0,471.984821189,190.984821189,72.2308348564,63.4133926176,,
23.44,2176.5334048833,0,439.5334048833,169.5334048833,65.1730404186,52.5334048833,,
23.83,2188.7429184714,0,445.7429184714,155.7429184714,74.5315289497,39.8857756142,,
24.22,2140.5334048833,0,444.5334048833,188.5334048833,74.2263433799,42.2476905976,,
24.61,2268.3987887616,0,453.3987887615,204.3987887615,87.6024334085,51.8273601901,,
25,2293.8451454636,0,440.8451454636,187.8451454636,89.7403618645,30.1308597493,,
25.39,2161.984821189,0,464.984821189,195.984821189,72.6244567243,39.4133926176,,
25.78,2110.1194373108,0,433.1194373107,185.1194373107,67.5144259212,24.6908658822,,
26.17,2031.6730806087,0,401.6730806087,207.6730806087,71.2808254834,49.8159377515,,
26.56,2153.7054697382,0,445.7054697382,221.7054697382,56.4726679159,25.9911840239,,
26.95,2205.1892751735,0,448.1892751734,185.1892751734,66.041666973,45.617846602,,
27.34,2179.0870481812,0,414.0870481812,178.0870481812,79.9608522815,41.6584767527,,
27.73,2117.1892751735,0,475.1892751734,202.1892751734,64.4671795015,57.617846602,,
28.12,2046.8825941968,0,457.8825941968,201.8825941968,87.7245076364,47.4540227682,,
28.51,2210.984821189,0,415.984821189,217.984821189,89.5501970432,54.8419640461,,
28.9,2154.3289508989,0,447.3289508988,197.3289508988,87.1070830173,29.186093756,,
29.29,2175.984821189,0,414.984821189,215.984821189,88.7629533075,42.8419640461,,
29.68,2134.6406914792,0,432.6406914792,206.6406914792,72.7058395429,39.3549771935,,
30.07,2090.5010157538,0,407.5010157538,179.5010157538,73.6832481,40.3581586109,,
30.46,2193.8127563341,0,387.8127563341,192.8127563341,99.0378132817,36.8127563341,,
30.85,2157.984821189,0,440.984821189,193.984821189,77.7415410068,49.6991069033,,
31.24,2141.538464487,0,404.5384644869,177.5384644869,85.4441592478,35.3956073441,,
31.63,2177.2591130362,0,409.2591130361,188.2591130361,79.1329171364,18.5448273219,,
32.02,2189.9524320595,0,422.9524320595,199.9524320595,87.8262361597,35.8095749166,,
32.41,2094.4038483652,0,461.4038483652,205.4038483652,88.5860807115,41.5467055081,,
32.8,2119.2965617693,0,437.2965617693,199.2965617693,72.7872223616,39.2965617693,,
33.19,2110.366399632,0,380.366399632,163.366399632,77.6124132995,27.6521139177,,
33.58,2151.7479780751,0,415.7479780751,198.7479780751,88.1110760249,33.0336923608,,
33.97,2158.0222699222,0,404.0222699222,184.0222699222,88.3215865509,27.5936984936,,
34.36,2078.6083023497,0,378.6083023497,185.6083023497,86.3331315068,28.8940166354,,
34.75,2210.0222699222,0,442.0222699222,220.0222699222,80.4491491933,55.0222699222,,
35.14,2189.8502050673,0,384.8502050673,195.8502050673,79.3089749989,55.8502050673,,
35.53,2198.8127563341,0,416.8127563341,163.8127563341,67.5480638512,7.6698991912,,
35.92,2131.9149833263,0,394.9149833263,203.9149833263,86.6931154448,39.0578404692,,
36.31,2128.8451454636,0,383.8451454636,159.8451454636,76.3572183565,21.5594311779,,
36.7,2191.366399632,0,406.366399632,188.366399632,83.9103631856,43.0806853463,,
37.09,2128.6781402124,0,391.6781402124,186.6781402124,91.1583224447,36.1067116409,,
37.48,2175.8825941968,0,402.8825941968,177.8825941968,77.4903390715,59.4540227682,,
37.87,2126.6083023497,0,392.6083023497,206.6083023497,87.1203752426,42.6083023496,,
38.26,2222.9898807927,0,392.9898807927,177.9898807927,93.6828192893,41.1327379355,,
38.65,2218.1943347771,0,374.1943347771,205.1943347771,81.1957015197,28.4800490628,,
39.04,2142.6781402124,0,361.6781402124,161.6781402124,68.3282541076,32.6781402124,,
39.43,2072.7803672046,0,379.7803672046,177.7803672046,77.6327590041,33.2089386331,,
39.82,2171.6083023497,0,385.6083023497,168.6083023497,83.1841565638,39.1797309211,,
40.21,2201.5759132201,0,352.5759132201,151.5759132201,90.9071205094,57.8616275058,,
40.6,2202.1244969144,0,322.1244969144,169.1244969144,69.28531696,31.553068343,,
40.99,2181.5060753574,0,394.5060753574,181.5060753574,80.1776015533,52.3632182146,,
41.38,2060.8502050673,0,411.8502050673,169.8502050673,83.6388155456,30.135919353,,
41.77,2166.8127563341,0,370.8127563341,146.8127563341,76.9949886803,21.3841849055,,
42.16,2111.0921077849,0,392.0921077849,190.0921077849,92.359533753,46.8063934992,,
42.55,2220.5759132201,0,416.5759132201,167.5759132201,79.098464473,59.5759132201,,
42.94,2252.1619456476,0,413.1619456476,174.1619456476,86.5569342581,52.3048027904,,
43.33,2179.9898807927,0,347.9898807927,193.9898807927,88.9593568747,46.2755950784,,
43.72,2262.7803672046,0,363.7803672046,172.7803672046,91.40952438,62.351795776,,
44.11,2195.301621373,0,391.301621373,175.301621373,92.6647193229,80.4444785158,,
44.5,2284.1943347771,0,360.1943347771,155.1943347771,81.9829452555,38.7657633485,,
44.89,2249.5759132201,0,364.5759132201,169.5759132201,77.1303551336,37.2901989344,,
45.28,2277.301621373,0,411.301621373,182.301621373,88.3348787762,65.0159070873,,
45.67,2217.0921077849,0,369.0921077849,166.0921077849,86.8488276027,45.0921077849,,
46.06,2235.8502050673,0,381.8502050673,177.8502050673,82.457949942,35.2787764958,,
46.45,2262.1619456476,0,359.1619456476,175.1619456476,87.3441779938,43.733374219,,
46.84,2232.9898807927,0,373.9898807927,173.9898807927,82.2677851207,53.1327379355,,
47.23,2162.4736862279,0,352.4736862279,174.4736862279,88.6878092347,69.3308290851,,
47.62,2186.2317835103,0,378.2317835103,145.2317835103,89.4140158565,50.9460692246,,
48.01,2211.4736862279,0,348.4736862279,178.4736862279,85.5388342917,69.3308290851,,
