# E(keV) ,beta sin abs,rX sin abs,beta 20 um,RX 20 um,Beta 40 um,RX 40 um,Beta 60 um,RX 60 um,Beta 100 um,RX 100 um,,Area bta sin abs: 1.95e9
 # 1,2,3,4,5,6,7,8,9,10,11,,
0.195,3342910,32167200,5742,794,1841,636,363,613,40,476,,
0.585,3726820,39796500,7049,1025,2101,862,452,729,36,629,,
0.975,3731190,39445800,9336,1320,2410,1061,610,1012,45,825,,
1.365,3730890,40748800,12634,1707,3402,1403,707,1252,112,1074,,
1.755,3732860,41714000,78034,3223,23211,2764,4785,2631,218,2073,,
2.145,3731060,40918600,127391,12822,36134,11182,8595,10122,658,8225,,
2.535,3732660,42825800,66789,4279,19716,3607,4404,3253,217,2776,,
2.925,3733460,45330600,67115,4114,18629,3568,4292,3214,173,2561,,
3.315,3735160,52155700,71839,4387,20346,3664,4731,3335,245,2799,,
3.705,3737150,62606600,76714,5074,22972,4221,4769,3815,258,3102,,
4.095,3738360,109784000,84333,5706,24352,4901,5442,4391,212,3604,,
4.485,3737630,193541000,93704,6520,26568,5359,6337,4974,442,3996,,
4.875,3739030,208552000,101442,7374,28517,6227,7023,5627,491,4520,,
5.265,3739250,126909000,109424,8412,31732,6846,7675,6316,513,5082,,
5.655,3740530,69954500,119062,9299,33984,7707,8101,7016,414,5695,,
6.045,3740110,97666200,128855,10326,35982,8633,8545,7753,710,6390,,
6.435,3740710,167184000,137872,11587,38575,9419,9075,8568,505,7014,,
6.825,3743680,188040000,147849,13756,41602,10018,9822,9399,631,7586,,
7.215,3742900,129628000,161891,17119,44607,10813,10114,9729,650,7895,,
7.605,3742980,65013700,172859,20718,47251,11186,10744,10403,748,8449,,
7.995,3743440,35039200,186801,26806,49119,12022,11274,10794,689,9063,,
8.385,3745280,35279800,215655,80429,60131,42493,15992,38222,2084,31139,,
8.775,3744950,49060500,215315,111299,58481,13898,13648,12543,579,10013,,
9.165,3750400,47968400,233826,191848,62039,14558,14323,12439,820,10284,,
9.555,3746630,33305800,694617,1020020,243562,720517,94871,648053,31090,529158,,
9.945,3748880,22093200,272405,250414,71123,16602,16123,12981,774,10548,,
10.335,3748320,15774000,305870,298813,80670,43083,19602,35090,1845,28721,,
10.725,3752960,9564980,319807,241606,81363,21322,19731,14749,1038,11915,,
11.115,3755630,6222340,395020,437193,114201,218359,31526,192330,6151,157176,,
11.505,3749500,3344910,1079130,1902380,418470,1608940,167091,1448060,55647,1182250,,
11.895,3755580,1475880,333647,79110,91180,44160,22522,38383,2062,31178,,
12.285,3753640,2088220,227412,22330,63836,17816,14782,16100,871,13320,,
12.675,3755260,2579220,245350,22059,66094,14115,15052,12717,795,10388,,
13.065,3753880,3336100,260407,32877,72254,19373,16627,17327,1057,14257,,
13.455,3756310,2336860,334736,179196,99940,148603,28572,134353,5814,109743,,
13.845,3755770,3379420,296177,111178,84469,89190,22383,80569,3114,66487,,
14.235,3759730,2224710,295540,32068,81767,25356,19813,22989,1142,18637,,
14.625,3761000,1262270,301369,19281,84907,15949,18968,14397,983,11688,,
15.015,3764540,659956,303182,19323,83138,16453,19114,14793,1015,11971,,
15.405,3764700,1113370,301003,21640,83712,16664,18912,15061,1114,12569,,
15.795,3760170,243771,301644,19807,81863,17055,19152,15498,1072,12604,,
16.185,3762910,2118,303202,19316,82421,17708,20544,15992,1106,13058,,
16.575,3764270,44866,300285,19924,82652,17855,20272,16330,1266,13327,,
16.965,3764850,161461,303172,21798,83000,18410,18602,16690,1126,13510,,
17.355,3765810,140847,308450,22491,82979,18884,19314,16794,951,13979,,
17.745,3767280,1256,307946,21088,83699,19458,19370,17319,1181,14142,,
18.135,3769470,0,308374,21910,82840,19740,19144,17787,1025,14843,,
18.525,3767790,0,310193,22536,84591,20237,19732,18283,1091,15170,,
18.915,3770110,853508,314376,50497,85301,21682,19739,18677,1305,15296,,
