#,20,20,20,40,40,40,60,60,60,100,100,100
        #E(MeV) ,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,     noph
0.00195,370940,117949,91752,110688,34969,26308,27587,9348,6463,1233,883,202
0.00585,823141,400548,349155,236093,118865,100894,57604,31676,23990,2268,3096,742
0.00975,2951600,836571,786914,978447,248479,226831,349147,64689,54531,96743,5213,1699
0.01365,1088580,1740300,1694310,303233,516707,491397,81217,132374,119078,10570,8747,3814
0.01755,1058900,1982630,1928170,271054,584265,554540,61670,149111,134365,2415,10618,4262
0.02145,1612170,1812340,1758200,441964,533054,498352,101212,138906,120330,4140,12004,3903
0.02535,2187760,1742210,1691840,749114,509270,472081,198576,134668,113432,9825,13347,3788
0.02925,2638040,1715270,1662330,1155050,494300,460022,386865,133638,109415,34020,15164,3532
0.03315,2933270,1723840,1675060,1579470,492281,457663,662776,132818,108559,100149,16540,3542
0.03705,3077410,1748150,1705990,1948480,497830,459060,977689,135876,109465,220610,17489,3443
0.04095,3112560,1802540,1766820,2236020,509001,473735,1280370,138297,112233,391111,19298,3583
0.04485,3068990,1886660,1848070,2432620,527372,494974,1543210,143142,117081,585919,20452,3866
0.04875,2984090,1974900,1937490,2544830,549169,515675,1754070,150079,122526,784991,22533,3934
0.05265,2859600,2061770,2025860,2602700,572482,538858,1907180,156392,127849,972750,24180,4342
0.05655,2729520,2148880,2126010,2603430,590910,565237,2012490,156725,135172,1137570,18916,4595
0.06045,2588010,2254600,2229550,2568970,616843,593768,2071210,160750,142159,1271980,17630,4767
0.06435,2451720,2364970,2343020,2508460,645188,624361,2091680,167358,150651,1378200,16842,4970
0.06825,4833940,2472340,2455240,6871840,669003,653032,7086910,167593,157125,6182260,12399,5475
0.07215,2172250,2579110,2566180,2338610,697756,682975,2043410,174244,164442,1474470,11806,5614
0.07605,2229140,2699520,2683880,2579600,725465,713333,2391350,181839,171712,1893840,11508,5783
0.07995,2319130,2824230,2811580,2864030,757494,746452,2782180,187664,180796,2357400,11157,6231
0.08385,1303170,2952980,2942100,1084540,791021,781808,730780,195987,187245,310256,11277,6402
0.08775,1261020,3083110,3075720,1091740,825101,814006,762354,202745,195813,348541,11351,6773
0.09165,1218360,3215410,3203940,1086860,856390,848229,783672,212809,204403,385057,11630,6977
0.09555,1170520,3343360,3337030,1079290,885513,879605,799893,219218,212452,417529,11621,7231
0.09945,1127260,3469810,3459840,1059650,918200,908679,808621,226119,220342,447480,11783,7530
0.10335,1078190,3587950,3581760,1043990,946351,940397,814842,232948,225917,470706,11931,7717
0.10725,1032090,3714530,3706100,1018970,973308,967324,814532,238667,232923,490976,11991,7867
0.11115,988627,3844350,3837190,993823,1003520,997292,810015,246584,239544,508323,11860,8094
0.11505,945880,3980110,3977730,964877,1033390,1029270,800547,253034,247729,519343,11707,8388
0.11895,906384,4123770,4118760,938690,1066110,1059750,789794,260151,254464,528490,12089,8625
0.12285,865798,4262630,4260570,909906,1097580,1091700,776785,266152,261274,537597,11961,9053
0.12675,826542,4407020,4397640,883160,1130280,1123720,761868,273020,267930,540205,11989,9092
0.13065,790075,4548800,4541380,852357,1160920,1156700,744703,279749,276266,541491,12396,9388
0.13455,756167,4693200,4686160,822531,1191900,1189010,728328,286472,282974,538403,12063,9526
0.13845,721089,4835320,4830160,794416,1220310,1220140,708628,293408,288823,534136,12155,9490
0.14235,687669,4983920,4978090,764978,1254700,1248630,691553,300051,296506,532088,12122,9928
0.14625,657372,5129120,5125660,736603,1286160,1282510,668346,306035,302736,523149,12299,9900
0.15015,628713,5280850,5277330,710918,1320380,1314080,649718,312027,309626,515797,12509,10357
0.15405,599589,5431620,5427670,678536,1349290,1347020,628715,318087,316988,507315,12283,10372
0.15795,571984,5584330,5582030,654887,1380330,1376900,610150,326000,322498,495596,12268,10274
0.16185,547023,5731420,5730000,630612,1410030,1406850,587940,330817,330130,485775,12538,10270
