#Simulation,
#Energy (keV),Intensity (a.u.)
1,0
1.034,0
1.069,0
1.105,2.66152E-06
1.143,0
1.182,0
1.222,4.81519E-06
1.264,0
1.307,0
1.351,0
1.397,0
1.444,0
1.493,0
1.544,1.90535E-06
1.597,1.84272E-06
1.651,1.78215E-06
1.707,0
1.765,0
1.825,0
1.887,0
1.951,0
2.018,0
2.086,0
2.157,0
2.23,0
2.306,0
2.385,0
2.466,1.19332E-06
2.549,0
2.636,0
2.726,0
2.818,0
2.914,0
3.013,9.76486E-07
3.115,0
3.221,0
3.331,8.83323E-07
3.444,0
3.561,0
3.682,0
3.807,0
3.937,7.47382E-07
4.071,7.22815E-07
4.209,1.39811E-06
4.352,1.352154E-06
4.5,0
4.653,0
4.811,0
4.974,5.91472E-07
5.143,0
5.318,0
5.499,0
5.686,0
5.879,0
6.079,0
6.286,0
6.499,4.527E-07
6.72,8.75639E-07
6.949,4.23428E-07
7.185,4.0951E-07
7.429,7.92098E-07
7.681,0
7.943,3.7044E-07
8.212,7.16526E-07
8.492,0
8.78,3.35098E-07
9.079,0
9.387,3.1343E-07
9.706,0
10.036,2.93163E-07
10.377,2.83527E-07
10.73,2.74207E-07
11.095,2.65194E-07
11.472,0
11.862,4.96092E-07
12.265,2.39893E-07
12.682,0
13.113,2.24381E-07
13.558,0
14.019,0
14.496,0
14.988,0
15.498,0
16.024,1.83609E-07
16.569,0
17.132,3.43474E-07
17.715,0
18.317,0
18.939,0
19.583,1.50245E-07
20.248,5.81227E-07
20.937,0
21.648,2.71822E-07
22.384,0
23.145,5.08492E-07
23.931,3.68832E-07
24.745,0
25.586,0
26.455,1.11215E-07
27.355,1.07559E-07
28.284,0
29.246,4.02416E-07
30.24,9.72971E-08
31.267,9.40989E-08
32.33,0
33.429,0
34.565,2.553639E-07
35.74,0
36.955,1.592346E-07
39.509,2.978764E-07
40.852,2.160639E-07
43.676,2.694572E-07
45.161,3.909E-07
46.696,3.78051E-07
48.283,1.218748E-07
49.924,4.714748E-07
53.375,5.51236E-08
55.189,4.264922E-07
59.005,3.490509E-07
61.01,2.893523E-07
63.084,4.197616E-07
67.445,3.053702E-07
69.737,5.062844E-07
72.107,3.264288E-07
74.558,5.524725E-07
77.092,7.63305E-07
79.712,5.905707E-07
82.421,7.139484E-07
85.223,8.28576E-07
88.119,1.0016751E-06
91.114,1.1624996E-06
94.211,8.74446E-07
97.413,1.2383487E-06
100.724,1.3144876E-06
107.687,1.3387783E-06
115.131,1.2777675E-06
119.045,1.507634E-06
123.091,1.3624673E-06
127.274,1.8956128E-06
131.6,1.6097267E-06
136.073,1.643307E-06
140.698,1.6938476E-06
145.48,1.658395E-06
150.424,2.151549E-06
155.537,2.099741E-06
166.289,1.999357E-06
177.785,2.482403E-06
183.827,2.41681E-06
190.075,2.739829E-06
196.536,2.814445E-06
203.215,2.765367E-06
210.122,2.98252E-06
217.264,2.952193E-06
224.648,3.27426E-06
232.283,3.090631E-06
240.178,3.773052E-06
248.341,3.44762E-06
256.782,3.345753E-06
274.534,3.868899E-06
283.864,3.534428E-06
303.488,3.839097E-06
313.803,3.572264E-06
324.469,3.971707E-06
335.497,3.358817E-06
346.9,3.256893E-06
358.69,3.231861E-06
370.881,3.101831E-06
383.487,2.86177E-06
396.52,2.70834E-06
409.997,2.088276E-06
438.341,1.698183E-06
453.239,1.6228892E-06
468.644,1.1237922E-06
484.572,8.500516E-07
501.041,6.69433E-07
518.071,4.202607E-07
535.679,3.295509E-07
553.886,1.2748721E-07
572.711,6.678562E-08
592.176,1.49055E-08
612.303,4.80518E-09
