P;x;y;z;NoPrimaries;cGyHour;pCmm3s;pCugHour;compt;phot;Rayl;Elastic;ExcitRotat;ExcitVibrat;Excitation;Ionisation;DissocNeutr;Attachment;
0;0;0;4.8;1.82264e+06;7.67841;0.704488;2.53616;0.000251383;0.00027485;7.51549e-05;66.9772;105.498;2.07419;0.0429731;0.254626;0.095868;0.0121389;
1;0;0;6.8;3.67501e+06;3.83511;0.351931;1.26695;0.000125692;0.000136371;3.76235e-05;33.4601;52.7038;1.03617;0.0214716;0.1272;0.0478898;0.00606165;
2;0;0;9.8;7.84051e+06;1.80245;0.165396;0.595426;5.97488e-05;6.39141e-05;1.80692e-05;15.7242;24.7678;0.486879;0.0100806;0.0597799;0.0225042;0.00285235;
3;0;0;12.8;1.38579e+07;1.02048;0.0936603;0.337177;3.36348e-05;3.61572e-05;1.00018e-05;8.90378;14.0251;0.275732;0.00571295;0.0338521;0.01274;0.00161426;
4;0;5;12.8;1.61575e+07;0.875283;0.0803285;0.289183;2.88658e-05;3.10175e-05;8.67498e-06;7.63739;12.0299;0.236497;0.00489961;0.0290335;0.0109278;0.00138417;
5;0;10;12.8;2.35349e+07;0.600053;0.0550735;0.198265;1.96536e-05;2.12918e-05;5.96703e-06;5.2363;8.24792;0.162141;0.00336025;0.0199055;0.00749181;0.000949108;
6;14;0;12.8;3.30702e+07;0.426767;0.0391597;0.140975;1.39496e-05;1.51478e-05;4.22245e-06;3.72285;5.86403;0.115283;0.00238834;0.0141537;0.0053298;0.000674321;
7;0;0;22.8;5.22613e+07;0.270376;0.0248144;0.0893319;8.88791e-06;9.58606e-06;2.64671e-06;2.35924;3.71619;0.0730512;0.00151299;0.00896879;0.00337573;0.000427253;
8;0;20;12.8;5.78053e+07;0.24431;0.0224199;0.0807115;8.01476e-06;8.66648e-06;2.41873e-06;2.13184;3.35794;0.0660168;0.00136657;0.00810332;0.00305013;0.00038567;
9;0;30;12.8;1.33511e+08;0.106145;0.00974041;0.0350655;3.49372e-06;3.75249e-06;1.04518e-0x6;0.926352;1.459;0.0286872;0.000594734;0.00352052;0.0013251;0.00016782;
10;0;0;32.8;1.34487e+08;0.10536;0.00966657;0.0347997;3.45157e-06;3.72555e-06;1.02941e-06;0.918937;1.44746;0.0284546;0.000589616;0.00349383;0.00131522;0.000166634;
11;0;0;40;2.39222e+08;0.0594646;0.00545829;0.0196499;1.98413e-06;2.09318e-06;5.87158e-07;0.518831;0.817292;0.0160662;0.000332972;0.00197282;0.000742628;9.40532e-05;
12;0;0;50;4.82639e+08;0.0296014;0.00271784;0.00978422;9.83004e-07;1.03864e-06;2.93843e-07;0.25843;0.407047;0.00800375;0.000165804;0.000982321;0.000369548;4.68118e-05;
13;0;0;60;9.18666e+08;0.0156703;0.00143851;0.00517865;5.28535e-07;5.45163e-07;1.50079e-07;0.136711;0.215362;0.00423342;8.76719e-05;0.000519929;0.000195708;2.48165e-05;

















