#MEDIDAS	
#r(mm)	   TPS      cGy/U*h_w 
4.8	   4.389    4.234     
6.8	   2.213    2.201     	 
9.8	   1.055    0.894     	 
12.8	   0.600    0.633     	 
13.7	   0.514    0.566     	 
16.2	   0.355    0.403     	 
19.0	   0.248    0.237     	 
23.0	   0.156    0.182     	 
28.0	   0.094    0.104     	 
32.0	   0.066    0.079     	 
36.0	   0.047    0.059     	 
40.0	   0.034    0.044     	 
44.0	   0.025    0.039     	 
48.0	   0.019    0.035     	 
51.0	   0.016    0.025	 
60.0	   0.009    0.018	 
70.0	   0.005    0.013	 

