#E,Average Eloss NIST,EXP-Av Eloss,Add-Av Eloss,Distribution function
30,27.3241225451038,18.71,0,
40,28.2732452233452,23.45,0.859639204747314,
50,29.0320874811783,25.56,1.89507014697195,3.4720874811783
70,30.2150094765515,25.56,3.45636897431992,4.65500947655149
100,31.5216262203124,26.32,5.11141242547649,5.20162622031241
150,33.0757370333073,26.32,6.99285204788568,6.75573703330728
200,34.2246460995012,26.32,8.32775470398102,7.9046460995012
300,35.9120239080701,26.32,10.2091943263902,9.59202390807008
400,37.1594534003231,26.32,11.5440969824856,10.8394534003231
500,38.1567978259592,26.32,12.5795279247102,11.8367978259592
700,39.7115091587421,26.4,14.1408267520582,13.3115091587421
1000,41.5340223642173,26.4,15.7958702032147,15.1340223642173
2000,44.9519345303867,26.4,19.0122124817193,18.5519345303867
3000,47.0703323920266,26.4,20.8936521041285,20.6703323920266
5000,50.0410295031056,26.4,23.2639857024484,23.6410295031056
10000,54.614009470305,26.4,26.480327980953,28.214009470305
15000,56.2872577665024,26.4,28.3617676033622,29.8872577665024
20000,57.4048290638765,26.4,29.6966702594575,31.0048290638765
30000,59.1347926491786,26.4,31.5781098818667,32.7347926491786
40000,60.1133003572595,26.4,32.913012537962,33.7133003572595
50000,60.9024566367567,26.4,33.9484434801867,34.5024566367567
100000,63.2842898617391,26.4,37.1647857586912,36.8842898617391
150000,64.6776277114116,26.4,39.0462253811004,38.2776277114116
200000,65.6488779268035,26.4,40.3811280371958,39.2488779268035
300000,67.0312852183117,26.4,42.262567659605,40.6312852183117
400000,68.0206563649148,26.4,43.5974703157003,41.6206563649148
500000,68.8638884848923,26.4,44.6329012579249,42.4638884848923
1000000,71.8267239369664,26.4,47.8492435364295,45.4267239369664
1500000,74.1087777076914,26.4,49.7306831588387,47.7087777076914
2000000,76.1242747398257,26.4,51.065585814934,49.7242747398257
3000000,79.4670026248828,26.4,52.9470254373432,53.0670026248828
4000000,82.3495246252106,26.4,54.2819280934385,55.9495246252106
5000000,84.4867683221896,26.4,55.3173590356632,58.0867683221896
6000000,86.3288747147031,26.4,56.1633677158477,59.9288747147031
