#ESTAR: Stopping Powers and Range Tables for Electrons
#WATER, LIQUID                                                                
#Kinetic   Collision 
#Energy    Stp. Pow. 
#MeV       MeV cm2/g 

10000 22.56
12500 18.97
15000 16.47
17500 14.61
20000 13.17
25000 11.09
30000 9.653
35000 8.592
40000 7.777
45000 7.13
50000 6.603
55000 6.166
60000 5.797
70000 5.207
80000 4.757
90000 4.402
100000 4.115
125000 3.591
150000 3.238
175000 2.984
200000 2.793
250000 2.528
300000 2.355
350000 2.235
400000 2.148
450000 2.083
500000 2.034
550000 1.995
600000 1.963
700000 1.917
800000 1.886
900000 1.864
1000000 1.849
1250000 1.829
1500000 1.822
1750000 1.821
2000000 1.824
2500000 1.834
3000000 1.846
3500000 1.858
4000000 1.87
4500000 1.882
5000000 1.892
5500000 1.902
6000000 1.911
