E(eV),Elast (e-20 m2),Vibr exc (e-20m2),Attachment (e-20m2),Exc (e-20 m2),Ion-single (e-20 m2),Ion-double (e-20 m2),K-shel_ion (e-20 m2),Rot (e-20 m2)
0.1,31.08,0,0,0,0,0,0,5.99E+02
0.15,31.64,0,0,0,0,0,0,4.45E+02
0.2,32.2,0.001,0,0,0,0,0,3.58E+02
0.3,35.56,1.71,0,0,0,0,0,2.62E+02
0.4,35.84,1.74,0,0,0,0,0,2.09E+02
0.5,35.84,3,0,0,0,0,0,1.74E+02
0.7,35,1.6,0,0,0,0,0,1.33E+02
1,33.32,0.87,0,0,0,0,0,9.91E+01
1.5,30.8,0.625,0,0,0,0,0,7.06E+01
2,28.28,0.52,0,0,0,0,0,5.54E+01
3,23.66,0.47,0,0,0,0,0,3.92E+01
4,19.88,0.535,0.001,0,0,0,0,3.05E+01
5,17.136,0.59,0.00129,0,0,0,0,2.53E+01
6,16.5,0.652,0.02,0.001,0,0,0,21.5055718080347
7,14.98,0.685,0.0367,0.002,0,0,0,1.88E+01
10,13.132,0.505,0.00419,0.05,0,0,0,1.38E+01
12.6,11.9,0.35,0.003,0.08,0.001,0,0,11.240446291671
15,11.032,0.32,0.001,0.1792,0.3276,0,0,9.66E+00
20,9.38,0.18,0.001,0.4424,1.1144,0,0,7.48E+00
30,7.112,0.08,0,0.658,2.562,0,0,5.21E+00
40,5.936,0.045,0,0.56,3.08,0,0,4.03E+00
50,5.18,0.0288,0,0.56,3.1638816664,0.0001183336,0,3.30E+00
70,4.172,0.0147,0,0.476,3.1038042,0.0041958,0,2.44E+00
100,3.332,0.0072,0,0.42,2.81210664,0.01589336,0,1.77E+00
150,2.5536,0,0,0.3612,2.37826176,0.02693824,0,1.22E+00
200,2.114,0,0,0.3248,2.06148096,0.03011904,0,9.44E-01
300,1.6184,0,0,0.2772,1.639596,0.029204,0,6.52E-01
400,1.3328,0,0,0.2464,1.36282944,0.02597056,0,5.01E-01
500,1.1424,0,0,0.224,1.17467168,0.02372832,0,4.09E-01
700,0.9016,0,0,0.1904,0.917741570400292,0.0197568,0.003301629599708,3.00E-01
1000,0.6944,0,0,0.1596,0.698247234693039,0.0157696,0.002783165306961,2.16E-01
2000,0.4032,0,0,0.1008,0.395194172232737,0.008932,0.001873827767263,1.14E-01
3000,0.2856,0,0,0.0756,0.277876271194772,0.0062832,0.001440528805228,7.81E-02
5000,0.18396,0,0,0.05124,0.175618374550634,0.0039732,0.001008425449366,4.87E-02
10000,0.09912,0,0,0.02884,0.093048428590445,0.00210672,0.000604851409555,2.55E-02
15000,0.0677575571335,0,0,0.020298664629635,0.065939665148077,0.001493606125309,0.000457916240642,0.017730644521825
20000,0.05185385594232,0,0,0.01584601613055,0.051742659447529,0.00117239530361,0.000375640867488,0.01360455715912
30000,0.03577619943604,0,0,0.01116887080651,0.036982195240619,0.000838319809291,0.000284930826933,0.009365791315508
40000,0.027684766049266,0,0,0.008725699538204,0.029316273017774,0.000664755404026,0.00023512630665,0.007186283788804
50000,0.022804076922746,0,0,0.007265009408979,0.024605703104889,0.000558077454113,0.000203376446149,0.005851568852038
100000,0.012957761390288,0,0,0.004232533975164,0.014856340493199,0.000337208618285,0.000134115356036,0.003090952089703
150000,0.009740791360862,0,0,0.003179889890038,0.011499557213992,0.000261131939362,0.000108944454024,0.002127905517232
200000,0.008131142284266,0,0,0.002658841985212,0.009809721820964,0.000222829088781,9.60440348264418E-05,0.001632721935334
300000,0.006529053070236,0,0,0.00214995688782,0.008139300299136,0.000184967090066,8.3327613787797E-05,0.001124015485674
400000,0.005697285077118,0,0,0.001910537174602,0.007331160613906,0.000166654308559,7.73809211279044E-05,0.000862446534517
500000,0.00519367790023,0,0,0.001776161986021,0.006868325849883,0.00015617105621,7.41874670787059E-05,0.000702263565737
1000000,0.004127606484954,0,0,0.001559737820866,0.006058708688893,0.000137866476598,7.00828617016342E-05,0.000370954028044
1500000,0.003746683582926,0,0,0.001503590549885,0.005873486155327,0.000133710986395,7.05749671595828E-05,0.000255376045958
2000000,0.003542227230622,0,0,0.001466494756035,0.005808374534976,0.000132270323504,7.16425735032026E-05,0.000195947643642
3000000,0.003339758939062,0,0,0.001429998645485,0.005758780879711,0.000131199155991,7.36179638697404E-05,0.00013489632317
4000000,0.00323530727392,0,0,0.001408463864434,0.005724109169793,0.000130450322959,7.50006417416115E-05,0.000103504682915
5000000,0.003176110149398,0,0,0.00139348715844,0.005718465028028,0.000130353540595,7.63423675349203E-05,8.42806652766683E-05
6000000,0.003135093317206,0,0,0.001382031669769,0.005714643259374,0.000130292436476,7.7447780342676E-05,7.12557747396304E-05
