 Nproc_#1_NoPrimaries , Nproc_#2_Edep(MeV) , Nproc_#5_Dose(Gy) , Nproc_#6_Charge(Coulomb) , Nproc_#7_NoIonisations , Nproc_Rayl , Nproc_Transportation , Nproc_compt , Nproc_conv , Nproc_e+_LeptsAnnihilation , Nproc_e+_LeptsDissocNeutr , Nproc_e+_LeptsElastic , Nproc_e+_LeptsElectronicExcitation , Nproc_e+_LeptsExcitRotat , Nproc_e+_LeptsExcitVibrat , Nproc_e+_LeptsIonisationD , Nproc_e+_LeptsIonisationK , Nproc_e+_LeptsIonisationS , Nproc_e+_LeptsPositronium , Nproc_e-_LeptsAttachment , Nproc_e-_LeptsElastic , Nproc_e-_LeptsElectronicExcitation , Nproc_e-_LeptsExcitRotat , Nproc_e-_LeptsIonisationD , Nproc_e-_LeptsIonisationK , Nproc_e-_LeptsIonisationS , Nproc_e-_LeptsThermalisation , Nproc_phot ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
150017000,4.99792E-05,4.00578E-14,1.69098E-19,1.05543,1.98712E-06,0.00317511,0.000114393,5.42208E-07,8.65551E-08,1.95312E-05,0.0040374,1.76988E-06,0.00198996,1.54293E-07,0.000163444,7.78869E-05,0.007223,3.34004E-07,0.0691084,167.902,0.398974,302.405,0.014479,0.00628897,1.00619,0.792738,1.96147E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
150207000,4.96179E-05,3.97683E-14,1.6816E-19,1.04957,1.70699E-06,0.00317671,0.000112867,5.39939E-07,8.05744E-08,2.14555E-05,0.00473257,2.27493E-06,0.00234065,2.41164E-07,0.000192003,9.28929E-05,0.00849423,3.53042E-07,0.0687967,167.155,0.396696,301.06,0.0143569,0.00623252,0.999329,0.789205,1.66829E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
150044000,4.97003E-05,3.98343E-14,1.68399E-19,1.05106,1.80194E-06,0.00317767,0.000113765,5.38908E-07,1.26001E-07,2.00303E-05,0.00416078,1.96055E-06,0.00204005,3.3051E-07,0.000166746,7.91458E-05,0.00738319,3.33612E-07,0.0687918,167.297,0.397423,301.31,0.0143922,0.00625487,1.00189,0.789813,1.58643E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
153614000,4.84625E-05,3.88423E-14,1.63963E-19,1.02338,1.90275E-06,0.00312992,0.00011045,4.65358E-07,1.29786E-07,1.86759E-05,0.00392678,1.8902E-06,0.00194565,2.92556E-07,0.000160702,7.69273E-05,0.00700399,2.80918E-07,0.0670675,162.982,0.386817,293.533,0.0140258,0.00610426,0.975636,0.76942,1.85163E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
154882000,4.89171E-05,3.92066E-14,1.65298E-19,1.03171,1.71602E-06,0.0031195,0.00011022,6.12719E-07,7.04388E-08,2.21217E-05,0.00438627,2.30511E-06,0.00218075,2.12932E-07,0.000179926,8.80245E-05,0.00792666,4.00484E-07,0.0673825,163.815,0.389598,295.046,0.0141679,0.00614258,0.982626,0.77343,1.82055E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
145709000,4.77512E-05,3.82722E-14,1.61471E-19,1.00782,1.61787E-06,0.0029926,0.000104128,4.98668E-07,5.55637E-08,1.69154E-05,0.00397139,1.86538E-06,0.00197977,1.03364E-07,0.00016285,7.91581E-05,0.00719044,2.8168E-07,0.0660397,160.474,0.381038,289.023,0.0138131,0.00600154,0.960519,0.757645,1.62694E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
167609000,4.2774E-05,3.4283E-14,1.44473E-19,0.901732,1.46051E-06,0.00273757,9.71623E-05,4.45056E-07,4.74092E-08,1.399E-05,0.00325543,1.58437E-06,0.00161257,8.2846E-08,0.000133727,6.43654E-05,0.00586524,2.62546E-07,0.0591769,143.88,0.341131,259.138,0.0123803,0.00538217,0.859945,0.679254,1.48272E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
740294000,6.78735E-06,5.44E-15,2.44569E-20,0.152648,1.39742E-06,0.000997772,4.61952E-05,1.73831E-08,1.34646E-08,2.38557E-06,0.000384871,2.04329E-07,0.000185447,3.49857E-08,1.52382E-05,7.00678E-06,0.000668905,3.94172E-08,0.0101305,24.6027,0.0588536,44.3059,0.0020908,0.000828089,0.146097,0.116141,1.54718E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1230090000,4.31237E-06,3.45633E-15,1.58764E-20,0.0990926,1.27731E-06,0.000808367,4.00734E-05,8.97819E-09,8.17117E-10,3.67563E-07,7.41576E-05,3.34453E-08,3.61137E-05,3.2102E-09,3.0352E-06,1.3733E-06,0.000130676,6.43943E-09,0.00670774,16.3135,0.0386944,29.3799,0.00135038,0.000519441,0.0952134,0.0770225,1.44126E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.08077E-06,1.08077E-09,0.0750538,1.22361E-06,0.000676674,3.45681E-05,8.11919E-09,1.94762E-07,3.97042E-05,1.79029E-08,1.93407E-05,1.63089E-06,7.68526E-07,7.04379E-05,4.34048E-09,0.00510918,12.4224,0.0294156,22.3725,0.00102091,0.000386904,0.0721629,0.0586477,1.39984E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2453780000,2.49063E-06,1.99622E-15,9.33288E-21,0.0582512,1.14878E-06,0.000577814,3.03382E-05,6.14969E-09,8.23262E-10,1.59889E-07,3.12056E-05,1.75473E-08,1.5654E-05,4.11956E-09,1.34398E-06,6.01592E-07,5.70975E-05,2.84215E-09,0.00397146,9.65379,0.0228731,17.386,0.000792673,0.00029555,0.0560138,0.045578,1.32153E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2929080000,1.99686E-06,1.60046E-15,7.52317E-21,0.0469559,1.07232E-06,0.000497572,2.63647E-05,4.78951E-09,1.02791E-09,1.65091E-07,3.50138E-05,2.05872E-08,1.6812E-05,1.38914E-09,1.42857E-06,6.6985E-07,6.19478E-05,2.37859E-09,0.00322023,7.827,0.0184809,14.0965,0.000636249,0.000235835,0.0451456,0.0369528,1.22296E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
