#,Primaries,Edep(MeV),Dose(Gy),Charge(Coulomb),NoIonisations,Rayl,compt,conv,Attachment,Elastic,ElectronicExcit,ExcitRotat,IonisationD,LeptsIonisationK,IonisationS,Thermalisation,phot
0,188272000,6.67771E-05,5.35212E-14,2.2593E-19,1.41014,2.28197E-06,0.000149516,8.32871E-07,0.0922454,224.259,0.535563,403.889,0.0195584,0.00851708,1.35399,1.05878,2.05508E-06
1,186839000,6.67046E-05,5.34632E-14,2.25639E-19,1.40833,2.32106E-06,0.000147771,7.53787E-07,0.0922072,224.126,0.535135,403.647,0.0195439,0.00849091,1.35226,1.05805,1.96493E-06
2,189971000,6.54535E-05,5.24604E-14,2.21444E-19,1.38215,1.992E-06,0.000145891,7.07649E-07,0.0904717,220.024,0.525176,396.27,0.0191765,0.00833293,1.32713,1.03881,2.09187E-06
3,190753000,6.54288E-05,5.24406E-14,2.21188E-19,1.38055,1.97675E-06,0.000141946,7.33932E-07,0.0905059,219.836,0.524489,395.93,0.0191532,0.00834021,1.32556,1.03789,1.87703E-06
4,196200000,6.45488E-05,5.17353E-14,2.18089E-19,1.36121,1.77249E-06,0.000137789,8.32623E-07,0.0892538,216.839,0.517042,390.526,0.0188631,0.00822846,1.30702,1.02372,1.86109E-06
5,210332000,6.24272E-05,5.00348E-14,2.10686E-19,1.315,1.79239E-06,0.000130901,6.58421E-07,0.0860443,209.237,0.499077,376.832,0.018243,0.00796474,1.26258,0.987782,1.62539E-06
6,556345000,1.95133E-05,1.56397E-14,6.67583E-20,0.416673,1.65496E-06,6.86995E-05,1.77506E-07,0.0266144,64.7082,0.157606,116.523,0.00586302,0.00248946,0.399968,0.305454,1.88081E-06
7,1620090000,4.42691E-06,3.54813E-15,1.65388E-20,0.103227,1.52974E-06,4.68701E-05,9.71617E-09,0.0070344,17.1063,0.0405543,30.8066,0.00140745,0.000529612,0.0993529,0.0807494,1.63515E-06
8,2757760000,3.09904E-06,2.48385E-15,1.17771E-20,0.0735068,1.4008E-06,3.98287E-05,4.25229E-09,0.00503656,12.2488,0.0290149,22.0594,0.000998874,0.000366059,0.0707769,0.0578317,1.57165E-06
9,4104410000,2.28982E-06,1.83527E-15,8.81193E-21,0.0549998,1.25324E-06,3.4148E-05,1.73244E-09,0.00379641,9.22424,0.0218026,16.6118,0.000745738,0.000267192,0.0529739,0.0435432,1.48286E-06
10,5178820000,1.73841E-06,1.39332E-15,6.78452E-21,0.0423457,1.21792E-06,2.98335E-05,1.1575E-09,0.00294079,7.14968,0.0168618,12.8756,0.000571919,0.000200571,0.0408007,0.0337513,1.3944E-06
11,6131990000,1.33879E-06,1.07303E-15,5.29356E-21,0.0330398,1.11855E-06,2.61263E-05,1.68508E-10,0.00230601,5.6066,0.013203,10.0972,0.000444411,0.000152961,0.0318451,0.026468,1.34175E-06
,,,,,,,,,,,,,,,,,
0,,0.00735334,0.00735334,0.00721344,0.00721344,0.0531929,0.00650369,0.0699411,0.00752617,0.00751092,0.00725906,0.00751424,0.00708884,0.00741225,0.00721736,0.00751781,0.0512217
1,,0.00685676,0.00685676,0.00678949,0.00678949,0.0466384,0.0060663,0.0951188,0.00727386,0.00723193,0.00689587,0.00723282,0.00663445,0.00684842,0.00679602,0.007227,0.0568024
2,,0.00750121,0.00750121,0.00750866,0.00750866,0.048783,0.00653268,0.0907677,0.00807913,0.00806737,0.00764533,0.00807168,0.00717695,0.00753083,0.00752098,0.00807215,0.0522359
3,,0.00832243,0.00832243,0.00807061,0.00807061,0.0477111,0.00580122,0.0853948,0.00829727,0.00823213,0.00803434,0.00823313,0.00798364,0.00854835,0.00806974,0.00823485,0.0570021
4,,0.0072801,0.0072801,0.00708493,0.00708493,0.0548169,0.00581505,0.0832882,0.00749749,0.00746582,0.00712228,0.0074683,0.00689568,0.00747975,0.0070881,0.00746405,0.0466403
5,,0.00819322,0.00819322,0.0081426,0.0081426,0.0534686,0.00537025,0.0809757,0.00853216,0.00855295,0.00823087,0.00855172,0.00791285,0.00820052,0.00815066,0.00853945,0.0487843
6,,0.00839459,0.00839459,0.00829616,0.00829616,0.0353972,0.00482168,0.0912992,0.00871228,0.00873995,0.0083899,0.00874295,0.0080745,0.00854807,0.00830302,0.0087472,0.0345144
7,,0.00742097,0.00742097,0.00715232,0.00715232,0.0205884,0.00337969,0.274021,0.0075115,0.00749975,0.0071762,0.0075026,0.00706778,0.00778918,0.00715262,0.00749143,0.0158403
8,,0.00698512,0.00698512,0.00642137,0.00642137,0.0179077,0.00298269,0.271021,0.00648612,0.00650788,0.00631261,0.0065057,0.00664631,0.00727675,0.0064101,0.00650083,0.014778
9,,0.0056821,0.0056821,0.00535145,0.00535145,0.0161122,0.002589,0.364702,0.00573331,0.00568736,0.00536869,0.00568892,0.00528255,0.00596686,0.00535156,0.00569242,0.0132522
10,,0.00561635,0.00561635,0.00522542,0.00522542,0.0118543,0.00209535,0.395935,0.00554231,0.00552385,0.00521138,0.00552434,0.00520093,0.00623152,0.005221,0.00551961,0.0112514
11,,0.00652784,0.00652784,0.00612897,0.00612897,0.0121191,0.00275832,0.994987,0.00640364,0.00635834,0.0061204,0.00635989,0.00612169,0.0069371,0.00612422,0.00636486,0.0114791
