 # E(eV),fuente sin integrar,fuente, salida fuente distr 10 ,Salida fuente monoE
-0.005,0,10000000,10000300,9999980
0.005,0,10000000,10000300,9999980
0.015,0,10000000,5773990,5784340
0.025,0,10000000,5770860,5781230
0.035,0,10000000,5767830,5778160
0.045,0,10000000,5764780,5775140
0.055,0,10000000,5761640,5772110
0.065,0,10000000,5758480,5768970
0.075,0,10000000,5755100,5765610
0.085,0,10000000,5751420,5762090
0.095,0,10000000,5747160,5758020
0.105,0,10000000,5741920,5752700
0.115,0,10000000,5735640,5746430
0.125,0,10000000,5729610,5740460
0.135,0,10000000,5723970,5734650
0.145,0,10000000,5718200,5728990
0.155,0,10000000,5712690,5723490
0.165,0,10000000,5707340,5718070
0.175,0,10000000,5702230,5712970
0.185,0,10000000,5697250,5707830
0.195,0,10000000,5692250,5702880
0.205,0,10000000,5687550,5698040
0.215,0,10000000,5682850,5693330
0.225,0,10000000,5678070,5688530
0.235,0,10000000,5673640,5683960
0.245,0,10000000,5669220,5679460
0.255,0,10000000,5664740,5675030
0.265,0,10000000,5660490,5670780
0.275,0,10000000,5656210,5666420
0.285,0,10000000,5652060,5662200
0.295,0,10000000,5647840,5658060
0.305,0,10000000,5643770,5654070
0.315,0,10000000,5639640,5650020
0.325,0,10000000,5635530,5645980
0.335,0,10000000,5631540,5642060
0.345,0,10000000,5627620,5638170
0.355,0,10000000,5623840,5634370
0.365,0,10000000,5620090,5630640
0.375,0,10000000,5616340,5626890
0.385,0,10000000,5612670,5623280
0.395,0,10000000,5608960,5619630
0.405,0,10000000,5605390,5616020
0.415,0,10000000,5601710,5612420
0.425,0,10000000,5598170,5608800
0.435,0,10000000,5594680,5605320
0.445,0,10000000,5591070,5601790
0.455,0,10000000,5587660,5598300
0.465,0,10000000,5584060,5594890
0.475,0,10000000,5580480,5591400
0.485,0,10000000,5576990,5587900
0.495,0,10000000,5573520,5584360
0.505,0,10000000,5570100,5580930
0.515,0,10000000,5566590,5577390
0.525,0,10000000,5563170,5573930
0.535,0,10000000,5559710,5570490
0.545,0,10000000,5556240,5567110
0.555,0,10000000,5552850,5563690
0.565,0,10000000,5549440,5560270
0.575,0,10000000,5546000,5556810
0.585,0,10000000,5542630,5553360
0.595,0,10000000,5539200,5549920
0.605,0,10000000,5535820,5546450
0.615,0,10000000,5532400,5543100
0.625,0,10000000,5529000,5539720
0.635,0,10000000,5525640,5536180
0.645,0,10000000,5522300,5532660
0.655,0,10000000,5518820,5529250
0.665,0,10000000,5515320,5525870
0.675,0,10000000,5511870,5522400
0.685,0,10000000,5508430,5519060
0.695,0,10000000,5504850,5515470
0.705,0,10000000,5501350,5511950
0.715,0,10000000,5497950,5508440
0.725,0,10000000,5494520,5505000
0.735,0,10000000,5491140,5501470
0.745,0,10000000,5487740,5497970
0.755,0,10000000,5484250,5494460
0.765,0,10000000,5480820,5491030
0.775,0,10000000,5477410,5487510
0.785,0,10000000,5473880,5484020
0.795,0,10000000,5470310,5480550
0.805,0,10000000,5466860,5477090
0.815,0,10000000,5463480,5473640
0.825,0,10000000,5460020,5470240
0.835,0,10000000,5456610,5466810
0.845,0,10000000,5453180,5463320
0.855,0,10000000,5449760,5459790
0.865,0,10000000,5446260,5456320
0.875,0,10000000,5442850,5452840
0.885,0,10000000,5439360,5449340
0.895,0,10000000,5435890,5445920
0.905,0,10000000,5432300,5442400
0.915,0,10000000,5428870,5438880
0.925,0,10000000,5425240,5435390
0.935,0,10000000,5421830,5431880
0.945,0,10000000,5418450,5428420
0.955,0,10000000,5415010,5424930
0.965,0,10000000,5411620,5421460
0.975,0,10000000,5408190,5417940
0.985,0,10000000,5404780,5414350
0.995,0,10000000,5401200,5410970
1.005,0,10000000,5397720,5407430
1.015,0,10000000,5394200,5404090
1.025,0,10000000,5390680,5400590
1.035,0,10000000,5387180,5396980
1.045,0,10000000,5383660,5393500
1.055,0,10000000,5380130,5389980
1.065,0,10000000,5376660,5386480
1.075,0,10000000,5373010,5382980
1.085,0,10000000,5369560,5379460
1.095,0,10000000,5366040,5375870
1.105,0,10000000,5362530,5372430
1.115,0,10000000,5359080,5368880
1.125,0,10000000,5355550,5365480
1.135,0,10000000,5352110,5362020
1.145,0,10000000,5348630,5358630
1.155,0,10000000,5345040,5355190
1.165,0,10000000,5341540,5351630
1.175,0,10000000,5338040,5348140
1.185,0,10000000,5334620,5344690
1.195,0,10000000,5331130,5341160
1.205,0,10000000,5327640,5337730
1.215,0,10000000,5324120,5334200
1.225,0,10000000,5320590,5330660
1.235,0,10000000,5317110,5327190
1.245,0,10000000,5313520,5323660
1.255,0,10000000,5310020,5320090
1.265,0,10000000,5306480,5316630
1.275,0,10000000,5303020,5313210
1.285,0,10000000,5299480,5309630
1.295,0,10000000,5296090,5306180
1.305,0,10000000,5292590,5302550
1.315,0,10000000,5289090,5299040
1.325,0,10000000,5285560,5295560
1.335,0,10000000,5281950,5292030
1.345,0,10000000,5278440,5288440
1.355,0,10000000,5274870,5284870
1.365,0,10000000,5271300,5281370
1.375,0,10000000,5267820,5277790
1.385,0,10000000,5264290,5274200
1.395,0,10000000,5260770,5270700
1.405,0,10000000,5257220,5267130
1.415,0,10000000,5253680,5263510
1.425,0,10000000,5250160,5259990
1.435,0,10000000,5246600,5256340
1.445,0,10000000,5243080,5252740
1.455,0,10000000,5239420,5249050
1.465,0,10000000,5235910,5245240
1.475,0,10000000,5232380,5241670
1.485,0,10000000,5228780,5238070
1.495,0,10000000,5225170,5234530
1.505,0,10000000,5221620,5231030
1.515,0,10000000,5217920,5227440
1.525,0,10000000,5214340,5223820
1.535,0,10000000,5210710,5220350
1.545,0,10000000,5207220,5216770
1.555,0,10000000,5203580,5213110
1.565,0,10000000,5200000,5209480
1.575,0,10000000,5196460,5205870
1.585,0,10000000,5192870,5202290
1.595,0,10000000,5189260,5198600
1.605,0,10000000,5185670,5195020
1.615,0,10000000,5182070,5191420
