 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
-0.005,1000000,1000000,1000000,1000000,,-0.005,1000000,1000000,1000000,1000000,,-0.005,1000040,1000040,1000060,1000020,,-0.005,1110630,1223290,1089490,1142860
0.005,1000000,1000000,1000000,1000000,,0.005,1000000,1000000,1000000,1000000,,0.005,1000040,1000040,1000060,1000020,,0.005,1110630,1223290,1089490,1142860
0.015,636655,373885,176592,72244,,0.015,930767,786117,702303,437625,,0.015,962498,866510,816154,577628,,0.015,1054170,1034790,948873,757790
0.025,634979,372816,175938,72002,,0.025,930370,785674,701760,437261,,0.025,962260,866208,815770,577334,,0.025,1053880,1034430,948593,757495
0.035,633385,371752,175252,71738,,0.035,929972,785221,701236,436852,,0.035,962032,865925,815385,577035,,0.035,1053580,1034110,948288,757203
0.045,631764,370702,174604,71461,,0.045,929566,784761,700722,436444,,0.045,961816,865622,815058,576763,,0.045,1053300,1033750,947995,756948
0.055,630095,369599,173973,71192,,0.055,929160,784337,700222,436079,,0.055,961592,865345,814681,576442,,0.055,1052980,1033380,947678,756647
0.065,628426,368517,173323,70894,,0.065,928759,783853,699680,435663,,0.065,961354,865061,814296,576133,,0.065,1052670,1033040,947389,756362
0.075,626636,367367,172591,70603,,0.075,928351,783332,699080,435266,,0.075,961153,864768,813914,575778,,0.075,1052360,1032700,947090,756060
0.085,624695,366092,171865,70291,,0.085,927932,782799,698409,434799,,0.085,960919,864443,813499,575436,,0.085,1052030,1032330,946756,755748
0.095,622436,364659,170948,69926,,0.095,927402,782211,697704,434286,,0.095,960602,864087,813031,574986,,0.095,1051660,1031880,946352,755390
0.105,619641,362738,169788,69471,,0.105,926725,781457,696828,433658,,0.105,960266,863638,812448,574476,,0.105,1051200,1031330,945842,754922
0.115,616310,360495,168375,68862,,0.115,925898,780562,695750,432866,,0.115,959833,863048,811761,573864,,0.115,1050680,1030660,945278,754377
0.125,613014,358357,167043,68282,,0.125,925149,779703,694735,432108,,0.125,959443,862489,811081,573251,,0.125,1050180,1030010,944722,753813
0.135,609884,356294,165804,67716,,0.135,924448,778837,693690,431424,,0.135,959045,862005,810444,572689,,0.135,1049710,1029450,944191,753276
0.145,606851,354280,164552,67219,,0.145,923744,778037,692727,430752,,0.145,958636,861515,809803,572106,,0.145,1049220,1028840,943679,752798
0.155,603932,352345,163313,66684,,0.155,923058,777214,691775,430105,,0.155,958249,861015,809157,571542,,0.155,1048750,1028310,943220,752284
0.165,600993,350439,162183,66159,,0.165,922416,776394,690864,429435,,0.165,957853,860498,808532,571026,,0.165,1048310,1027760,942729,751795
0.175,598148,348589,161097,65694,,0.175,921770,775607,689966,428840,,0.175,957478,860014,807883,570509,,0.175,1047870,1027190,942286,751316
0.185,595457,346743,160004,65231,,0.185,921154,774906,689086,428224,,0.185,957118,859545,807284,570049,,0.185,1047460,1026680,941866,750888
0.195,592796,344999,158939,64762,,0.195,920499,774213,688268,427626,,0.195,956769,859054,806693,569522,,0.195,1047040,1026170,941380,750452
0.205,590205,343285,157915,64313,,0.205,919859,773516,687413,427041,,0.205,956444,858629,806159,569080,,0.205,1046640,1025680,940941,750051
0.215,587601,341558,156901,63889,,0.215,919295,772793,686594,426439,,0.215,956092,858213,805601,568661,,0.215,1046260,1025180,940522,749573
0.225,585095,339886,155884,63473,,0.225,918675,772093,685739,425868,,0.225,955785,857773,805047,568183,,0.225,1045860,1024670,940105,749165
0.235,582652,338266,154917,63105,,0.235,918083,771460,684969,425280,,0.235,955479,857357,804537,567729,,0.235,1045490,1024240,939730,748779
0.245,580207,336713,153955,62709,,0.245,917539,770792,684113,424750,,0.245,955159,856952,804054,567296,,0.245,1045100,1023770,939334,748376
0.255,577853,335129,153035,62336,,0.255,916980,770152,683356,424163,,0.255,954851,856517,803564,566815,,0.255,1044780,1023340,938973,748011
0.265,575537,333568,152189,61948,,0.265,916462,769506,682625,423666,,0.265,954534,856117,803074,566365,,0.265,1044440,1022880,938655,747664
0.275,573260,331962,151289,61586,,0.275,915918,768869,681841,423138,,0.275,954256,855716,802611,565927,,0.275,1044120,1022490,938302,747293
0.285,570970,330451,150406,61252,,0.285,915453,768281,681081,422622,,0.285,953976,855310,802145,565522,,0.285,1043840,1022080,937978,746915
0.295,568731,328935,149530,60888,,0.295,914897,767700,680343,422140,,0.295,953679,854910,801652,565111,,0.295,1043560,1021650,937663,746569
0.305,566437,327437,148671,60527,,0.305,914410,767089,679568,421668,,0.305,953350,854540,801193,564686,,0.305,1043210,1021240,937329,746232
0.315,564251,326024,147824,60192,,0.315,913837,766463,678841,421197,,0.315,953098,854168,800730,564228,,0.315,1042920,1020850,937003,745923
0.325,562091,324598,146913,59838,,0.325,913296,765886,678117,420708,,0.325,952809,853804,800259,563817,,0.325,1042660,1020480,936702,745602
0.335,559935,323212,146108,59446,,0.335,912774,765299,677447,420196,,0.335,952521,853417,799837,563389,,0.335,1042380,1020120,936401,745256
0.345,557686,321852,145279,59109,,0.345,912251,764715,676799,419750,,0.345,952266,853061,799373,563009,,0.345,1042120,1019760,936105,744950
0.355,555543,320474,144472,58769,,0.355,911764,764169,676151,419283,,0.355,951995,852691,798928,562669,,0.355,1041880,1019420,935844,744632
0.365,553444,319084,143713,58435,,0.365,911279,763630,675476,418798,,0.365,951705,852332,798466,562305,,0.365,1041620,1019060,935575,744345
0.375,551399,317724,142886,58086,,0.375,910812,763108,674819,418362,,0.375,951425,851971,798032,561951,,0.375,1041360,1018730,935307,744048
0.385,549395,316428,142101,57736,,0.385,910337,762592,674128,417875,,0.385,951168,851608,797605,561590,,0.385,1041100,1018420,935043,743784
0.395,547352,315126,141326,57435,,0.395,909878,762037,673551,417422,,0.395,950910,851263,797188,561228,,0.395,1040870,1018100,934787,743509
0.405,545349,313890,140546,57117,,0.405,909405,761518,672905,416983,,0.405,950638,850918,796726,560884,,0.405,1040630,1017800,934563,743233
0.415,543328,312536,139807,56806,,0.415,908941,760992,672238,416549,,0.415,950402,850582,796294,560518,,0.415,1040410,1017500,934290,742951
0.425,541324,311191,139020,56473,,0.425,908491,760468,671613,416091,,0.425,950149,850263,795882,560173,,0.425,1040200,1017200,934051,742651
0.435,539355,309915,138255,56143,,0.435,908015,759952,670969,415672,,0.435,949894,849957,795446,559819,,0.435,1040000,1016890,933824,742394
0.445,537442,308664,137509,55778,,0.445,907561,759409,670345,415251,,0.445,949631,849623,795051,559467,,0.445,1039780,1016560,933573,742110
0.455,535397,307407,136773,55513,,0.455,907103,758850,669761,414818,,0.455,949401,849335,794601,559117,,0.455,1039560,1016260,933341,741862
0.465,533399,306185,136037,55219,,0.465,906643,758317,669168,414414,,0.465,949139,848989,794222,558760,,0.465,1039360,1015940,933103,741599
0.475,531439,304889,135267,54895,,0.475,906192,757818,668567,413948,,0.475,948896,848646,793845,558407,,0.475,1039150,1015610,932865,741339
0.485,529504,303646,134526,54567,,0.485,905715,757307,667954,413518,,0.485,948645,848291,793427,558069,,0.485,1038960,1015340,932640,741083
0.495,527627,302438,133788,54275,,0.495,905270,756759,667370,413121,,0.495,948393,847957,793040,557686,,0.495,1038770,1015030,932407,740846
0.505,525642,301220,133048,53955,,0.505,904815,756208,666778,412680,,0.505,948158,847626,792645,557389,,0.505,1038580,1014770,932188,740613
0.515,523750,299979,132319,53635,,0.515,904381,755731,666185,412266,,0.515,947914,847319,792275,557024,,0.515,1038400,1014470,931959,740344
0.525,521834,298721,131561,53340,,0.525,903958,755248,665561,411861,,0.525,947690,846989,791826,556733,,0.525,1038220,1014180,931740,740074
0.535,519851,297403,130866,53009,,0.535,903514,754734,664951,411422,,0.535,947440,846666,791411,556367,,0.535,1038040,1013930,931517,739834
0.545,517984,296138,130076,52671,,0.545,903054,754265,664363,410987,,0.545,947177,846319,791010,556004,,0.545,1037870,1013660,931322,739621
0.555,516116,294965,129377,52365,,0.555,902588,753763,663757,410560,,0.555,946938,845979,790634,555688,,0.555,1037680,1013400,931140,739378
0.565,514228,293752,128661,52025,,0.565,902152,753263,663149,410112,,0.565,946668,845650,790297,555346,,0.565,1037510,1013140,930931,739135
0.575,512324,292511,127927,51727,,0.575,901706,752737,662525,409729,,0.575,946448,845316,789904,554977,,0.575,1037330,1012860,930738,738898
0.585,510458,291292,127215,51403,,0.585,901286,752262,661922,409301,,0.585,946221,844995,789513,554634,,0.585,1037170,1012600,930542,738677
0.595,508505,290047,126465,51092,,0.595,900832,751784,661349,408848,,0.595,945964,844681,789091,554277,,0.595,1037020,1012320,930369,738423
0.605,506519,288819,125740,50798,,0.605,900423,751280,660741,408445,,0.605,945703,844356,788700,553940,,0.605,1036880,1012040,930161,738193
0.615,504572,287513,125054,50489,,0.615,899959,750739,660146,408006,,0.615,945493,844065,788320,553614,,0.615,1036720,1011820,929985,737953
0.625,502704,286249,124323,50189,,0.625,899519,750267,659537,407594,,0.625,945253,843758,787911,553263,,0.625,1036590,1011550,929799,737694
0.635,500775,285027,123590,49856,,0.635,899074,749783,658935,407153,,0.635,945035,843433,787540,552922,,0.635,1036450,1011310,929614,737463
0.645,498878,283875,122852,49526,,0.645,898629,749287,658332,406749,,0.645,944780,843080,787130,552593,,0.645,1036330,1011070,929435,737253
0.655,496913,282614,122132,49224,,0.655,898165,748782,657738,406356,,0.655,944556,842786,786712,552244,,0.655,1036180,1010840,929264,737028
0.665,494896,281353,121412,48896,,0.665,897730,748257,657141,405914,,0.665,944319,842429,786294,551876,,0.665,1036020,1010580,929095,736805
0.675,492932,280083,120656,48577,,0.675,897290,747766,656558,405497,,0.675,944078,842106,785879,551525,,0.675,1035900,1010340,928933,736581
0.685,490938,278822,119937,48265,,0.685,896832,747254,655964,405051,,0.685,943832,841789,785455,551209,,0.685,1035760,1010110,928765,736364
