#Dist(mm),Rad(mm),Volu(mm3),Mass(g),,NoPrimaries,Edep(MeV)/pri,Dose(Gy)/pri,Dose(cGy/h/MBq)/pri,Charge(Coulomb)/pri,,Ionisations/pri,IonisationD/pri,IonisationK/pri,IonisationS/pri,Attachment/pri,DissocNeutr/pri,Elastic/pri,ElectronicExci/pri,ExcitRotat/pri,Thermalisation/pri,phot/pri,Rayl/pri,compt/pri
5,1.11802,5.85401,0.00585401,,400000000,4.76823E-05,1.30501E-12,0.469803,1.49869E-19,,0.935407,0.0138424,0.0047199,0.898282,0.0753681,0.268105,178.706,0.38435,321.163,0.825387,1.555E-06,3.3875E-06,0.000461467
10,1.58107,16.5576,0.0165576,,400000000,3.43599E-05,3.32478E-13,0.119692,1.08169E-19,,0.675138,0.00998575,0.00338866,0.648389,0.0544153,0.193896,128.972,0.277466,231.781,0.595745,1.54E-06,2.9425E-06,0.000351962
20,2.23589,46.8321,0.0468321,,400000000,2.40583E-05,8.23061E-14,0.0296302,7.59685E-20,,0.474158,0.00701718,0.00236119,0.455401,0.0382211,0.13682,90.5834,0.194977,162.795,0.418419,2.2175E-06,3.32E-06,0.000276272
30,2.73834,86.0361,0.0860361,,400000000,1.94866E-05,3.62882E-14,0.0130638,6.17259E-20,,0.385263,0.00569608,0.00190152,0.370068,0.0310658,0.111684,73.6125,0.158455,132.289,0.339991,3.015E-06,3.8975E-06,0.00024983
50,3.53509,185.12,0.18512,,400000000,1.45363E-05,1.25809E-14,0.00452912,4.63229E-20,,0.289125,0.00427657,0.0014018,0.277768,0.0233112,0.0845682,55.2574,0.119018,99.3,0.255194,4.8875E-06,5.5525E-06,0.000227405
70,4.1827,306.652,0.306652,,400000000,1.20778E-05,6.31033E-15,0.00227172,3.8704E-20,,0.241571,0.00356764,0.0011564,0.232123,0.0194735,0.0711845,46.1675,0.0994784,82.9692,0.21325,7.0125E-06,6.49E-06,0.000219513
100,4.9992,523.599,0.523599,,400000000,9.17434E-06,2.80728E-15,0.00101062,2.96329E-20,,0.184954,0.00272909,0.000866605,0.177762,0.0149198,0.0551482,35.3591,0.0761763,63.5408,0.163305,9.2E-06,8.105E-06,0.000205627
150,6.12262,961.912,0.961912,,400000000,6.62761E-06,1.10391E-15,0.000397406,2.15832E-20,,0.134712,0.00198728,0.00061132,0.129515,0.0108709,0.0406643,25.765,0.0554698,46.2972,0.118972,1.15775E-05,8.95E-06,0.00018278
200,7.06969,1480.96,1.48096,,400000000,4.71018E-06,5.0957E-16,0.000183445,1.54554E-20,,0.0964652,0.0014225,0.000430428,0.0927593,0.00778134,0.0294351,18.4509,0.0397161,33.1561,0.0852137,1.19E-05,8.5175E-06,0.000150765
250,7.90406,2069.71,2.06971,,400000000,3.33241E-06,2.57964E-16,9.28672E-05,1.09941E-20,,0.0686197,0.00101223,0.000299543,0.0659962,0.00554308,0.0210881,13.1311,0.0282322,23.5928,0.0606245,1.0245E-05,7.8225E-06,0.00011931
300,8.65839,2720.7,2.7207,,400000000,2.32956E-06,1.37184E-16,4.93862E-05,7.73046E-21,,0.0482497,0.000710408,0.000208432,0.0464121,0.00389882,0.0149199,9.23228,0.019839,16.5883,0.0426348,8.54E-06,5.93E-06,9.0445E-05
400,9.9977,4188.79,4.18879,,400000000,1.12959E-06,4.32057E-17,1.55541E-05,3.76955E-21,,0.0235277,0.00034648,9.9675E-05,0.0226354,0.00190132,0.00733053,4.5052,0.00966179,8.09491,0.0207914,5.225E-06,3.405E-06,4.752E-05
