# hgscore005.root_horiz_PerPrimary.csv,,Nproc_#1_NoPrimaries,Nproc_#2_Edep(MeV)/pri,Nproc_#3_Volume(mm3),Nproc_#4_Mass(g),Nproc_#5_Dose(Gy)/pri,Nproc_#6_Dose(cGy/h/MBq)/pri,Nproc_#7_Charge(Coulomb)/pri,Nproc_#8_NoIonisations/pri,Nproc_/pri,Nproc_Rayl/pri,Nproc_Transportation/pri,Nproc_compt/pri,Nproc_e-_LeptsAttachment/pri,Nproc_e-_LeptsElastic/pri,Nproc_e-_LeptsElectronicExcitation/pri,Nproc_e-_LeptsExcitRotat/pri,Nproc_e-_LeptsIonisationD/pri,Nproc_e-_LeptsIonisationK/pri,Nproc_e-_LeptsIonisationS/pri,Nproc_e-_LeptsThermalisation/pri,Nproc_phot/pri,,,,
hgscore005.root_horiz_PerPrimary.csv0,0,4e+08,4.74841e-05,5.85401,0.00585401,1.29959e-12,0.467851,1.93452e-19,1.20743,0,3.4275e-06,0.028347,0.00045894,0.0929611,225.991,0.502987,407.152,0.0153063,0.00511173,1.1666,1.06732,1.47e-06,0,0,0,
hgscore010.root_horiz_PerPrimary.csv0,0,4e+08,3.43741e-05,16.5576,0.0165576,3.32616e-13,0.119742,1.40489e-19,0.876866,0,2.975e-06,0.015144,0.000352092,0.0675326,164.112,0.365288,295.678,0.0110991,0.00369768,0.847272,0.77512,1.63e-06,0,0,0,
hgscore020.root_horiz_PerPrimary.csv0,0,4e+08,2.4046e-05,46.8321,0.0468321,8.22639e-14,0.029615,9.87634e-20,0.616433,0,3.445e-06,0.00823953,0.000277545,0.0474784,115.386,0.256922,207.883,0.00781155,0.00257268,0.595664,0.544933,2.1525e-06,0,0,0,
hgscore030.root_horiz_PerPrimary.csv0,0,4e+08,1.95344e-05,86.0361,0.0860361,3.63773e-14,0.0130958,8.06629e-20,0.503458,0,4.0125e-06,0.00588313,0.000249188,0.0387797,94.2378,0.209834,169.779,0.00637771,0.00208279,0.486537,0.44508,3.24e-06,0,0,0,
hgscore050.root_horiz_PerPrimary.csv0,0,4e+08,1.46678e-05,185.12,0.18512,1.26947e-14,0.00457008,6.11649e-20,0.381762,0,5.4575e-06,0.00397015,0.000227727,0.0293898,71.4796,0.159199,128.775,0.00483584,0.00155271,0.368985,0.337551,5.0425e-06,0,0,0,
hgscore070.root_horiz_PerPrimary.csv0,0,4e+08,1.19059e-05,306.652,0.306652,6.22051e-15,0.00223938,5.01031e-20,0.312719,0,6.585e-06,0.00309279,0.000217397,0.0240931,58.5579,0.130395,105.494,0.00396315,0.0012526,0.302287,0.276543,6.99e-06,0,0,0,
hgscore100.root_horiz_PerPrimary.csv0,0,4e+08,9.22763e-06,523.599,0.523599,2.82359e-15,0.00101649,3.93571e-20,0.245648,0,7.96e-06,0.00234781,0.000204995,0.0189262,45.9977,0.10243,82.8685,0.00311043,0.000961258,0.237504,0.21725,9.36e-06,0,0,0,
hgscore150.root_horiz_PerPrimary.csv0,0,4e+08,6.49614e-06,961.912,0.961912,1.08201e-15,0.000389523,2.81792e-20,0.175881,0,8.9425e-06,0.00161314,0.000180957,0.0135587,32.9406,0.0733065,59.3435,0.00222616,0.000668788,0.170091,0.155578,1.16275e-05,0,0,0,
hgscore200.root_horiz_PerPrimary.csv0,0,4e+08,4.63361e-06,1480.96,1.48096,5.01287e-16,0.000180463,2.037e-20,0.127139,0,8.4925e-06,0.00112931,0.000149807,0.00979348,23.8187,0.0530083,42.9104,0.00160593,0.00047302,0.122982,0.112487,1.16775e-05,0,0,0,
hgscore250.root_horiz_PerPrimary.csv0,0,4e+08,3.38813e-06,2069.71,2.06971,2.62278e-16,9.442e-05,1.5007e-20,0.0936663,0,7.4725e-06,0.000790058,0.000120618,0.00722159,17.5574,0.0390381,31.6278,0.00118274,0.000342588,0.0906157,0.082881,1.02825e-05,0,0,0,
hgscore300.root_horiz_PerPrimary.csv0,0,4e+08,2.38534e-06,2720.7,2.7207,1.40469e-16,5.05688e-05,1.06518e-20,0.0664832,0,6.115e-06,0.00054329,9.08475e-05,0.00512527,12.4586,0.027703,22.4443,0.000839247,0.000240645,0.0643234,0.0588309,8.725e-06,0,0,0,
hgscore400.root_horiz_PerPrimary.csv0,0,4e+08,1.12867e-06,4188.79,4.18879,4.31706e-17,1.55414e-05,5.08266e-21,0.0317235,0,3.5225e-06,0.00024429,4.76775e-05,0.00244447,5.94597,0.0132055,10.7112,0.000401445,0.000112782,0.030695,0.0280769,4.98e-06,0,0,0,
,
