#,gamma,,,proton,,
 #x(mm) ,        E(MeV) ,       Edep(MeV) ,, #x(mm) ,        E(MeV) ,       Edep(MeV) 
-2.5,0.811658,0,,-0.5,249.998,3.12962
2.5,0.755303,10.5939,,0.5,249.887,3770.06
7.5,0.283566,11.6227,,1.5,249.243,10335.3
12.5,0.27278,12.2258,,2.5,248.838,15357.5
17.5,0.2602,13.2259,,3.5,248.445,19628.5
22.5,0.252134,13.7115,,4.5,248.048,22997
27.5,0.244351,14.3528,,5.5,247.661,25438
32.5,0.236603,14.6739,,6.5,247.255,27488.6
37.5,0.231893,15.165,,7.5,246.869,29027.5
42.5,0.225568,15.5632,,8.5,246.479,30928.3
47.5,0.219993,16.0104,,9.5,246.084,31798.1
52.5,0.215582,16.2784,,10.5,245.688,32897.5
57.5,0.211058,16.8265,,11.5,245.285,33437.9
62.5,0.207302,17.0251,,12.5,244.896,33633.9
67.5,0.204179,17.2649,,13.5,244.487,34388.2
72.5,0.200028,17.5445,,14.5,244.1,34272.6
77.5,0.197363,17.7075,,15.5,243.702,34981.5
82.5,0.194552,17.9377,,16.5,243.3,35404.9
87.5,0.191731,17.8818,,17.5,242.898,35015.7
92.5,0.187566,18.0226,,18.5,242.501,35166.4
97.5,0.186011,18.1151,,19.5,242.104,35541.4
102.5,0.182401,18.4146,,20.5,241.707,35786.1
107.5,0.181155,18.4208,,21.5,241.301,35750.6
112.5,0.177814,18.6096,,22.5,240.9,36207.3
117.5,0.177559,18.4384,,23.5,240.493,36802.1
122.5,0.175115,18.4542,,24.5,240.094,35868.5
127.5,0.172777,18.5076,,25.5,239.695,36207.1
132.5,0.171086,18.6079,,26.5,239.3,36190.8
137.5,0.169964,18.549,,27.5,238.883,36685.5
142.5,0.167958,18.4125,,28.5,238.49,36462.2
147.5,0.166424,18.5108,,29.5,238.096,36864.1
152.5,0.163804,18.3782,,30.5,237.684,36171.1
157.5,0.163254,18.2015,,31.5,237.272,36089
162.5,0.162499,18.0252,,32.5,236.882,36576.6
167.5,0.159998,18.2025,,33.5,236.471,37928.2
172.5,0.159504,18.064,,34.5,236.066,36489.3
177.5,0.157044,17.6981,,35.5,235.662,36326.2
182.5,0.156665,17.7258,,36.5,235.261,37091.1
187.5,0.155773,17.5161,,37.5,234.848,36950.9
192.5,0.154635,17.3446,,38.5,234.444,36698.3
197.5,0.154324,17.3582,,39.5,234.033,36586.2
202.5,0.153089,17.1244,,40.5,233.631,36763.7
207.5,0.151514,17.0527,,41.5,233.221,36849.3
212.5,0.149562,16.9447,,42.5,232.809,37123.7
217.5,0.149627,16.7509,,43.5,232.398,37743
222.5,0.148008,16.5442,,44.5,231.987,37295.9
227.5,0.148091,16.5568,,45.5,231.588,37261.4
232.5,0.145591,16.1801,,46.5,231.168,37069.6
237.5,0.145489,16.0261,,47.5,230.756,36964.7
242.5,0.1455,15.8175,,48.5,230.355,37613.5
247.5,0.143778,15.8119,,49.5,229.932,37034.8
252.5,0.143413,15.349,,50.5,229.529,37090
257.5,0.142984,15.4305,,51.5,229.104,37104.7
262.5,0.140554,15.1633,,52.5,228.696,37853.8
267.5,0.140386,14.9164,,53.5,228.281,37441.8
272.5,0.140091,14.7306,,54.5,227.869,38033
277.5,0.139947,14.5083,,55.5,227.45,37629.3
282.5,0.138811,14.1122,,56.5,227.043,37738.7
287.5,0.138272,13.9469,,57.5,226.623,37781.4
292.5,0.137559,13.9154,,58.5,226.216,38266.2
297.5,0.136593,13.6786,,59.5,225.795,37350.6
302.5,0.136471,13.501,,60.5,225.376,37371.9
307.5,0.135924,13.0369,,61.5,224.962,38363.3
312.5,0.135327,13.1297,,62.5,224.538,38043.8
317.5,0.135694,12.8318,,63.5,224.124,38080.1
322.5,0.13371,12.5309,,64.5,223.697,38325.1
327.5,0.133239,12.4284,,65.5,223.27,37353.2
332.5,0.134377,12.0769,,66.5,222.857,38412.1
337.5,0.132425,12.0032,,67.5,222.438,38022.1
342.5,0.131744,11.634,,68.5,222.014,38389.8
347.5,0.131199,11.5731,,69.5,221.599,37906.5
352.5,0.13175,11.3065,,70.5,221.178,37925
357.5,0.130501,11.0243,,71.5,220.755,38492.7
362.5,0.131268,10.9374,,72.5,220.332,38735.1
367.5,0.128719,10.7739,,73.5,219.902,38407.5
372.5,0.127796,10.6374,,74.5,219.488,38830
377.5,0.129264,10.4226,,75.5,219.062,38627.3
382.5,0.128606,10.2268,,76.5,218.635,38669.3
387.5,0.127343,10.0442,,77.5,218.204,38320.1
392.5,0.127509,9.83341,,78.5,217.78,38886
397.5,0.12805,9.62804,,79.5,217.342,39152.8
402.5,0.127002,9.44996,,80.5,216.927,38780.5
407.5,0.126646,9.19929,,81.5,216.489,38941.5
412.5,0.126239,9.34782,,82.5,216.038,38993.6
417.5,0.126234,8.89517,,83.5,215.582,38810.9
422.5,0.126026,8.6386,,84.5,215.186,39382.8
427.5,0.126417,8.61292,,85.5,214.77,38891
432.5,0.124629,8.4793,,86.5,214.334,39028.2
437.5,0.123276,8.22493,,87.5,213.902,39867.2
442.5,0.12522,8.01641,,88.5,213.473,39461.4
447.5,0.124698,7.95339,,89.5,213.043,38925.7
452.5,0.123223,7.75557,,90.5,212.616,39324.2
457.5,0.12355,7.41082,,91.5,212.164,39385.7
462.5,0.123754,7.37486,,92.5,211.743,40044.8
467.5,0.123676,7.3157,,93.5,211.299,39275.3
472.5,0.122225,7.06698,,94.5,210.858,39331.8
477.5,0.122972,6.85986,,95.5,210.418,39571.5
482.5,0.122446,6.72878,,96.5,209.987,39946.8
487.5,0.122091,6.58298,,97.5,209.55,39639.8
492.5,0.120608,6.55435,,98.5,209.13,40115.1
497.5,0.120615,6.32272,,99.5,208.684,40344.5
502.5,0.120224,6.22317,,100.5,208.23,40626.7
507.5,0.121444,6.17838,,101.5,207.792,39994.2
512.5,0.120085,5.92774,,102.5,207.352,40474
517.5,0.120008,5.75258,,103.5,206.898,40028.3
522.5,0.119843,5.68467,,104.5,206.454,40630.3
527.5,0.120082,5.62459,,105.5,206.014,40736.2
532.5,0.118297,5.50731,,106.5,205.574,41205
537.5,0.119521,5.3985,,107.5,205.131,39833.4
542.5,0.119852,5.22692,,108.5,204.688,40411.4
547.5,0.119985,5.0451,,109.5,204.229,40957.7
552.5,0.118861,5.07321,,110.5,203.793,40888.7
557.5,0.118569,4.8381,,111.5,203.334,40720.2
562.5,0.117629,4.75165,,112.5,202.869,40395.8
567.5,0.1194,4.64846,,113.5,202.439,40907.5
572.5,0.117816,4.55946,,114.5,201.993,41273
577.5,0.11919,4.37787,,115.5,201.532,41052.4
582.5,0.11669,4.35213,,116.5,201.096,41105.1
587.5,0.115702,4.3011,,117.5,200.657,41522.5
592.5,0.116401,4.12425,,118.5,200.195,41044.3
597.5,0.115671,4.08273,,119.5,199.745,41679.2
602.5,0.117025,3.98726,,120.5,199.291,41779.5
607.5,0.116536,3.87156,,121.5,198.821,41524.4
612.5,0.115725,3.84237,,122.5,198.384,41594.2
617.5,0.113982,3.66758,,123.5,197.912,41486.8
622.5,0.114363,3.61626,,124.5,197.455,41543.1
627.5,0.115251,3.55819,,125.5,197.005,41865.5
632.5,0.115182,3.44862,,126.5,196.524,41369.3
637.5,0.115174,3.33585,,127.5,196.088,41641.3
642.5,0.113049,3.23224,,128.5,195.631,41820.5
647.5,0.113525,3.14671,,129.5,195.162,42152.6
652.5,0.112933,3.07472,,130.5,194.708,42549.6
657.5,0.114742,2.98225,,131.5,194.168,42513.4
662.5,0.115012,2.9074,,132.5,193.739,42091.7
667.5,0.114231,2.84529,,133.5,193.282,42345.4
672.5,0.114666,2.80146,,134.5,192.846,42223
677.5,0.114725,2.70518,,135.5,192.358,42350.9
682.5,0.115018,2.59941,,136.5,191.886,42571.8
687.5,0.113614,2.61962,,137.5,191.456,42932.3
692.5,0.113332,2.51562,,138.5,190.972,42310.1
697.5,0.113058,2.52399,,139.5,190.515,42964.6
702.5,0.112918,2.43724,,140.5,190.049,42809.5
707.5,0.112915,2.37979,,141.5,189.582,42620.2
712.5,0.111489,2.32416,,142.5,189.102,42703.9
717.5,0.112846,2.27369,,143.5,188.642,43019.1
722.5,0.113114,2.18591,,144.5,188.162,43296.3
727.5,0.113503,2.18437,,145.5,187.682,42930.8
732.5,0.11231,2.07571,,146.5,187.248,43246.6
737.5,0.111625,2.05864,,147.5,186.767,43094.6
742.5,0.109235,2.03808,,148.5,186.263,42913.8
747.5,0.111897,2.00205,,149.5,185.811,43788.4
752.5,0.112024,1.88772,,150.5,185.333,43601.5
757.5,0.110844,1.86087,,151.5,184.859,44127.2
762.5,0.110669,1.8139,,152.5,184.375,43505.9
767.5,0.109878,1.76566,,153.5,183.904,44349.9
772.5,0.109758,1.72152,,154.5,183.422,44293.1
777.5,0.108882,1.69532,,155.5,182.94,43689.3
782.5,0.111095,1.65978,,156.5,182.467,43464.3
787.5,0.111932,1.63412,,157.5,181.987,43818
792.5,0.110686,1.54341,,158.5,181.509,44258.9
797.5,0.107435,1.52971,,159.5,181.028,44099.2
802.5,0.110413,1.46864,,160.5,180.542,44096.8
807.5,0.107541,1.45038,,161.5,180.063,44479.2
812.5,0.108433,1.38999,,162.5,179.576,44328.8
817.5,0.111916,1.34334,,163.5,179.078,44272.9
822.5,0.110738,1.30723,,164.5,178.625,44636.1
827.5,0.110456,1.29119,,165.5,178.124,44728.2
832.5,0.109461,1.25314,,166.5,177.622,44324.8
837.5,0.108906,1.20783,,167.5,177.139,45012
842.5,0.109621,1.17764,,168.5,176.644,44936.6
847.5,0.110398,1.13621,,169.5,176.152,45073.3
852.5,0.108451,1.11964,,170.5,175.648,44469.5
857.5,0.109733,1.13498,,171.5,175.188,44828.2
862.5,0.106889,1.01004,,172.5,174.681,45555.3
867.5,0.108875,1.02217,,173.5,174.139,45622
872.5,0.107757,1.0055,,174.5,173.697,44786.5
877.5,0.107363,0.965489,,175.5,173.2,45801.4
882.5,0.108249,0.987613,,176.5,172.706,45061.8
887.5,0.108008,0.899713,,177.5,172.23,46082.3
892.5,0.108961,0.907385,,178.5,171.707,45712.9
897.5,0.107591,0.857872,,179.5,171.218,45739.5
902.5,0.111529,0.861705,,180.5,170.703,45414.8
907.5,0.106223,0.826265,,181.5,170.2,45912.6
912.5,0.107368,0.833268,,182.5,169.711,46109.5
917.5,0.107598,0.795989,,183.5,169.216,46570.9
922.5,0.104792,0.762206,,184.5,168.7,46499.4
927.5,0.110767,0.765937,,185.5,168.077,46251.4
932.5,0.104838,0.769242,,186.5,167.591,47040.1
937.5,0.105014,0.724829,,187.5,167.168,45749.5
942.5,0.109613,0.702928,,188.5,166.677,46776.7
947.5,0.106319,0.677581,,189.5,166.176,47093.6
952.5,0.107175,0.65766,,190.5,165.651,46012.3
957.5,0.107088,0.623346,,191.5,165.131,47247.2
962.5,0.109979,0.599037,,192.5,164.641,47298
967.5,0.10788,0.590903,,193.5,164.122,46800.4
972.5,0.106878,0.62445,,194.5,163.616,47652.4
977.5,0.105499,0.567843,,195.5,163.101,47676
982.5,0.105344,0.539115,,196.5,162.574,48107.9
987.5,0.106119,0.516788,,197.5,162.066,48718.6
992.5,0.107823,0.542665,,198.5,161.521,48071.2
997.5,0.104885,0.533786,,199.5,161.037,47497
1002.5,0.105063,0.528559,,200.5,160.512,47735
1007.5,0.104943,0.472306,,201.5,159.976,47869.9
1012.5,0.104608,0.448028,,202.5,159.446,48083.8
1017.5,0.108528,0.480897,,203.5,158.929,48532.7
1022.5,0.106981,0.458758,,204.5,158.405,48749
1027.5,0.106408,0.425685,,205.5,157.861,48949.9
1032.5,0.105391,0.417346,,206.5,157.341,48931.1
1037.5,0.107426,0.406263,,207.5,156.808,48896.7
1042.5,0.103956,0.39637,,208.5,156.274,48670.1
1047.5,0.108798,0.376544,,209.5,155.762,48908
1052.5,0.106435,0.363724,,210.5,155.21,48686.6
1057.5,0.105491,0.341806,,211.5,154.666,50108.4
1062.5,0.107723,0.367048,,212.5,154.137,49112.2
1067.5,0.102021,0.335185,,213.5,153.6,49186.9
1072.5,0.107834,0.333501,,214.5,153.064,49552.8
1077.5,0.104246,0.307429,,215.5,152.509,50762.6
1082.5,0.0998316,0.33173,,216.5,151.969,49499.1
1087.5,0.10615,0.305501,,217.5,151.421,49650.6
1092.5,0.107057,0.302882,,218.5,150.873,50387.7
