 #x(mm),       EdepTotal ,       E2_proton 
-0.25,10.8572,179.999
0.25,14323.5,179.943
0.75,40534,179.486
1.25,63540.3,179.244
1.75,83498.9,178.999
2.25,101425,178.756
2.75,116490,178.513
3.25,129793,178.267
3.75,141835,178.024
4.25,151942,177.788
4.75,160133,177.543
5.25,168691,177.293
5.75,175514,177.051
6.25,181660,176.809
6.75,187078,176.567
7.25,193032,176.319
7.75,196925,176.076
8.25,199124,175.832
8.75,204779,175.586
9.25,205376,175.341
9.75,209911,175.094
10.25,210920,174.842
10.75,212209,174.596
11.25,214617,174.355
11.75,216057,174.109
12.25,217760,173.86
12.75,219015,173.616
13.25,221263,173.368
13.75,221472,173.12
14.25,221800,172.87
14.75,222901,172.624
15.25,223348,172.378
15.75,224473,172.126
16.25,226214,171.88
16.75,225283,171.63
17.25,225138,171.382
17.75,226785,171.133
18.25,227633,170.881
18.75,228230,170.629
19.25,227818,170.382
19.75,228263,170.125
20.25,228592,169.875
20.75,229592,169.625
21.25,231237,169.379
21.75,230420,169.125
22.25,229906,168.871
22.75,231653,168.62
23.25,231973,168.372
23.75,232184,168.117
24.25,232056,167.865
24.75,231603,167.613
25.25,233002,167.357
25.75,233847,167.102
26.25,232334,166.85
26.75,231869,166.592
27.25,233385,166.34
27.75,233926,166.086
28.25,234911,165.831
28.75,234798,165.576
29.25,234082,165.321
29.75,236016,165.068
30.25,234544,164.808
30.75,236487,164.552
31.25,234712,164.286
31.75,236383,164.036
32.25,235900,163.748
32.75,234955,163.523
33.25,234251,163.266
33.75,237861,163.013
34.25,236707,162.754
34.75,239250,162.494
35.25,238297,162.234
35.75,236969,161.976
36.25,239244,161.715
36.75,241045,161.458
37.25,239534,161.187
37.75,240046,160.927
38.25,240049,160.673
38.75,239976,160.413
39.25,238432,160.15
39.75,241164,159.887
40.25,240145,159.622
40.75,241895,159.368
41.25,243264,159.104
41.75,242743,158.842
42.25,242232,158.574
42.75,242682,158.311
43.25,242691,158.05
43.75,241959,157.785
44.25,244710,157.52
44.75,242704,157.258
45.25,243867,156.989
45.75,244465,156.725
46.25,243161,156.462
46.75,244914,156.195
47.25,246937,155.928
47.75,245908,155.659
48.25,245732,155.386
48.75,246908,155.122
49.25,246480,154.854
49.75,246611,154.588
50.25,247835,154.319
50.75,247480,154.044
51.25,247993,153.774
51.75,249369,153.493
52.25,248152,153.221
52.75,249618,152.965
53.25,251228,152.683
53.75,250547,152.426
54.25,249745,152.153
54.75,252009,151.878
55.25,249657,151.61
55.75,251797,151.335
56.25,251992,151.061
56.75,250956,150.792
57.25,251939,150.517
57.75,252969,150.243
58.25,253686,149.947
58.75,253335,149.689
59.25,256094,149.417
59.75,254103,149.143
60.25,255011,148.865
60.75,254670,148.59
61.25,255688,148.316
61.75,255744,148.034
62.25,256344,147.756
62.75,255575,147.48
63.25,256882,147.201
63.75,256839,146.923
64.25,256993,146.644
64.75,259077,146.359
65.25,259070,146.08
65.75,258850,145.802
66.25,260059,145.521
66.75,260637,145.238
67.25,259712,144.958
67.75,260316,144.676
68.25,259479,144.396
68.75,260744,144.115
69.25,260339,143.826
69.75,260200,143.549
70.25,261841,143.263
70.75,263618,142.98
71.25,263288,142.684
71.75,263014,142.412
72.25,263447,142.124
72.75,262587,141.842
73.25,263316,141.56
73.75,265856,141.269
74.25,265662,140.984
74.75,266138,140.695
75.25,266683,140.41
75.75,265447,140.117
76.25,266387,139.832
76.75,268885,139.541
77.25,267475,139.257
77.75,266761,138.964
78.25,267938,138.674
78.75,266652,138.387
79.25,267804,138.098
79.75,271150,137.81
80.25,269169,137.514
80.75,271654,137.219
81.25,270299,136.93
81.75,271874,136.64
82.25,270856,136.347
82.75,271981,136.052
83.25,271978,135.758
83.75,270659,135.462
84.25,270798,135.171
84.75,273574,134.869
85.25,274595,134.576
85.75,274084,134.279
86.25,273234,133.985
86.75,275030,133.699
87.25,276195,133.393
87.75,275058,133.101
88.25,274455,132.803
88.75,275842,132.507
89.25,275813,132.209
89.75,276676,131.908
90.25,276828,131.61
90.75,280353,131.308
91.25,278341,131.009
91.75,276773,130.707
92.25,279411,130.402
92.75,280725,130.104
93.25,280606,129.805
93.75,279615,129.506
94.25,280360,129.202
94.75,278786,128.908
95.25,281894,128.6
95.75,282513,128.295
96.25,281497,127.989
96.75,281167,127.684
97.25,282986,127.384
97.75,283496,127.073
98.25,283792,126.769
98.75,283102,126.464
99.25,285170,126.157
99.75,285327,125.848
100.25,287169,125.541
100.75,286800,125.233
101.25,286707,124.925
101.75,287085,124.613
102.25,288002,124.307
102.75,286583,123.997
103.25,290054,123.682
