#Table:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis 
-2.5E-05,990.894,2998340,569102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5E-05,831.42,2987230,36499800,187818000,44588.7,420204,260.222,339368000,3959300,152649,1782.03,3,0.83764,268105,2579420,526,5421.96,640,37315.2,441209,5563650,558347,7040760,652,97285,12534,15909700,3809,133315,893249,8023.04,76896,573563,5,0.0735951,11,536.449,186239
7.5E-05,832.698,2968400,36879000,196733000,46707.7,420903,261.261,355219000,4144220,153510,1792,2,0.714547,279114,2682730,557,5706.29,1756,102599,458441,5780940,560581,7068930,766,115389,12762,16182100,3924,137340,931351,8355.93,80710,601782,0,0,3,87.5557,165578
0.000125,832.63,2953830,36964600,197484000,46895.7,420849,261.002,356462000,4158660,154037,1797.36,0,0,280191,2692980,524,5351.25,2955,166110,457940,5774620,565009,7124760,755,111452,12743,16136900,3725,130375,934485,8376.4,81184,605515,0,0,5,585.047,194940
0.000175,831.376,2936320,37517300,199004000,47207.3,420224,259.706,359453000,4193620,155790,1816.48,3,1.33912,282535,2717980,549,5592.87,4431,261421,461004,5813260,570282,7191260,754,111940,12983,16421800,3765,131775,942746,8459.08,81879,610227,2,1.6039,10,589.34,179057
0.000225,832.416,2918600,37717500,200691000,47639.6,420052,265.766,362377000,4227690,156479,1825.61,14,3.49041,284527,2735530,589,6050.42,6058,363467,466282,5879820,574263,7241460,755,110959,12932,16338300,3972,139020,950797,8523.63,82689,616728,3,0.114489,7,206.534,173910
0.000275,832.157,2902110,38146100,202153000,47962.4,420507,257.965,365066000,4259100,158427,1848.73,15,4.56906,286016,2749300,550,5694.96,7825,470894,470865,5937610,576810,7273570,800,119536,13092,16510400,4013,140455,957330,8586.94,83247,620641,3,0.266447,7,259.246,169095
0.000325,831.596,2887480,38739200,203033000,48166.2,418920,261.123,366849000,4279900,159494,1861,8,2.15958,288712,2778600,542,5518.93,9570,583435,473041,5965050,580194,7316250,782,115690,13396,16873600,3951,138285,963509,8660.42,83545,623134,1,0.0455685,13,850.946,187243
0.000375,832.039,2870730,39105800,205398000,48730,419817,257.74,371001000,4328310,160338,1871.27,8,3.2008,292041,2810020,582,5969.04,11601,692752,478557,6034600,586756,7398990,803,116656,13418,16881000,4098,143430,973316,8725.98,84989,634094,3,0.0381046,9,427.579,202226
0.000425,831.522,2851280,39379500,206755000,49036.7,417916,261.62,373479000,4357220,162507,1896.95,20,5.32253,292708,2816920,598,6116.61,14150,839170,481464,6071260,590377,7444650,830,124094,13429,16878600,4123,144305,979412,8790.49,85350,636695,6,3.63664,11,449.166,192665
