#  1,2,3,4,5,6,7,8,9,10
# ,P=0mTorr,P=2mTorr,,P=0mTorr,P=0mTorr,P=2mTorr,P=2mTorr,P=2mTorr,P=2mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.), E(MeV) ,        Eforward ,   EforwardInteg ,        Refl-Eforward ,   Refl-EforwardInteg ,        Eforward ,   EforwardInteg 
3.996,5.81874195625046,2.79106012278432,-5E-09,0,1000000,0,1000000,0,640494
3.9912,5.02527714403449,1.67463607367059,5E-09,0,1000000,23790,1000000,5768,640494
3.9864,6.34771849772777,6.1403322701255,1.5E-08,0,1000000,24021,976210,5592,634726
3.9816,5.81874195625046,6.69854429468236,2.5E-08,0,1000000,24321,952189,5675,629134
3.9768,7.4056715806824,8.37318036835295,3.5E-08,0,1000000,23911,927868,5667,623459
3.972,4.23181233181852,5.58212024556863,4.5E-08,0,1000000,24473,903957,5903,617792
3.9672,2.90937097812523,2.79106012278432,5.5E-08,0,1000000,25079,879484,6097,611889
3.9624,3.96732406107986,5.02390822101177,6.5E-08,0,1000000,25684,854405,6083,605792
3.9576,3.7028357903412,5.02390822101177,7.5E-08,0,1000000,26139,828721,6168,599709
3.9528,5.28976541477315,4.46569619645491,8.5E-08,0,1000000,27407,802582,6383,593541
3.948,7.67015985142106,7.81496834379609,9.5E-08,0,1000000,29677,775175,7000,587158
3.9432,7.93464812215972,5.02390822101177,1.05E-07,0,1000000,38092,745498,8550,580158
3.9384,7.4056715806824,8.93139239290981,1.15E-07,0,1000000,2541,707406,1341,571608
3.9336,3.7028357903412,5.58212024556863,1.25E-07,0,1000000,2365,704865,1404,570267
3.9288,4.76078887329583,3.34927214734118,1.35E-07,0,1000000,2281,702500,1254,568863
3.924,8.46362466363703,7.81496834379609,1.45E-07,0,1000000,2113,700219,1163,567609
3.9192,5.28976541477315,3.34927214734118,1.55E-07,0,1000000,2096,698106,1157,566446
3.9144,5.5542536855118,2.79106012278432,1.65E-07,0,1000000,1909,696010,1055,565289
3.9096,7.14118330994375,6.69854429468236,1.75E-07,0,1000000,1847,694101,1079,564234
3.9048,5.5542536855118,6.1403322701255,1.85E-07,0,1000000,1845,692254,1060,563155
3.9,8.72811293437569,6.69854429468236,1.95E-07,0,1000000,1748,690409,1048,562095
3.8952,6.34771849772777,5.02390822101177,2.05E-07,0,1000000,1695,688661,972,561047
3.8904,8.46362466363703,5.58212024556863,2.15E-07,0,1000000,1644,686966,930,560075
3.8856,9.52157774659166,6.69854429468236,2.25E-07,0,1000000,1586,685322,913,559145
3.8808,6.61220676846643,11.1642404911373,2.35E-07,0,1000000,1517,683736,907,558232
3.876,7.67015985142106,2.79106012278432,2.45E-07,0,1000000,1466,682219,840,557325
3.8712,7.93464812215972,9.48960441746668,2.55E-07,0,1000000,1459,680753,810,556485
3.8664,6.87669503920509,8.37318036835295,2.65E-07,0,1000000,1465,679294,821,555675
3.8616,9.52157774659166,14.5135126384784,2.75E-07,0,1000000,1399,677829,788,554854
3.8568,10.8440191002849,6.69854429468236,2.85E-07,0,1000000,1378,676430,809,554066
3.852,3.17385924886389,5.58212024556863,2.95E-07,0,1000000,1303,675052,813,553257
3.8472,8.72811293437569,3.90748417189804,3.05E-07,0,1000000,1299,673749,728,552444
3.8424,12.1664604539782,5.02390822101177,3.15E-07,0,1000000,1274,672450,751,551716
3.8376,9.78606601733032,8.93139239290981,3.25E-07,0,1000000,1224,671176,729,550965
3.8328,9.78606601733032,5.02390822101177,3.35E-07,0,1000000,1227,669952,735,550236
3.828,6.34771849772777,10.6060284665804,3.45E-07,0,1000000,1223,668725,738,549501
3.8232,7.93464812215972,7.25675631923922,3.55E-07,0,1000000,1185,667502,696,548763
3.8184,15.6048079735808,6.1403322701255,3.65E-07,0,1000000,1222,666317,707,548067
3.8136,11.1085073710236,9.48960441746668,3.75E-07,0,1000000,1103,665095,737,547360
3.8088,8.72811293437569,9.48960441746668,3.85E-07,0,1000000,1068,663992,718,546623
3.804,8.72811293437569,7.81496834379609,3.95E-07,0,1000000,1103,662924,678,545905
3.7992,8.19913639289837,13.3970885893647,4.05E-07,0,1000000,1100,661821,640,545227
3.7944,9.52157774659166,7.81496834379609,4.15E-07,0,1000000,1120,660721,636,544587
3.7896,18.7786672224447,5.02390822101177,4.25E-07,0,1000000,1086,659601,640,543951
3.7848,15.0758314321035,10.0478164420235,4.35E-07,0,1000000,1097,658515,661,543311
3.78,7.67015985142106,10.0478164420235,4.45E-07,0,1000000,1096,657418,652,542650
3.7752,14.0178783491488,14.5135126384784,4.55E-07,0,1000000,1068,656322,678,541998
3.7704,14.0178783491488,8.37318036835295,4.65E-07,0,1000000,1054,655254,653,541320
3.7656,16.9272493272741,10.0478164420235,4.75E-07,0,1000000,1084,654200,663,540667
3.7608,15.3403197028421,15.0717246630353,4.85E-07,0,1000000,1106,653116,690,540004
3.756,8.19913639289837,3.90748417189804,4.95E-07,0,1000000,1062,652010,628,539314
3.7512,5.5542536855118,5.02390822101177,5.05E-07,0,1000000,1094,650948,693,538686
3.7464,11.1085073710236,13.9553006139216,5.15E-07,0,1000000,1029,649854,629,537993
3.7416,14.8113431613648,10.0478164420235,5.25E-07,0,1000000,1031,648825,658,537364
3.7368,11.6374839125009,8.93139239290981,5.35E-07,0,1000000,1087,647794,646,536706
3.732,17.9852024102287,11.7224525156941,5.45E-07,0,1000000,1058,646707,641,536060
3.7272,12.1664604539782,9.48960441746668,5.55E-07,0,1000000,1043,645649,686,535419
3.7224,10.3150425588076,9.48960441746668,5.65E-07,0,1000000,1066,644606,646,534733
3.7176,15.3403197028421,15.6299366875922,5.75E-07,0,1000000,1039,643540,645,534087
3.7128,17.72071413949,8.37318036835295,5.85E-07,0,1000000,1090,642501,683,533442
3.708,16.6627610565354,17.8627847858196,5.95E-07,0,1000000,1033,641411,639,532759
3.7032,12.4309487247169,7.25675631923922,6.05E-07,0,1000000,1108,640378,633,532120
3.6984,17.4562258687514,10.6060284665804,6.15E-07,0,1000000,1016,639270,625,531487
3.6936,17.72071413949,18.9792088349334,6.25E-07,0,1000000,1009,638254,609,530862
3.6888,16.6627610565354,13.9553006139216,6.35E-07,0,1000000,1089,637245,601,530253
3.684,15.0758314321035,13.3970885893647,6.45E-07,0,1000000,1032,636156,606,529652
3.6792,13.4889018076715,12.280664540251,6.55E-07,0,1000000,1004,635124,564,529046
3.6744,18.7786672224447,14.5135126384784,6.65E-07,0,1000000,1116,634120,640,528482
3.6696,16.1337845150581,14.5135126384784,6.75E-07,0,1000000,1010,633004,644,527842
3.6648,18.514178951706,17.3045727612628,6.85E-07,0,1000000,1007,631994,634,527198
3.66,19.307643763922,13.9553006139216,6.95E-07,0,1000000,1055,630987,628,526564
3.6552,20.6300851176153,15.6299366875922,7.05E-07,0,1000000,1028,629932,642,525936
3.6504,22.2170147420472,21.7702689577177,7.15E-07,0,1000000,1100,628904,599,525294
3.6456,15.3403197028421,13.3970885893647,7.25E-07,0,1000000,1116,627804,588,524695
3.6408,20.101108576138,16.7463607367059,7.35E-07,0,1000000,1032,626688,655,524107
3.636,13.4889018076715,15.6299366875922,7.45E-07,0,1000000,1057,625656,612,523452
3.6312,17.1917375980127,25.1195411050589,7.55E-07,0,1000000,1050,624599,645,522840
3.6264,23.5394560957405,18.9792088349334,7.65E-07,0,1000000,1046,623549,631,522195
3.6216,25.9198505323884,12.8388765648079,7.75E-07,0,1000000,1064,622503,689,521564
3.6168,19.0431554931833,19.5374208594902,7.85E-07,0,1000000,1009,621439,646,520875
3.612,24.3329209079565,19.5374208594902,7.95E-07,0,1000000,1096,620430,632,520229
3.6072,18.7786672224447,16.188148712149,8.05E-07,0,1000000,1067,619334,650,519597
3.6024,25.3908739909111,16.188148712149,8.15E-07,0,1000000,1058,618267,659,518947
3.5976,21.9525264713085,17.8627847858196,8.25E-07,0,1000000,1074,617209,674,518288
3.5928,25.1263857201724,25.1195411050589,8.35E-07,0,1000000,1014,616135,591,517614
3.588,30.4161511349456,19.5374208594902,8.45E-07,0,1000000,1093,615121,642,517023
3.5832,23.8039443664791,17.8627847858196,8.55E-07,0,1000000,1022,614028,654,516381
3.5784,26.977803615343,27.9106012278432,8.65E-07,0,1000000,1068,613006,672,515727
3.5736,27.5067801568204,21.2120569331608,8.75E-07,0,1000000,1091,611938,632,515055
3.5688,26.1843388031271,20.6538449086039,8.85E-07,0,1000000,1078,610847,647,514423
3.564,29.8871745934683,20.6538449086039,8.95E-07,0,1000000,1134,609769,641,513776
3.5592,30.4161511349456,25.6777531296157,9.05E-07,0,1000000,1076,608635,691,513135
3.5544,32.7965455715935,22.8866930068314,9.15E-07,0,1000000,1015,607559,652,512444
