#  1,3,#Table:,2 mTorr,1 mTorr,0.5 mTorr,0.1 mTorr
# ,P=2mTorr, #x(mm)/E(MeV) ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg 
# Energy (eV),Intensity (a.u.),-5E-09,660244,799074,889017,975894
3.996,2.79106012278432,5E-09,660244,799074,889017,975894
3.9912,1.67463607367059,1.5E-08,654811,797528,888542,975824
3.9864,6.1403322701255,2.5E-08,649122,796028,888053,975766
3.9816,6.69854429468236,3.5E-08,643438,794423,887603,975704
3.9768,8.37318036835295,4.5E-08,637874,792844,887154,975645
3.972,5.58212024556863,5.5E-08,632233,791292,886696,975589
3.9672,2.79106012278432,6.5E-08,626496,789665,886202,975524
3.9624,5.02390822101177,7.5E-08,620788,788101,885727,975482
3.9576,5.02390822101177,8.5E-08,614806,786436,885235,975421
3.9528,4.46569619645491,9.5E-08,608608,784829,884768,975367
3.948,7.81496834379609,1.05E-07,602001,783084,884234,975318
3.9432,5.02390822101177,1.15E-07,598496,781889,883854,975261
3.9384,8.93139239290981,1.25E-07,596963,781043,883547,975202
3.9336,5.58212024556863,1.35E-07,595564,780265,883241,975168
3.9288,3.34927214734118,1.45E-07,594177,779571,882915,975113
3.924,7.81496834379609,1.55E-07,592959,778901,882610,975052
3.9192,3.34927214734118,1.65E-07,591743,778279,882327,975006
3.9144,2.79106012278432,1.75E-07,590653,777633,882029,974956
3.9096,6.69854429468236,1.85E-07,589565,776986,881722,974909
3.9048,6.1403322701255,1.95E-07,588553,776394,881426,974859
3.9,6.69854429468236,2.05E-07,587590,775842,881134,974813
3.8952,5.02390822101177,2.15E-07,586642,775310,880848,974777
3.8904,5.58212024556863,2.25E-07,585711,774753,880591,974718
3.8856,6.69854429468236,2.35E-07,584824,774195,880319,974663
3.8808,11.1642404911373,2.45E-07,583957,773696,880044,974623
3.876,2.79106012278432,2.55E-07,583105,773165,879816,974578
3.8712,9.48960441746668,2.65E-07,582258,772649,879579,974519
3.8664,8.37318036835295,2.75E-07,581426,772151,879343,974475
3.8616,14.5135126384784,2.85E-07,580637,771685,879099,974434
3.8568,6.69854429468236,2.95E-07,579873,771205,878841,974387
3.852,5.58212024556863,3.05E-07,579163,770689,878594,974341
3.8472,3.90748417189804,3.15E-07,578434,770195,878359,974291
3.8424,5.02390822101177,3.25E-07,577716,769720,878102,974242
3.8376,8.93139239290981,3.35E-07,577004,769252,877860,974199
3.8328,5.02390822101177,3.45E-07,576297,768787,877625,974157
3.828,10.6060284665804,3.55E-07,575645,768319,877375,974114
3.8232,7.25675631923922,3.65E-07,574962,767859,877134,974071
3.8184,6.1403322701255,3.75E-07,574305,767440,876909,974025
3.8136,9.48960441746668,3.85E-07,573619,767005,876674,973992
3.8088,9.48960441746668,3.95E-07,572985,766569,876456,973952
3.804,7.81496834379609,4.05E-07,572339,766110,876210,973902
3.7992,13.3970885893647,4.15E-07,571738,765712,875997,973855
3.7944,7.81496834379609,4.25E-07,571131,765265,875789,973809
3.7896,5.02390822101177,4.35E-07,570511,764819,875538,973757
3.7848,10.0478164420235,4.45E-07,569835,764395,875291,973718
3.78,10.0478164420235,4.55E-07,569238,764016,875064,973661
3.7752,14.5135126384784,4.65E-07,568647,763626,874860,973618
3.7704,8.37318036835295,4.75E-07,568065,763202,874641,973576
3.7656,10.0478164420235,4.85E-07,567432,762770,874401,973529
3.7608,15.0717246630353,4.95E-07,566834,762360,874170,973490
3.756,3.90748417189804,5.05E-07,566232,761929,873964,973441
3.7512,5.02390822101177,5.15E-07,565662,761476,873751,973395
3.7464,13.9553006139216,5.25E-07,565062,761089,873504,973335
3.7416,10.0478164420235,5.35E-07,564479,760676,873268,973295
3.7368,8.93139239290981,5.45E-07,563879,760273,873040,973250
3.732,11.7224525156941,5.55E-07,563252,759858,872828,973209
3.7272,9.48960441746668,5.65E-07,562641,759436,872599,973158
3.7224,9.48960441746668,5.75E-07,562051,759018,872409,973115
3.7176,15.6299366875922,5.85E-07,561444,758607,872220,973068
3.7128,8.37318036835295,5.95E-07,560870,758205,871994,973026
3.708,17.8627847858196,6.05E-07,560239,757809,871773,972972
3.7032,7.25675631923922,6.15E-07,559669,757415,871535,972925
3.6984,10.6060284665804,6.25E-07,559062,757019,871299,972873
3.6936,18.9792088349334,6.35E-07,558461,756608,871077,972825
3.6888,13.9553006139216,6.45E-07,557875,756205,870827,972780
3.684,13.3970885893647,6.55E-07,557311,755806,870565,972744
3.6792,12.280664540251,6.65E-07,556716,755396,870331,972692
3.6744,14.5135126384784,6.75E-07,556110,755009,870111,972640
3.6696,14.5135126384784,6.85E-07,555538,754573,869881,972600
3.6648,17.3045727612628,6.95E-07,554890,754144,869676,972562
3.66,13.9553006139216,7.05E-07,554247,753748,869457,972519
3.6552,15.6299366875922,7.15E-07,553664,753360,869238,972481
3.6504,21.7702689577177,7.25E-07,553045,752965,869023,972431
3.6456,13.3970885893647,7.35E-07,552478,752558,868797,972392
3.6408,16.7463607367059,7.45E-07,551885,752131,868600,972336
3.636,15.6299366875922,7.55E-07,551242,751691,868362,972291
3.6312,25.1195411050589,7.65E-07,550652,751279,868162,972243
3.6264,18.9792088349334,7.75E-07,550060,750878,867916,972185
3.6216,12.8388765648079,7.85E-07,549449,750521,867664,972135
3.6168,19.5374208594902,7.95E-07,548865,750099,867421,972081
3.612,19.5374208594902,8.05E-07,548280,749708,867204,972023
3.6072,16.188148712149,8.15E-07,547671,749330,866966,971969
3.6024,16.188148712149,8.25E-07,547091,748900,866728,971926
3.5976,17.8627847858196,8.35E-07,546480,748477,866532,971874
3.5928,25.1195411050589,8.45E-07,545826,748048,866298,971839
3.588,19.5374208594902,8.55E-07,545242,747629,866071,971778
3.5832,17.8627847858196,8.65E-07,544654,747238,865829,971721
3.5784,27.9106012278432,8.75E-07,544038,746814,865582,971671
3.5736,21.2120569331608,8.85E-07,543425,746358,865365,971615
3.5688,20.6538449086039,8.95E-07,542834,745921,865143,971569
3.564,20.6538449086039,9.05E-07,542229,745520,864890,971529
3.5592,25.6777531296157,9.15E-07,541602,745111,864653,971473
3.5544,22.8866930068314,9.25E-07,540986,744713,864413,971412
3.5496,18.4209968103765,9.35E-07,540370,744265,864166,971357
3.5448,26.7941771787294,9.45E-07,539731,743793,863928,971301
3.54,16.188148712149,9.55E-07,539099,743376,863679,971242
3.5352,32.3762974242981,9.65E-07,538513,742939,863454,971180
3.5304,31.8180853997412,9.75E-07,537899,742525,863207,971118
3.5256,26.7941771787294,9.85E-07,537285,742100,862981,971053
3.5208,24.0031170559451,9.95E-07,536666,741699,862709,971009
3.516,27.9106012278432,1.005E-06,536017,741286,862468,970959
3.5112,21.7702689577177,1.015E-06,535425,740881,862228,970907
3.5064,27.9106012278432,1.025E-06,534818,740462,861994,970857
3.5016,41.8659018417648,1.035E-06,534205,740042,861716,970822
3.4968,31.8180853997412,1.045E-06,533622,739607,861467,970779
3.492,25.6777531296157,1.055E-06,532964,739169,861235,970727
3.4872,46.3315980382197,1.065E-06,532315,738731,860961,970666
3.4824,29.5852373015138,1.075E-06,531707,738303,860719,970628
3.4776,35.1673575470824,1.085E-06,531086,737844,860468,970568
3.4728,32.3762974242981,1.095E-06,530442,737444,860207,970516
3.468,41.8659018417648,1.105E-06,529806,737015,859960,970457
3.4632,32.3762974242981,1.115E-06,529159,736572,859726,970406
3.4584,38.5166296944236,1.125E-06,528551,736152,859451,970359
3.4536,39.0748417189804,1.135E-06,527932,735727,859219,970318
3.4488,40.1912657680942,1.145E-06,527273,735310,858970,970264
3.444,41.8659018417648,1.155E-06,526650,734879,858714,970210
3.4392,44.0987499399922,1.165E-06,526013,734458,858449,970147
3.4344,34.6091455225255,1.175E-06,525362,733996,858198,970098
3.4296,31.8180853997412,1.185E-06,524659,733571,857922,970050
3.4248,38.5166296944236,1.195E-06,524002,733105,857648,970007
3.42,36.2837815961961,1.205E-06,523360,732624,857393,969951
3.4152,37.4002056453098,1.215E-06,522770,732182,857140,969895
3.4104,38.5166296944236,1.225E-06,522122,731672,856878,969852
3.4056,46.3315980382197,1.235E-06,521436,731197,856612,969803
3.4008,48.5644461364471,1.245E-06,520735,730734,856373,969753
3.396,53.030142332902,1.255E-06,520075,730281,856096,969685
3.3912,63.0779587749256,1.265E-06,519441,729818,855817,969615
3.3864,59.1704746030275,1.275E-06,518827,729326,855536,969562
3.3816,54.1465663820158,1.285E-06,518167,728836,855270,969496
3.3768,45.7733860136628,1.295E-06,517475,728373,854995,969431
3.372,61.9615347258118,1.305E-06,516782,727901,854739,969380
