# ,P=0mTorr,P=2mTorr,P=10mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
3.996,5.81874195625046,2.79106012278432,11.9166666666667
3.9912,5.02527714403449,1.67463607367059,10.8333333333333
3.9864,6.34771849772777,6.1403322701255,8.66666666666667
3.9816,5.81874195625046,6.69854429468236,11.9166666666667
3.9768,7.4056715806824,8.37318036835295,19.5
3.972,4.23181233181852,5.58212024556863,10.8333333333333
3.9672,2.90937097812523,2.79106012278432,10.8333333333333
3.9624,3.96732406107986,5.02390822101177,9.75
3.9576,3.7028357903412,5.02390822101177,13
3.9528,5.28976541477315,4.46569619645491,6.5
3.948,7.67015985142106,7.81496834379609,4.33333333333333
3.9432,7.93464812215972,5.02390822101177,10.8333333333333
3.9384,7.4056715806824,8.93139239290981,14.0833333333333
3.9336,3.7028357903412,5.58212024556863,5.41666666666667
3.9288,4.76078887329583,3.34927214734118,7.58333333333333
3.924,8.46362466363703,7.81496834379609,5.41666666666667
3.9192,5.28976541477315,3.34927214734118,6.5
3.9144,5.5542536855118,2.79106012278432,10.8333333333333
3.9096,7.14118330994375,6.69854429468236,9.75
3.9048,5.5542536855118,6.1403322701255,7.58333333333333
3.9,8.72811293437569,6.69854429468236,13
3.8952,6.34771849772777,5.02390822101177,6.5
3.8904,8.46362466363703,5.58212024556863,13
3.8856,9.52157774659166,6.69854429468236,7.58333333333333
3.8808,6.61220676846643,11.1642404911373,7.58333333333333
3.876,7.67015985142106,2.79106012278432,9.75
3.8712,7.93464812215972,9.48960441746668,8.66666666666667
3.8664,6.87669503920509,8.37318036835295,9.75
3.8616,9.52157774659166,14.5135126384784,5.41666666666667
3.8568,10.8440191002849,6.69854429468236,15.1666666666667
3.852,3.17385924886389,5.58212024556863,8.66666666666667
3.8472,8.72811293437569,3.90748417189804,3.25
3.8424,12.1664604539782,5.02390822101177,4.33333333333333
3.8376,9.78606601733032,8.93139239290981,9.75
3.8328,9.78606601733032,5.02390822101177,11.9166666666667
3.828,6.34771849772777,10.6060284665804,14.0833333333333
3.8232,7.93464812215972,7.25675631923922,10.8333333333333
3.8184,15.6048079735808,6.1403322701255,13
3.8136,11.1085073710236,9.48960441746668,13
3.8088,8.72811293437569,9.48960441746668,13
3.804,8.72811293437569,7.81496834379609,6.5
3.7992,8.19913639289837,13.3970885893647,6.5
3.7944,9.52157774659166,7.81496834379609,9.75
3.7896,18.7786672224447,5.02390822101177,11.9166666666667
3.7848,15.0758314321035,10.0478164420235,8.66666666666667
3.78,7.67015985142106,10.0478164420235,15.1666666666667
3.7752,14.0178783491488,14.5135126384784,14.0833333333333
3.7704,14.0178783491488,8.37318036835295,16.25
