#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
-5E-09,,10000,10162,8561,10824,5300,,10000,10000,7428,10003,3350
5E-09,,10000,10162,8561,10824,5300,,10000,10000,7428,10003,3350
1.5E-08,,10000,10159,8559,10781,5285,,10000,9999,7427,10003,3350
2.5E-08,,10000,10153,8559,10766,5276,,10000,9998,7426,9998,3349
3.5E-08,,10000,10150,8558,10741,5264,,10000,9996,7424,9996,3348
4.5E-08,,10000,10149,8555,10719,5255,,10000,9994,7423,9994,3346
5.5E-08,,10000,10146,8555,10701,5251,,10000,9993,7421,9988,3344
6.5E-08,,10000,10141,8555,10682,5237,,10000,9990,7420,9979,3343
7.5E-08,,10000,10138,8554,10662,5235,,10000,9990,7419,9975,3340
8.5E-08,,10000,10136,8553,10646,5228,,10000,9989,7418,9969,3337
9.5E-08,,10000,10133,8553,10625,5219,,10000,9987,7417,9961,3336
1.05E-07,,10000,10130,8551,10606,5215,,10000,9983,7416,9951,3335
1.15E-07,,10000,10127,8549,10479,5212,,10000,9983,7415,9934,3335
1.25E-07,,10000,10120,8547,10465,5207,,10000,9979,7415,9929,3334
1.35E-07,,10000,10117,8546,10457,5206,,10000,9977,7414,9925,3333
1.45E-07,,10000,10115,8545,10439,5203,,10000,9977,7411,9922,3331
1.55E-07,,10000,10111,8540,10431,5200,,10000,9975,7410,9917,3329
1.65E-07,,10000,10109,8537,10416,5198,,10000,9970,7409,9905,3327
1.75E-07,,10000,10107,8535,10404,5194,,10000,9968,7405,9896,3326
1.85E-07,,10000,10103,8534,10390,5189,,10000,9966,7401,9890,3324
1.95E-07,,10000,10098,8532,10375,5182,,10000,9964,7398,9884,3321
2.05E-07,,10000,10096,8529,10359,5181,,10000,9962,7397,9880,3318
2.15E-07,,10000,10092,8526,10347,5179,,10000,9959,7395,9877,3316
2.25E-07,,10000,10091,8525,10333,5170,,10000,9958,7394,9870,3316
2.35E-07,,10000,10086,8523,10329,5167,,10000,9955,7391,9867,3314
2.45E-07,,10000,10080,8521,10321,5165,,10000,9954,7390,9862,3313
2.55E-07,,10000,10080,8520,10310,5160,,10000,9954,7388,9860,3310
2.65E-07,,10000,10079,8515,10300,5154,,10000,9952,7388,9850,3309
2.75E-07,,10000,10076,8515,10285,5150,,10000,9949,7386,9850,3307
2.85E-07,,10000,10073,8514,10275,5141,,10000,9946,7386,9845,3305
2.95E-07,,10000,10071,8512,10252,5133,,10000,9944,7386,9840,3305
3.05E-07,,10000,10070,8511,10239,5128,,10000,9940,7383,9834,3305
3.15E-07,,10000,10069,8508,10230,5125,,10000,9937,7382,9830,3303
3.25E-07,,10000,10067,8508,10216,5123,,10000,9935,7380,9824,3300
3.35E-07,,10000,10066,8507,10200,5116,,10000,9934,7379,9818,3298
3.45E-07,,10000,10064,8505,10183,5110,,10000,9930,7378,9813,3294
3.55E-07,,10000,10061,8503,10169,5107,,10000,9924,7373,9811,3293
3.65E-07,,10000,10058,8503,10152,5103,,10000,9922,7371,9809,3286
3.75E-07,,10000,10055,8501,10142,5099,,10000,9915,7365,9803,3283
3.85E-07,,10000,10051,8495,10132,5094,,10000,9912,7363,9797,3280
3.95E-07,,10000,10051,8494,10120,5091,,10000,9909,7361,9791,3275
4.05E-07,,10000,10049,8492,10111,5082,,10000,9906,7361,9785,3272
4.15E-07,,10000,10049,8490,10097,5073,,10000,9905,7359,9779,3271
4.25E-07,,10000,10045,8486,10081,5066,,10000,9902,7358,9771,3269
4.35E-07,,10000,10041,8486,10067,5060,,10000,9897,7354,9761,3265
4.45E-07,,10000,10037,8480,10049,5053,,10000,9895,7352,9755,3259
4.55E-07,,10000,10032,8478,10034,5046,,10000,9894,7351,9748,3258
4.65E-07,,10000,10029,8476,10021,5041,,10000,9892,7351,9741,3256
4.75E-07,,10000,10027,8476,10008,5038,,10000,9890,7349,9740,3252
4.85E-07,,10000,10024,8475,9993,5036,,10000,9886,7349,9737,3251
4.95E-07,,10000,10024,8474,9984,5026,,10000,9886,7347,9728,3249
5.05E-07,,10000,10023,8473,9961,5022,,10000,9882,7345,9723,3249
5.15E-07,,10000,10022,8472,9949,5018,,10000,9882,7345,9714,3249
5.25E-07,,10000,10021,8472,9936,5014,,10000,9876,7340,9709,3248
5.35E-07,,10000,10020,8469,9927,5011,,10000,9874,7340,9704,3243
5.45E-07,,10000,10017,8465,9909,5007,,10000,9872,7338,9693,3240
5.55E-07,,10000,10011,8463,9894,5000,,10000,9871,7334,9685,3234
5.65E-07,,10000,10006,8461,9880,4997,,10000,9870,7333,9680,3233
5.75E-07,,10000,10003,8457,9865,4988,,10000,9870,7331,9670,3230
5.85E-07,,10000,10001,8456,9853,4982,,10000,9869,7330,9661,3229
5.95E-07,,10000,9999,8451,9833,4979,,10000,9865,7326,9651,3228
6.05E-07,,10000,9997,8447,9821,4974,,10000,9863,7325,9646,3225
6.15E-07,,10000,9997,8445,9804,4973,,10000,9860,7323,9638,3224
6.25E-07,,10000,9995,8444,9789,4966,,10000,9859,7323,9634,3222
6.35E-07,,10000,9992,8440,9772,4957,,10000,9858,7323,9630,3221
6.45E-07,,10000,9989,8439,9757,4954,,10000,9856,7322,9623,3219
6.55E-07,,10000,9987,8439,9742,4949,,10000,9854,7322,9619,3218
6.65E-07,,10000,9984,8434,9729,4942,,10000,9852,7320,9614,3217
6.75E-07,,10000,9981,8434,9712,4941,,10000,9849,7318,9606,3214
6.85E-07,,10000,9979,8433,9700,4939,,10000,9845,7315,9600,3211
6.95E-07,,10000,9976,8432,9689,4934,,10000,9843,7313,9594,3208
7.05E-07,,10000,9975,8430,9682,4930,,10000,9841,7309,9587,3207
7.15E-07,,10000,9974,8427,9671,4924,,10000,9839,7307,9581,3205
7.25E-07,,10000,9973,8426,9654,4920,,10000,9837,7304,9567,3204
7.35E-07,,10000,9970,8424,9647,4916,,10000,9836,7302,9555,3203
7.45E-07,,10000,9965,8422,9638,4911,,10000,9833,7301,9545,3198
7.55E-07,,10000,9965,8419,9623,4909,,10000,9831,7298,9542,3197
7.65E-07,,10000,9964,8419,9600,4908,,10000,9831,7296,9538,3191
7.75E-07,,10000,9961,8418,9580,4901,,10000,9829,7295,9530,3188
7.85E-07,,10000,9959,8418,9560,4899,,10000,9825,7290,9524,3186
7.95E-07,,10000,9958,8417,9542,4890,,10000,9823,7288,9518,3183
8.05E-07,,10000,9954,8416,9518,4882,,10000,9821,7287,9506,3181
8.15E-07,,10000,9952,8413,9503,4879,,10000,9818,7285,9500,3178
8.25E-07,,10000,9951,8411,9487,4875,,10000,9813,7283,9496,3176
8.35E-07,,10000,9950,8411,9471,4873,,10000,9810,7282,9490,3173
8.45E-07,,10000,9948,8409,9462,4866,,10000,9810,7279,9486,3168
8.55E-07,,10000,9948,8407,9454,4860,,10000,9806,7274,9479,3167
8.65E-07,,10000,9946,8405,9443,4856,,10000,9805,7273,9475,3161
8.75E-07,,10000,9943,8401,9427,4853,,10000,9802,7272,9469,3156
8.85E-07,,10000,9939,8397,9412,4848,,10000,9800,7270,9461,3154
8.95E-07,,10000,9936,8394,9398,4843,,10000,9798,7268,9447,3153
9.05E-07,,10000,9935,8393,9386,4838,,10000,9795,7265,9441,3150
9.15E-07,,10000,9933,8388,9378,4835,,10000,9794,7264,9435,3147
9.25E-07,,10000,9933,8387,9362,4833,,10000,9792,7261,9429,3145
9.35E-07,,10000,9931,8385,9348,4830,,10000,9791,7260,9420,3144
