#  ,15eV,15eV,15eV,15eV,15eV,15eV,15eV,,,10eV,10eV,10eV,10eV,10eV
# E(MeV) , 0mTorr,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref,,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref
-5E-09,1000000,853593,1010790,520447,1026480,507537,1026660,,739751,1000030,384843,1000040,373828,1000040
5E-09,1000000,853593,1010790,520447,1026480,507537,1026660,,739751,1000030,384843,1000040,373828,1000040
1.5E-08,1000000,852467,1006560,505830,975994,492084,973471,,738609,993903,369091,938641,357213,936627
2.5E-08,1000000,851483,1002460,491590,925927,477035,920668,,737502,987642,353215,877099,340602,872771
3.5E-08,1000000,850421,998342,477506,875726,461718,868101,,736305,981381,337262,815143,323855,808872
4.5E-08,1000000,849321,994187,463212,825110,446439,815071,,735110,975097,321194,753241,306936,744803
5.5E-08,1000000,848378,990127,448818,773954,431035,761354,,733976,968804,304714,689687,289725,679564
6.5E-08,1000000,847365,985953,434310,722268,415434,706950,,732772,962399,288046,625386,272352,613488
7.5E-08,1000000,846325,981586,419461,668677,399626,651139,,731603,955808,271392,559823,254720,545587
8.5E-08,1000000,845283,977176,403987,614104,383166,593316,,730404,949053,253845,492461,236307,475859
9.5E-08,1000000,844182,972636,387882,557280,366169,533383,,729141,942058,235389,421804,216992,402554
1.05E-07,1000000,843020,967677,370136,494650,347283,467212,,727883,934283,215554,344255,196099,322347
1.15E-07,1000000,841568,961286,347253,413907,323054,381623,,726164,924408,189396,243732,169173,218180
1.25E-07,1000000,841327,960858,346875,413394,322739,381141,,725895,923733,189044,243194,168803,217716
1.35E-07,1000000,841077,960446,346543,412918,322417,380732,,725603,923082,188683,242751,168489,217235
1.45E-07,1000000,840826,960057,346233,412475,322126,380315,,725344,922467,188359,242277,168180,216790
1.55E-07,1000000,840613,959695,345912,412068,321788,379927,,725086,921911,188094,241848,167898,216374
1.65E-07,1000000,840429,959347,345602,411650,321520,379558,,724829,921367,187831,241413,167640,215971
1.75E-07,1000000,840236,959016,345335,411254,321247,379188,,724619,920856,187577,240991,167389,215601
1.85E-07,1000000,840046,958674,345075,410881,320974,378834,,724404,920384,187331,240624,167110,215257
1.95E-07,1000000,839874,958389,344817,410539,320738,378504,,724187,919906,187059,240257,166916,214917
2.05E-07,1000000,839684,958109,344552,410182,320533,378204,,723979,919425,186836,239915,166670,214599
2.15E-07,1000000,839520,957803,344317,409841,320266,377898,,723781,919009,186593,239553,166436,214284
2.25E-07,1000000,839363,957532,344086,409530,320054,377627,,723576,918571,186369,239259,166211,213985
2.35E-07,1000000,839208,957270,343867,409244,319853,377322,,723382,918141,186116,238987,166013,213694
2.45E-07,1000000,839065,956996,343653,408932,319651,377045,,723196,917686,185901,238682,165806,213386
2.55E-07,1000000,838916,956748,343425,408648,319465,376783,,723009,917292,185682,238368,165631,213103
2.65E-07,1000000,838776,956512,343223,408395,319280,376541,,722834,916908,185482,238080,165444,212839
2.75E-07,1000000,838640,956275,343016,408130,319081,376290,,722659,916532,185291,237797,165250,212571
2.85E-07,1000000,838504,956048,342834,407860,318908,376060,,722501,916158,185102,237504,165076,212319
2.95E-07,1000000,838364,955854,342659,407610,318723,375810,,722338,915796,184919,237253,164899,212057
3.05E-07,1000000,838242,955652,342462,407391,318557,375589,,722174,915446,184727,236997,164734,211811
3.15E-07,1000000,838124,955449,342289,407118,318370,375320,,722028,915096,184532,236704,164583,211585
3.25E-07,1000000,838007,955244,342105,406861,318192,375113,,721878,914732,184368,236456,164414,211338
3.35E-07,1000000,837883,955037,341948,406623,318044,374908,,721707,914400,184194,236221,164247,211125
3.45E-07,1000000,837757,954852,341787,406384,317882,374726,,721564,914080,184022,235978,164072,210885
3.55E-07,1000000,837637,954650,341632,406183,317726,374535,,721423,913781,183850,235752,163932,210649
3.65E-07,1000000,837549,954482,341475,405967,317581,374326,,721290,913475,183675,235538,163778,210427
3.75E-07,1000000,837430,954281,341325,405786,317435,374120,,721128,913134,183506,235332,163637,210232
3.85E-07,1000000,837345,954106,341151,405580,317277,373918,,720986,912800,183354,235094,163510,210000
3.95E-07,1000000,837225,953922,341012,405370,317149,373715,,720851,912474,183201,234850,163370,209787
4.05E-07,1000000,837141,953749,340858,405175,316995,373513,,720703,912173,183031,234635,163251,209578
4.15E-07,1000000,837040,953549,340695,404944,316867,373288,,720558,911862,182888,234428,163121,209367
4.25E-07,1000000,836929,953363,340536,404738,316724,373084,,720432,911609,182724,234225,162962,209144
4.35E-07,1000000,836828,953206,340398,404542,316590,372898,,720301,911318,182562,234026,162817,208944
4.45E-07,1000000,836709,953011,340249,404328,316459,372697,,720200,911021,182413,233809,162695,208758
4.55E-07,1000000,836579,952832,340098,404143,316315,372490,,720076,910731,182273,233591,162566,208576
4.65E-07,1000000,836474,952661,339958,403938,316177,372321,,719933,910441,182107,233375,162435,208393
4.75E-07,1000000,836376,952478,339806,403725,316035,372124,,719802,910172,181959,233184,162277,208206
4.85E-07,1000000,836292,952308,339671,403536,315918,371957,,719679,909901,181800,232957,162125,208023
4.95E-07,1000000,836188,952133,339534,403352,315769,371754,,719535,909641,181668,232730,162000,207832
5.05E-07,1000000,836088,951963,339389,403149,315618,371583,,719410,909379,181539,232523,161866,207642
5.15E-07,1000000,835981,951781,339246,402980,315497,371396,,719296,909110,181383,232328,161721,207430
5.25E-07,1000000,835910,951640,339107,402816,315359,371235,,719166,908853,181233,232137,161590,207242
5.35E-07,1000000,835820,951476,338950,402624,315220,371042,,719038,908595,181073,231908,161478,207023
5.45E-07,1000000,835739,951288,338817,402445,315083,370849,,718908,908333,180952,231719,161316,206805
5.55E-07,1000000,835639,951118,338652,402272,314962,370666,,718771,908035,180811,231525,161175,206617
5.65E-07,1000000,835550,950963,338517,402093,314841,370479,,718634,907765,180661,231329,161035,206433
5.75E-07,1000000,835458,950801,338382,401897,314717,370299,,718504,907479,180513,231125,160921,206242
5.85E-07,1000000,835364,950629,338261,401734,314581,370123,,718391,907239,180382,230916,160779,206062
5.95E-07,1000000,835260,950461,338127,401566,314432,369953,,718282,906979,180218,230728,160649,205881
6.05E-07,1000000,835162,950301,337994,401385,314304,369782,,718157,906728,180067,230521,160521,205700
6.15E-07,1000000,835064,950135,337850,401215,314182,369596,,718030,906450,179938,230314,160402,205515
6.25E-07,1000000,834979,949996,337718,401031,314045,369416,,717921,906173,179792,230127,160274,205330
6.35E-07,1000000,834891,949861,337582,400829,313897,369239,,717801,905913,179638,229910,160169,205144
6.45E-07,1000000,834796,949685,337435,400660,313784,369045,,717672,905640,179519,229713,160032,204964
6.55E-07,1000000,834717,949525,337287,400481,313643,368842,,717557,905356,179382,229505,159914,204772
6.65E-07,1000000,834637,949353,337128,400305,313519,368668,,717414,905091,179259,229316,159805,204588
6.75E-07,1000000,834549,949204,336994,400131,313373,368494,,717289,904803,179138,229123,159686,204402
6.85E-07,1000000,834463,949074,336855,399931,313234,368330,,717177,904517,179010,228897,159567,204232
6.95E-07,1000000,834360,948892,336734,399746,313119,368124,,717046,904238,178873,228679,159442,204050
7.05E-07,1000000,834273,948724,336601,399551,312985,367939,,716915,903959,178730,228453,159309,203875
7.15E-07,1000000,834188,948575,336474,399350,312849,367749,,716790,903701,178608,228265,159182,203704
7.25E-07,1000000,834102,948437,336333,399162,312710,367578,,716677,903452,178460,228055,159043,203505
7.35E-07,1000000,834020,948311,336209,398981,312582,367394,,716564,903170,178312,227847,158918,203295
7.45E-07,1000000,833933,948150,336081,398812,312447,367203,,716451,902923,178179,227628,158794,203127
7.55E-07,1000000,833867,948007,335964,398646,312305,367017,,716331,902623,178036,227426,158676,202949
7.65E-07,1000000,833792,947876,335809,398448,312178,366842,,716205,902380,177923,227209,158556,202770
7.75E-07,1000000,833710,947714,335659,398232,312064,366680,,716056,902104,177788,226981,158440,202586
7.85E-07,1000000,833629,947569,335523,398021,311937,366494,,715959,901859,177652,226774,158315,202375
7.95E-07,1000000,833542,947433,335396,397810,311806,366323,,715849,901587,177533,226576,158196,202205
8.05E-07,1000000,833453,947288,335268,397614,311682,366138,,715720,901301,177394,226384,158070,202015
8.15E-07,1000000,833372,947116,335144,397401,311564,365978,,715603,901037,177244,226170,157939,201837
8.25E-07,1000000,833282,946978,335008,397210,311448,365811,,715510,900796,177106,225964,157811,201659
8.35E-07,1000000,833192,946825,334861,397019,311317,365639,,715393,900543,176959,225754,157680,201480
8.45E-07,1000000,833112,946689,334722,396820,311194,365468,,715286,900286,176817,225574,157540,201294
8.55E-07,1000000,833041,946543,334598,396621,311060,365296,,715170,900020,176684,225376,157419,201124
8.65E-07,1000000,832960,946392,334465,396444,310935,365100,,715038,899787,176548,225170,157280,200954
8.75E-07,1000000,832865,946232,334343,396278,310805,364937,,714913,899534,176409,224976,157162,200768
8.85E-07,1000000,832794,946080,334219,396061,310690,364766,,714819,899267,176295,224790,157032,200597
8.95E-07,1000000,832700,945930,334083,395873,310555,364591,,714719,899022,176153,224556,156900,200405
9.05E-07,1000000,832615,945765,333948,395677,310394,364419,,714593,898776,176022,224341,156759,200215
9.15E-07,1000000,832545,945629,333830,395495,310270,364231,,714456,898511,175888,224153,156626,200038
9.25E-07,1000000,832464,945475,333717,395299,310160,364063,,714323,898222,175758,223948,156505,199865
9.35E-07,1000000,832391,945318,333585,395109,310048,363895,,714193,897968,175620,223765,156363,199666
9.45E-07,1000000,832299,945178,333466,394897,309916,363732,,714071,897684,175472,223584,156224,199475
9.55E-07,1000000,832212,945048,333332,394712,309785,363545,,713937,897412,175325,223371,156095,199259
9.65E-07,1000000,832130,944888,333181,394523,309642,363379,,713825,897201,175172,223172,155963,199059
9.75E-07,1000000,832053,944754,333018,394351,309502,363218,,713710,896952,175038,222955,155828,198873
9.85E-07,1000000,831984,944593,332880,394145,309370,363043,,713577,896683,174893,222756,155706,198681
9.95E-07,1000000,831916,944452,332746,393978,309255,362882,,713459,896449,174760,222573,155581,198508
1.005E-06,1000000,831840,944317,332622,393786,309140,362730,,713351,896201,174627,222377,155429,198308
1.015E-06,1000000,831767,944184,332488,393582,308994,362557,,713240,895951,174490,222189,155303,198128
1.025E-06,1000000,831697,944058,332345,393386,308851,362383,,713138,895712,174355,221996,155181,197963
1.035E-06,1000000,831627,943925,332209,393237,308727,362221,,713019,895449,174225,221801,155060,197786
1.045E-06,1000000,831548,943775,332059,393037,308601,362036,,712901,895180,174081,221603,154923,197599
1.055E-06,1000000,831478,943651,331912,392852,308480,361867,,712792,894914,173946,221394,154791,197392
1.065E-06,1000000,831402,943487,331767,392656,308338,361684,,712673,894675,173807,221167,154663,197181
1.075E-06,1000000,831334,943357,331639,392458,308200,361513,,712561,894419,173663,220965,154532,197005
1.085E-06,1000000,831245,943201,331521,392278,308067,361324,,712434,894161,173533,220737,154389,196833
1.095E-06,1000000,831164,943043,331382,392082,307934,361135,,712321,893892,173397,220506,154256,196624
1.105E-06,1000000,831086,942902,331259,391907,307810,360950,,712186,893633,173260,220302,154127,196423
1.115E-06,1000000,831025,942769,331141,391722,307703,360774,,712072,893364,173107,220112,153973,196234
1.125E-06,1000000,830950,942644,331021,391564,307581,360594,,711955,893118,172966,219923,153836,196044
1.135E-06,1000000,830889,942537,330887,391385,307459,360419,,711848,892873,172813,219727,153710,195852
1.145E-06,1000000,830794,942381,330759,391213,307323,360237,,711726,892614,172679,219533,153585,195683
1.155E-06,1000000,830715,942233,330629,391048,307226,360072,,711603,892368,172551,219348,153468,195510
1.165E-06,1000000,830654,942110,330513,390850,307097,359892,,711477,892129,172420,219151,153346,195330
1.175E-06,1000000,830572,941954,330366,390658,306975,359729,,711366,891850,172295,218967,153224,195133
1.185E-06,1000000,830487,941805,330230,390479,306839,359550,,711257,891591,172163,218742,153088,194949
1.195E-06,1000000,830418,941660,330114,390308,306720,359379,,711154,891323,172030,218547,152977,194780
1.205E-06,1000000,830369,941541,329989,390146,306603,359210,,711034,891062,171883,218327,152852,194596
1.215E-06,1000000,830304,941401,329871,389963,306497,359013,,710910,890801,171747,218126,152730,194409
1.225E-06,1000000,830232,941259,329749,389794,306350,358853,,710800,890542,171608,217907,152587,194230
1.235E-06,1000000,830180,941137,329620,389614,306234,358657,,710682,890297,171459,217704,152450,194058
1.245E-06,1000000,830114,940994,329502,389423,306111,358462,,710574,890061,171311,217483,152313,193887
1.255E-06,1000000,830044,940853,329377,389238,305979,358289,,710453,889825,171200,217328,152192,193712
1.265E-06,1000000,829962,940726,329253,389047,305859,358119,,710333,889559,171068,217120,152067,193545
1.275E-06,1000000,829876,940594,329128,388877,305723,357928,,710234,889295,170941,216936,151925,193383
1.285E-06,1000000,829792,940464,328991,388686,305606,357742,,710107,889044,170810,216752,151793,193196
1.295E-06,1000000,829705,940322,328848,388499,305484,357567,,709979,888772,170701,216567,151664,193017
1.305E-06,1000000,829629,940158,328732,388319,305341,357410,,709851,888507,170573,216372,151541,192810
1.315E-06,1000000,829549,940036,328600,388148,305242,357234,,709714,888256,170440,216198,151402,192627
1.325E-06,1000000,829479,939891,328485,387948,305108,357054,,709588,888008,170314,215995,151264,192450
1.335E-06,1000000,829396,939750,328352,387769,304967,356871,,709475,887764,170180,215811,151136,192268
1.345E-06,1000000,829317,939625,328230,387600,304844,356700,,709361,887497,170026,215616,150981,192083
1.355E-06,1000000,829248,939485,328115,387421,304716,356532,,709259,887263,169896,215437,150862,191931
1.365E-06,1000000,829164,939353,328003,387247,304584,356336,,709139,887013,169768,215223,150735,191751
1.375E-06,1000000,829099,939227,327875,387059,304450,356137,,709029,886759,169623,215021,150612,191571
1.385E-06,1000000,829037,939097,327725,386843,304326,355964,,708931,886508,169487,214812,150465,191375
1.395E-06,1000000,828973,938970,327589,386678,304205,355785,,708817,886269,169348,214614,150349,191197
1.405E-06,1000000,828903,938814,327463,386490,304065,355626,,708711,886032,169210,214426,150223,191014
1.415E-06,1000000,828842,938684,327310,386320,303923,355469,,708598,885801,169076,214221,150088,190830
1.425E-06,1000000,828769,938555,327174,386146,303781,355294,,708481,885520,168937,214034,149943,190642
1.435E-06,1000000,828699,938421,327042,385929,303647,355121,,708358,885253,168791,213833,149803,190455
1.445E-06,1000000,828632,938285,326919,385752,303502,354941,,708257,885003,168645,213655,149682,190276
1.455E-06,1000000,828556,938138,326764,385568,303366,354752,,708146,884764,168520,213443,149532,190077
1.465E-06,1000000,828486,938015,326633,385393,303232,354566,,708037,884483,168382,213241,149416,189881
1.475E-06,1000000,828423,937883,326503,385211,303090,354390,,707942,884261,168257,213026,149297,189684
1.485E-06,1000000,828351,937747,326370,385021,302951,354224,,707815,884034,168111,212792,149166,189489
1.495E-06,1000000,828280,937610,326232,384834,302822,354041,,707707,883771,167979,212594,149035,189306
1.505E-06,1000000,828202,937467,326110,384646,302707,353864,,707615,883528,167846,212394,148907,189125
1.515E-06,1000000,828127,937305,325977,384423,302585,353682,,707518,883287,167705,212186,148779,188965
1.525E-06,1000000,828039,937181,325844,384248,302463,353511,,707421,883029,167570,211986,148638,188773
1.535E-06,1000000,827962,937046,325721,384057,302314,353312,,707296,882762,167438,211781,148535,188577
1.545E-06,1000000,827897,936928,325595,383859,302190,353095,,707188,882506,167301,211586,148407,188412
1.555E-06,1000000,827829,936802,325479,383697,302085,352920,,707081,882271,167153,211388,148281,188204
1.565E-06,1000000,827751,936663,325361,383518,301969,352740,,706961,882001,167004,211192,148155,188044
1.575E-06,1000000,827686,936535,325219,383327,301834,352564,,706857,881768,166858,210969,148038,187871
1.585E-06,1000000,827610,936408,325100,383136,301715,352348,,706753,881518,166726,210738,147917,187692
1.595E-06,1000000,827529,936280,324951,382939,301606,352172,,706656,881269,166592,210540,147795,187505
1.605E-06,1000000,827471,936151,324820,382744,301478,351978,,706530,881018,166442,210357,147656,187319
1.615E-06,1000000,827403,936026,324697,382579,301343,351794,,706431,880774,166311,210135,147531,187122
