#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
15.9956,0.81,16.1056,0.62
15.9908,1.215,16.1008,0.62
15.986,0.81,16.096,0.62
15.9812,0.81,16.0912,0.31
15.9764,1.4175,16.0864,0
15.9716,0.81,16.0816,0
15.9668,2.2275,16.0768,0
15.962,1.62,16.072,0.93
15.9572,1.8225,16.0672,1.55
15.9524,1.62,16.0624,0.62
15.9476,2.2275,16.0576,0.93
15.9428,0.6075,16.0528,0.62
15.938,1.62,16.048,2.17
15.9332,0.2025,16.0432,0.62
15.9284,0.2025,16.0384,0.93
15.9236,0.405,16.0336,1.24
15.9188,0.405,16.0288,0.62
15.914,0.2025,16.024,0.93
15.9092,1.0125,16.0192,0
15.9044,2.43,16.0144,0.93
15.8996,2.025,16.0096,0.31
15.8948,1.215,16.0048,1.24
15.89,1.8225,16,1.24
15.8852,1.215,15.9952,1.86
15.8804,1.215,15.9904,1.24
15.8756,2.43,15.9856,2.79
15.8708,1.0125,15.9808,0.31
15.866,1.215,15.976,1.24
15.8612,2.43,15.9712,1.55
15.8564,1.0125,15.9664,0.31
15.8516,1.0125,15.9616,1.24
15.8468,0.81,15.9568,0.62
15.842,3.24,15.952,1.24
15.8372,1.215,15.9472,0.62
15.8324,1.8225,15.9424,0.62
15.8276,0.2025,15.9376,1.24
15.8228,1.0125,15.9328,3.1
15.818,2.025,15.928,0.62
15.8132,1.0125,15.9232,2.17
15.8084,2.2275,15.9184,0.93
15.8036,1.4175,15.9136,1.24
15.7988,1.4175,15.9088,3.41
15.794,3.0375,15.904,1.24
15.7892,2.025,15.8992,2.79
15.7844,2.6325,15.8944,1.86
15.7796,2.2275,15.8896,1.24
15.7748,2.2275,15.8848,1.55
15.77,1.8225,15.88,1.24
15.7652,2.835,15.8752,0.31
15.7604,1.215,15.8704,1.55
15.7556,1.4175,15.8656,1.55
15.7508,1.8225,15.8608,0.62
15.746,1.62,15.856,1.55
15.7412,2.835,15.8512,0.62
15.7364,2.2275,15.8464,1.55
15.7316,2.43,15.8416,1.86
15.7268,2.025,15.8368,1.24
15.722,3.0375,15.832,3.72
15.7172,1.0125,15.8272,1.55
15.7124,2.835,15.8224,1.55
15.7076,2.2275,15.8176,1.24
15.7028,2.025,15.8128,1.55
15.698,1.8225,15.808,3.1
15.6932,3.24,15.8032,1.55
15.6884,2.43,15.7984,2.17
15.6836,2.835,15.7936,1.55
15.6788,3.4425,15.7888,2.48
15.674,5.265,15.784,2.79
15.6692,3.645,15.7792,2.79
15.6644,3.0375,15.7744,2.48
15.6596,2.6325,15.7696,1.55
15.6548,4.2525,15.7648,3.41
15.65,3.645,15.76,0.93
15.6452,5.265,15.7552,4.65
15.6404,4.86,15.7504,4.65
15.6356,4.2525,15.7456,4.96
15.6308,3.24,15.7408,5.58
15.626,3.24,15.736,1.55
15.6212,4.2525,15.7312,1.86
15.6164,5.4675,15.7264,3.1
15.6116,5.265,15.7216,4.03
15.6068,5.8725,15.7168,3.41
15.602,5.8725,15.712,4.34
15.5972,4.86,15.7072,1.86
15.5924,4.455,15.7024,2.17
15.5876,5.8725,15.6976,1.86
15.5828,8.7075,15.6928,6.2
15.578,5.4675,15.688,3.1
15.5732,4.86,15.6832,3.1
15.5684,10.125,15.6784,4.65
15.5636,7.4925,15.6736,2.79
15.5588,4.86,15.6688,3.1
15.554,8.1,15.664,3.1
15.5492,8.505,15.6592,4.34
15.5444,8.3025,15.6544,5.27
15.5396,11.9475,15.6496,5.58
15.5348,11.5425,15.6448,2.17
15.53,6.48,15.64,5.58
15.5252,9.72,15.6352,5.58
15.5204,7.8975,15.6304,5.89
15.5156,8.505,15.6256,5.89
15.5108,10.53,15.6208,5.58
15.506,9.9225,15.616,4.65
15.5012,11.9475,15.6112,5.27
15.4964,10.935,15.6064,2.48
15.4916,12.555,15.6016,3.72
15.4868,14.58,15.5968,6.51
15.482,10.935,15.592,9.3
15.4772,14.58,15.5872,4.03
15.4724,11.745,15.5824,9.61
15.4676,11.34,15.5776,5.89
15.4628,16.2,15.5728,10.54
15.458,13.1625,15.568,7.44
15.4532,13.365,15.5632,7.44
15.4484,15.1875,15.5584,4.96
15.4436,18.63,15.5536,9.3
15.4388,21.465,15.5488,8.68
15.434,15.795,15.544,10.85
15.4292,17.415,15.5392,6.51
15.4244,19.035,15.5344,3.1
15.4196,22.0725,15.5296,13.64
15.4148,16.8075,15.5248,11.78
15.41,21.87,15.52,10.23
15.4052,21.2625,15.5152,9.3
15.4004,22.4775,15.5104,7.75
15.3956,26.73,15.5056,13.64
15.3908,24.3,15.5008,9.92
15.386,26.5275,15.496,13.02
15.3812,28.755,15.4912,14.26
15.3764,22.68,15.4864,9.3
15.3716,29.565,15.4816,10.23
15.3668,36.6525,15.4768,16.12
15.362,31.3875,15.472,11.78
15.3572,30.9825,15.4672,7.44
15.3524,34.02,15.4624,12.4
15.3476,31.59,15.4576,15.19
15.3428,34.2225,15.4528,14.26
15.338,28.35,15.448,9.61
15.3332,29.7675,15.4432,15.5
15.3284,37.8675,15.4384,22.32
15.3236,27.7425,15.4336,19.84
15.3188,37.26,15.4288,23.87
15.314,40.7025,15.424,15.5
15.3092,47.9925,15.4192,12.4
15.3044,44.55,15.4144,20.77
15.2996,36.045,15.4096,18.91
15.2948,45.5625,15.4048,20.15
15.29,47.5875,15.4,13.95
15.2852,43.74,15.3952,17.05
15.2804,55.485,15.3904,20.46
15.2756,54.675,15.3856,18.6
15.2708,53.2575,15.3808,13.02
15.266,54.27,15.376,18.6
15.2612,65.205,15.3712,21.39
15.2564,55.89,15.3664,25.42
15.2516,61.155,15.3616,17.98
15.2468,51.03,15.3568,16.43
15.242,52.245,15.352,25.42
15.2372,65.0025,15.3472,31.93
15.2324,62.5725,15.3424,16.12
15.2276,64.395,15.3376,25.11
15.2228,60.5475,15.3328,23.56
15.218,72.2925,15.328,25.73
15.2132,65.0025,15.3232,26.97
15.2084,74.115,15.3184,26.97
15.2036,70.875,15.3136,30.07
15.1988,78.165,15.3088,29.45
15.194,88.4925,15.304,33.17
15.1892,74.7225,15.2992,31.62
15.1844,78.975,15.2944,32.86
15.1796,66.825,15.2896,37.51
15.1748,76.14,15.2848,33.48
15.17,77.9625,15.28,41.54
15.1652,91.3275,15.2752,28.52
15.1604,90.1125,15.2704,33.79
15.1556,92.34,15.2656,35.34
15.1508,91.3275,15.2608,39.37
15.146,87.48,15.256,34.72
15.1412,87.48,15.2512,38.44
15.1364,94.1625,15.2464,41.23
15.1316,96.39,15.2416,31.93
15.1268,101.25,15.2368,37.82
15.122,107.325,15.232,44.02
15.1172,112.995,15.2272,42.16
15.1124,109.9575,15.2224,43.09
15.1076,120.69,15.2176,39.06
15.1028,102.87,15.2128,37.51
15.098,121.905,15.208,37.2
15.0932,129.195,15.2032,34.72
15.0884,122.715,15.1984,42.78
15.0836,124.1325,15.1936,45.57
15.0788,121.7025,15.1888,46.81
15.074,129.3975,15.184,44.33
15.0692,133.4475,15.1792,44.02
15.0644,135.27,15.1744,50.22
15.0596,142.155,15.1696,49.6
15.0548,154.305,15.1648,43.4
15.05,150.0525,15.16,55.18
15.0452,146.4075,15.1552,57.66
15.0404,132.84,15.1504,51.15
15.0356,158.9625,15.1456,47.74
15.0308,157.3425,15.1408,63.86
15.026,147.825,15.136,58.59
15.0212,165.645,15.1312,48.36
15.0164,162,15.1264,62
15.0116,160.785,15.1216,60.45
15.0068,154.71,15.1168,67.27
15.002,177.9975,15.112,63.24
14.9972,189.7425,15.1072,58.59
14.9924,189.3375,15.1024,69.44
14.9876,197.8425,15.0976,81.22
14.9828,193.7925,15.0928,70.06
14.978,183.2625,15.088,56.73
14.9732,179.01,15.0832,69.44
14.9684,194.4,15.0784,78.74
14.9636,199.0575,15.0736,70.37
14.9588,192.9825,15.0688,64.79
14.954,206.55,15.064,59.21
14.9492,206.955,15.0592,63.86
14.9444,219.915,15.0544,84.32
14.9396,199.4625,15.0496,76.88
14.9348,210.8025,15.0448,84.63
14.93,229.4325,15.04,84.94
14.9252,208.3725,15.0352,84.94
14.9204,233.4825,15.0304,77.5
14.9156,211.005,15.0256,71.61
14.9108,234.6975,15.0208,83.39
14.906,214.4475,15.016,80.91
14.9012,231.255,15.0112,86.8
14.8964,221.535,15.0064,79.98
14.8916,228.015,15.0016,83.39
14.8868,231.66,14.9968,77.19
14.882,245.835,14.992,95.79
14.8772,260.2125,14.9872,92.07
14.8724,268.7175,14.9824,80.91
14.8676,250.8975,14.9776,89.9
14.8628,262.2375,14.9728,101.37
14.858,287.55,14.968,94.24
