#Table:,P=0,"P=2, SMF","P=5, SMF","P=2, HLX","P=5, HLX"
 #E(MeV),Efw,Efw,Efw,Efw,Efw 
-5E-09,100000,101340,80568,110547,102763
5E-09,100000,101340,80568,110547,102763
1.5E-08,100000,101340,80568,110384,102602
2.5E-08,100000,101340,80568,110237,102443
3.5E-08,100000,101340,80568,110085,102272
4.5E-08,100000,101340,80568,109931,102081
5.5E-08,100000,101340,80568,109787,101900
6.5E-08,100000,101340,80568,109614,101677
7.5E-08,100000,101340,80568,109449,101480
8.5E-08,100000,101340,80568,109306,101266
9.5E-08,100000,101340,80568,109146,101084
1.05E-07,100000,101336,80559,108966,100882
1.15E-07,100000,100895,79701,108800,100675
1.25E-07,100000,100453,78925,108632,100456
1.35E-07,100000,100029,78242,108486,100252
1.45E-07,100000,99621,77590,108325,100038
1.55E-07,100000,99216,76937,108191,99825
1.65E-07,100000,98841,76326,108044,99612
1.75E-07,100000,98468,75765,107892,99378
1.85E-07,100000,98101,75220,107741,99188
1.95E-07,100000,97801,74722,107575,98984
2.05E-07,100000,97506,74210,107455,98771
2.15E-07,100000,97169,73727,107309,98535
2.25E-07,100000,96845,73334,107177,98324
2.35E-07,100000,96571,72881,107024,98102
2.45E-07,100000,96300,72493,106869,97897
2.55E-07,100000,96034,72136,106718,97680
2.65E-07,100000,95770,71765,106567,97444
2.75E-07,100000,95552,71426,106430,97209
2.85E-07,100000,95315,71096,106294,96992
2.95E-07,100000,95067,70752,106147,96789
3.05E-07,100000,94820,70449,106033,96555
3.15E-07,100000,94622,70140,105914,96338
3.25E-07,100000,94434,69844,105807,96140
3.35E-07,100000,94263,69584,105704,95907
3.45E-07,100000,94080,69322,105580,95693
3.55E-07,100000,93910,69077,105452,95480
3.65E-07,100000,93745,68863,105332,95271
3.75E-07,100000,93583,68644,105217,95065
3.85E-07,100000,93430,68418,105103,94847
3.95E-07,100000,93285,68188,104988,94626
4.05E-07,100000,93147,67977,104894,94400
4.15E-07,100000,92997,67775,104762,94178
4.25E-07,100000,92870,67596,104656,93965
4.35E-07,100000,92760,67413,104550,93729
4.45E-07,100000,92625,67235,104429,93514
4.55E-07,100000,92505,67071,104321,93320
4.65E-07,100000,92416,66900,104207,93109
4.75E-07,100000,92315,66731,104097,92875
4.85E-07,100000,92218,66574,103989,92667
4.95E-07,100000,92121,66409,103867,92463
5.05E-07,100000,92026,66247,103758,92235
5.15E-07,100000,91957,66083,103640,92018
5.25E-07,100000,91876,65936,103529,91802
5.35E-07,100000,91784,65803,103420,91610
5.45E-07,100000,91714,65696,103314,91424
5.55E-07,100000,91642,65558,103214,91199
5.65E-07,100000,91577,65419,103116,91013
5.75E-07,100000,91500,65287,103015,90796
5.85E-07,100000,91426,65157,102917,90591
5.95E-07,100000,91366,65039,102821,90361
6.05E-07,100000,91295,64920,102717,90160
6.15E-07,100000,91234,64810,102605,89952
6.25E-07,100000,91173,64695,102506,89747
6.35E-07,100000,91123,64587,102410,89548
6.45E-07,100000,91064,64466,102323,89333
6.55E-07,100000,91005,64382,102226,89107
6.65E-07,100000,90952,64275,102113,88901
6.75E-07,100000,90888,64162,102022,88682
6.85E-07,100000,90822,64048,101941,88455
6.95E-07,100000,90772,63926,101831,88264
7.05E-07,100000,90713,63821,101736,88059
7.15E-07,100000,90658,63719,101643,87839
7.25E-07,100000,90599,63611,101559,87639
7.35E-07,100000,90530,63506,101453,87430
7.45E-07,100000,90470,63394,101360,87195
7.55E-07,100000,90406,63297,101277,86969
7.65E-07,100000,90342,63191,101170,86767
7.75E-07,100000,90290,63083,101058,86556
7.85E-07,100000,90232,62976,100968,86344
7.95E-07,100000,90174,62872,100873,86135
8.05E-07,100000,90110,62773,100764,85919
8.15E-07,100000,90057,62651,100661,85711
8.25E-07,100000,90005,62556,100572,85500
8.35E-07,100000,89962,62455,100440,85303
8.45E-07,100000,89908,62360,100352,85069
8.55E-07,100000,89860,62259,100242,84865
8.65E-07,100000,89795,62179,100141,84631
8.75E-07,100000,89747,62081,100035,84394
8.85E-07,100000,89690,61971,99934,84192
8.95E-07,100000,89635,61870,99842,83999
9.05E-07,100000,89571,61755,99749,83771
9.15E-07,100000,89514,61663,99635,83540
9.25E-07,100000,89456,61575,99541,83319
9.35E-07,100000,89400,61515,99441,83088
9.45E-07,100000,89344,61437,99288,82799
9.55E-07,100000,89300,61343,99098,82502
9.65E-07,100000,89256,61247,98908,82207
9.75E-07,100000,89194,61148,98701,81880
9.85E-07,100000,89147,61068,98512,81583
9.95E-07,100000,89092,60985,98310,81320
1.005E-06,100000,89045,60903,98112,81053
1.015E-06,100000,88995,60830,97915,80757
1.025E-06,100000,88948,60764,97786,80557
1.035E-06,100000,88902,60695,97655,80351
1.045E-06,100000,88861,60642,97519,80179
1.055E-06,100000,88815,60579,97389,79962
1.065E-06,100000,88781,60484,97267,79769
1.075E-06,100000,88722,60432,97124,79590
1.085E-06,100000,88688,60363,97001,79388
1.095E-06,100000,88631,60296,96859,79192
1.105E-06,100000,88584,60218,96699,79019
1.115E-06,100000,88537,60150,96571,78835
1.125E-06,100000,88481,60081,96436,78640
1.135E-06,100000,88432,60012,96290,78457
1.145E-06,100000,88391,59937,96158,78252
1.155E-06,100000,88341,59881,96039,78053
1.165E-06,100000,88297,59821,95918,77885
1.175E-06,100000,88252,59752,95784,77690
1.185E-06,100000,88204,59688,95667,77515
1.195E-06,100000,88158,59623,95547,77355
1.205E-06,100000,88109,59549,95432,77189
1.215E-06,100000,88064,59484,95319,77008
1.225E-06,100000,88022,59405,95197,76826
1.235E-06,100000,87975,59341,95070,76649
1.245E-06,100000,87935,59278,94939,76496
1.255E-06,100000,87894,59194,94835,76337
1.265E-06,100000,87840,59119,94689,76160
1.275E-06,100000,87794,59065,94570,76009
1.285E-06,100000,87753,58990,94458,75870
1.295E-06,100000,87708,58938,94363,75705
1.305E-06,100000,87662,58879,94235,75526
1.315E-06,100000,87624,58817,94146,75375
1.325E-06,100000,87575,58772,94023,75228
1.335E-06,100000,87525,58699,93910,75056
1.345E-06,100000,87489,58634,93820,74876
1.355E-06,100000,87437,58548,93717,74705
1.365E-06,100000,87386,58472,93599,74533
1.375E-06,100000,87338,58403,93491,74373
1.385E-06,100000,87285,58346,93392,74206
1.395E-06,100000,87239,58277,93296,74035
1.405E-06,100000,87194,58217,93207,73863
1.415E-06,100000,87152,58167,93107,73717
1.425E-06,100000,87111,58088,93013,73563
1.435E-06,100000,87068,58026,92903,73420
1.445E-06,100000,87019,57973,92807,73297
1.455E-06,100000,86979,57922,92705,73134
1.465E-06,100000,86934,57845,92609,72996
1.475E-06,100000,86890,57787,92506,72863
1.485E-06,100000,86855,57717,92407,72723
1.495E-06,100000,86818,57652,92308,72599
1.505E-06,100000,86788,57595,92221,72474
1.515E-06,100000,86738,57532,92131,72324
1.525E-06,100000,86693,57467,92040,72175
1.535E-06,100000,86660,57415,91933,72028
1.545E-06,100000,86626,57348,91847,71874
1.555E-06,100000,86588,57291,91766,71744
1.565E-06,100000,86538,57224,91684,71622
1.575E-06,100000,86492,57159,91599,71464
1.585E-06,100000,86449,57090,91491,71322
1.595E-06,100000,86389,57032,91398,71183
1.605E-06,100000,86342,56958,91325,71049
1.615E-06,100000,86285,56896,91256,70922
1.625E-06,100000,86247,56825,91175,70785
1.635E-06,100000,86196,56757,91108,70652
1.645E-06,100000,86154,56677,91045,70543
1.655E-06,100000,86100,56615,90972,70411
1.665E-06,100000,86058,56546,90893,70267
1.675E-06,100000,86007,56480,90827,70148
1.685E-06,100000,85964,56415,90760,70041
1.695E-06,100000,85926,56337,90687,69916
1.705E-06,100000,85885,56271,90620,69797
1.715E-06,100000,85837,56197,90552,69668
1.725E-06,100000,85777,56138,90489,69532
1.735E-06,100000,85734,56064,90422,69400
1.745E-06,100000,85675,56002,90355,69282
1.755E-06,100000,85631,55943,90288,69160
1.765E-06,100000,85593,55882,90229,69033
1.775E-06,100000,85547,55816,90172,68906
1.785E-06,100000,85498,55747,90107,68798
1.795E-06,100000,85454,55684,90042,68678
1.805E-06,100000,85399,55614,89974,68543
1.815E-06,100000,85358,55563,89918,68426
1.825E-06,100000,85310,55513,89863,68316
1.835E-06,100000,85255,55436,89809,68209
1.845E-06,100000,85204,55376,89745,68077
1.855E-06,100000,85150,55302,89690,67944
1.865E-06,100000,85098,55236,89625,67840
1.875E-06,100000,85045,55175,89570,67691
1.885E-06,100000,84996,55114,89502,67557
1.895E-06,100000,84952,55057,89451,67449
1.905E-06,100000,84909,54996,89391,67330
1.915E-06,100000,84857,54925,89337,67208
1.925E-06,100000,84803,54854,89302,67096
1.935E-06,100000,84753,54790,89240,66999
1.945E-06,100000,84712,54730,89190,66885
1.955E-06,100000,84660,54649,89139,66779
1.965E-06,100000,84595,54581,89078,66664
1.975E-06,100000,84550,54512,89017,66534
1.985E-06,100000,84494,54438,88960,66420
1.995E-06,100000,84452,54380,88903,66305
2.005E-06,100000,84413,54307,88841,66199
2.015E-06,100000,84353,54246,88785,66075
2.025E-06,100000,84306,54182,88729,65974
2.035E-06,100000,84263,54125,88698,65854
2.045E-06,100000,84209,54056,88647,65724
2.055E-06,100000,84163,53989,88600,65605
2.065E-06,100000,84105,53916,88542,65507
2.075E-06,100000,84055,53841,88492,65401
2.085E-06,100000,84006,53778,88439,65271
2.095E-06,100000,83956,53716,88387,65160
2.105E-06,100000,83894,53639,88340,65050
2.115E-06,100000,83849,53563,88301,64914
2.125E-06,100000,83799,53489,88257,64792
2.135E-06,100000,83740,53407,88210,64685
2.145E-06,100000,83685,53329,88165,64579
2.155E-06,100000,83636,53264,88104,64479
2.165E-06,100000,83587,53186,88056,64355
2.175E-06,100000,83541,53114,87992,64239
2.185E-06,100000,83476,53045,87941,64118
2.195E-06,100000,83429,52974,87899,63997
2.205E-06,100000,83387,52908,87837,63889
2.215E-06,100000,83329,52845,87793,63779
2.225E-06,100000,83286,52777,87750,63657
2.235E-06,100000,83229,52701,87702,63538
2.245E-06,100000,83184,52640,87655,63416
2.255E-06,100000,83117,52567,87608,63284
2.265E-06,100000,83056,52505,87555,63159
2.275E-06,100000,83007,52437,87510,63060
2.285E-06,100000,82956,52366,87466,62945
2.295E-06,100000,82912,52299,87410,62818
2.305E-06,100000,82856,52231,87347,62688
2.315E-06,100000,82803,52159,87288,62567
2.325E-06,100000,82758,52079,87228,62418
2.335E-06,100000,82705,52006,87168,62291
2.345E-06,100000,82647,51929,87101,62134
2.355E-06,100000,82595,51861,87034,61997
2.365E-06,100000,82549,51793,86981,61883
2.375E-06,100000,82503,51724,86923,61752
2.385E-06,100000,82453,51649,86871,61626
2.395E-06,100000,82401,51579,86816,61490
2.405E-06,100000,82348,51511,86764,61391
2.415E-06,100000,82296,51427,86706,61266
2.425E-06,100000,82243,51363,86658,61151
2.435E-06,100000,82190,51300,86599,61032
2.445E-06,100000,82144,51237,86538,60908
2.455E-06,100000,82090,51146,86483,60780
2.465E-06,100000,82024,51067,86423,60671
2.475E-06,100000,81961,50990,86365,60527
2.485E-06,100000,81888,50918,86302,60397
2.495E-06,100000,81828,50845,86248,60271
2.505E-06,100000,81772,50764,86194,60154
2.515E-06,100000,81707,50689,86138,60012
2.525E-06,100000,81649,50630,86091,59868
2.535E-06,100000,81591,50548,86033,59749
2.545E-06,100000,81530,50475,85960,59604
2.555E-06,100000,81490,50409,85902,59473
2.565E-06,100000,81443,50339,85839,59343
2.575E-06,100000,81384,50245,85780,59220
2.585E-06,100000,81334,50161,85711,59087
2.595E-06,100000,81286,50069,85641,58950
2.605E-06,100000,81223,49995,85580,58798
2.615E-06,100000,81167,49914,85520,58654
2.625E-06,100000,81100,49845,85453,58503
2.635E-06,100000,81036,49776,85391,58369
2.645E-06,100000,80955,49704,85338,58257
2.655E-06,100000,80887,49623,85267,58124
2.665E-06,100000,80826,49544,85204,57992
2.675E-06,100000,80777,49462,85130,57859
2.685E-06,100000,80716,49386,85051,57720
2.695E-06,100000,80643,49293,84983,57590
2.705E-06,100000,80587,49209,84911,57450
2.715E-06,100000,80523,49125,84844,57317
2.725E-06,100000,80462,49036,84765,57167
2.735E-06,100000,80398,48956,84698,57048
2.745E-06,100000,80338,48872,84618,56904
2.755E-06,100000,80270,48779,84539,56764
2.765E-06,100000,80210,48701,84470,56626
2.775E-06,100000,80152,48641,84398,56474
2.785E-06,100000,80079,48552,84317,56333
2.795E-06,100000,80009,48479,84228,56182
2.805E-06,100000,79952,48400,84141,56037
2.815E-06,100000,79901,48301,84056,55906
2.825E-06,100000,79835,48219,83970,55773
2.835E-06,100000,79766,48128,83901,55613
2.845E-06,100000,79690,48055,83826,55480
2.855E-06,100000,79625,47969,83767,55334
