"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
-5E-09,978318,128949,961118,126785
5E-09,978318,128949,961118,126785
1.5E-08,978139,128944,960963,126782
2.5E-08,933508,124596,917363,122450
3.5E-08,908233,121585,892795,119424
4.5E-08,888702,119073,873596,116964
5.5E-08,872745,117016,857734,114864
6.5E-08,858859,115243,844248,113174
7.5E-08,846553,113620,832225,111626
8.5E-08,835462,112226,821622,110237
9.5E-08,825620,110884,811869,108903
1.05E-07,816644,109671,803074,107673
1.15E-07,808307,108472,794857,106509
1.25E-07,800485,107294,787231,105446
1.35E-07,793276,106248,780146,104425
1.45E-07,786458,105253,773388,103422
1.55E-07,779987,104302,767117,102537
1.65E-07,773993,103418,761045,101727
1.75E-07,768233,102565,755409,100964
1.85E-07,762694,101802,750091,100187
1.95E-07,757523,100957,744962,99407
2.05E-07,752656,100254,740225,98664
2.15E-07,747919,99508,735592,97950
2.25E-07,743360,98845,731111,97265
2.35E-07,738943,98176,726886,96614
2.45E-07,734822,97531,722855,95974
2.55E-07,730866,96898,718988,95381
2.65E-07,727146,96297,715445,94787
2.75E-07,723435,95725,711860,94255
2.85E-07,719937,95160,708507,93724
2.95E-07,716700,94613,705288,93257
3.05E-07,713521,94134,702223,92768
3.15E-07,710457,93677,699293,92324
3.25E-07,707522,93231,696508,91872
3.35E-07,704848,92760,693950,91420
3.45E-07,702203,92360,691419,91034
3.55E-07,699595,92017,688890,90662
3.65E-07,697017,91655,686462,90284
3.75E-07,694727,91282,684169,89927
3.85E-07,692402,90925,681917,89573
3.95E-07,690191,90595,679813,89266
4.05E-07,688010,90296,677787,88988
4.15E-07,685984,89998,675822,88695
4.25E-07,684010,89673,673895,88390
4.35E-07,682078,89412,672016,88119
4.45E-07,680255,89155,670234,87850
4.55E-07,678521,88896,668476,87596
4.65E-07,676729,88649,666778,87370
4.75E-07,675051,88407,665191,87130
4.85E-07,673406,88194,663597,86919
4.95E-07,671827,87957,662031,86701
5.05E-07,670208,87745,660529,86471
5.15E-07,668685,87572,659021,86270
5.25E-07,667198,87360,657552,86065
5.35E-07,665694,87162,656154,85869
5.45E-07,664241,87003,654724,85682
5.55E-07,662849,86792,653356,85498
5.65E-07,661479,86608,652003,85312
5.75E-07,660092,86422,650794,85127
5.85E-07,658785,86251,649554,84964
5.95E-07,657435,86071,648276,84805
6.05E-07,656196,85904,646982,84641
6.15E-07,654889,85716,645764,84486
6.25E-07,653622,85558,644564,84328
6.35E-07,652409,85400,643456,84153
6.45E-07,651222,85234,642314,83999
6.55E-07,650010,85085,641181,83829
6.65E-07,648869,84936,640011,83676
6.75E-07,647692,84786,638883,83536
6.85E-07,646536,84641,637805,83384
6.95E-07,645350,84503,636690,83256
7.05E-07,644246,84351,635629,83106
7.15E-07,643128,84218,634574,82965
7.25E-07,642041,84087,633537,82838
7.35E-07,640957,83944,632432,82692
7.45E-07,639828,83814,631333,82564
7.55E-07,638708,83680,630309,82446
7.65E-07,637672,83534,629337,82298
7.75E-07,636574,83391,628308,82162
7.85E-07,635521,83244,627310,82015
7.95E-07,634426,83111,626273,81881
8.05E-07,633364,82972,625266,81746
8.15E-07,632338,82811,624225,81604
8.25E-07,631286,82686,623228,81498
8.35E-07,630276,82569,622271,81348
8.45E-07,629236,82444,621311,81216
8.55E-07,628261,82306,620331,81082
8.65E-07,627253,82190,619393,80964
8.75E-07,626309,82059,618486,80846
8.85E-07,625341,81920,617565,80712
8.95E-07,624375,81786,616626,80591
9.05E-07,623342,81629,615650,80463
9.15E-07,622423,81512,614776,80335
9.25E-07,621428,81381,613855,80206
9.35E-07,620490,81263,612930,80089
9.45E-07,619522,81133,611993,79969
9.55E-07,618612,81006,611075,79831
9.65E-07,617645,80893,610149,79706
9.75E-07,616734,80771,609260,79592
9.85E-07,615769,80642,608351,79473
