#Table:
 #x(mm)/E(MeV) ,           NoInt ,       EdepTotal ,        E2_gamma ,           E2_e- ,No_GmUserSpecialCut ,No_GmUserSpecialCut ,No_Transportation ,Ed_Transportation ,          No_msc ,          Ed_msc ,        No_eBrem ,        Ed_eBrem ,        No_eIoni ,        Ed_eIoni ,         No_Rayl ,         Ed_Rayl ,        No_compt ,        Ed_compt ,         No_phot ,         Ed_phot ,     E_aux_gamma ,
           -0.05 ,               0 ,        0.187453 ,       0.0691435 ,         0.99444 ,               0 ,               0 ,          177793 ,        0.187453 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,             746 ,
            0.05 ,           75219 ,         406.438 ,       0.0638884 ,        0.963736 ,             261 ,             261 ,           82357 ,         0.12301 ,          148220 ,         369.917 ,             231 ,          2.6242 ,             486 ,         25.9107 ,               2 ,               0 ,               4 ,      0.00058392 ,              35 ,       0.0182967 ,         862.844 ,
            0.15 ,             658 ,         2547.91 ,      0.00861053 ,        0.927144 ,             250 ,             250 ,               0 ,               0 ,           85544 ,         2505.81 ,             207 ,         3.92527 ,             545 ,         33.0352 ,               3 ,               0 ,              10 ,      0.00075132 ,              58 ,       0.0281139 ,         76.1096 ,
            0.25 ,          260150 ,         2738.59 ,      0.00855731 ,        0.888842 ,             307 ,             307 ,               0 ,               0 ,           70894 ,         2677.85 ,             240 ,         5.12213 ,             752 ,         48.2004 ,               3 ,               0 ,              13 ,      0.00083672 ,              59 ,       0.0311915 ,         82.3843 ,
            0.35 ,            4742 ,         3266.51 ,      0.00688227 ,          0.8771 ,             416 ,             416 ,               0 ,               0 ,           98001 ,         3174.27 ,             233 ,         3.90702 ,            1186 ,         78.3507 ,               4 ,               0 ,              10 ,      0.00130876 ,              66 ,       0.0339363 ,         89.9486 ,
            0.45 ,            8831 ,         2785.12 ,      0.00416217 ,         0.83626 ,             433 ,             433 ,               0 ,               0 ,           82378 ,         2662.48 ,             240 ,         4.27548 ,            1590 ,         108.194 ,               2 ,               0 ,               9 ,      0.00072286 ,              74 ,       0.0387426 ,         95.1302 ,
            0.55 ,          686519 ,         3112.99 ,       0.0123586 ,        0.818881 ,             484 ,             484 ,               0 ,               0 ,           91726 ,         2957.55 ,             256 ,         4.11283 ,            2034 ,         140.129 ,               4 ,               0 ,              12 ,     0.000238188 ,              84 ,       0.0436074 ,         111.154 ,
            0.65 ,     2.16395e+06 ,         3482.68 ,      0.00815349 ,        0.795854 ,             594 ,             594 ,               0 ,               0 ,          101443 ,         3283.19 ,             263 ,         4.40132 ,            2542 ,         180.634 ,               8 ,               0 ,              10 ,      0.00027782 ,              92 ,       0.0479056 ,         124.404 ,
            0.75 ,            5396 ,         3209.13 ,      0.00943437 ,        0.761135 ,             627 ,             627 ,               0 ,               0 ,           90663 ,         2954.36 ,             265 ,         4.13404 ,            3335 ,         235.727 ,               5 ,               0 ,              16 ,     0.000866782 ,              90 ,        0.046323 ,         125.867 ,
            0.85 ,               0 ,         3771.18 ,      0.00265814 ,        0.750713 ,             701 ,             701 ,               0 ,               0 ,          106147 ,         3472.12 ,             294 ,         5.41088 ,            3835 ,         277.041 ,               1 ,               0 ,              10 ,      0.00030756 ,             102 ,       0.0512462 ,         129.555 ,
