#,Fuente Varian,,,,Fuente MonoE 6 MeV,,
 #E(MeV) ,compt,phot,conv,,compt,phot,conv
-0.01,0,0,0,,0,0,0
0.01,0.000857123,5.01144E-07,1.29493E-07,,0.335544,0.00016206,0.00014332
0.03,0.000857123,0.000383226,1.38451E-07,,0.335544,0.208159,0.00019376
0.05,0.000857123,0.000376239,1.57322E-07,,0.335544,0.201821,0.00024696
0.07,0.000585183,0.000116788,1.76125E-07,,0.26171,0.0561782,0.0002913
0.09,0.000378243,3.79019E-05,1.98437E-07,,0.183726,0.0177242,0.00034196
0.11,0.000301299,1.46803E-05,2.25375E-07,,0.139866,0.00681648,0.00039208
0.13,0.00025015,6.67355E-06,2.61673E-07,,0.109784,0.00309864,0.00044004
0.15,0.000215652,3.39508E-06,2.8115E-07,,0.0878163,0.00156966,0.00047844
0.17,0.000179391,1.88823E-06,3.1326E-07,,0.0725137,0.0008573,0.00051846
0.19,0.000152267,1.13468E-06,3.3495E-07,,0.061575,0.00051316,0.00056098
0.21,0.000131043,7.55348E-07,3.57219E-07,,0.0532138,0.00033104,0.000597
0.23,0.000114258,5.30789E-07,3.76798E-07,,0.0466625,0.00022798,0.0006373
0.25,0.000101732,3.68354E-07,4.04788E-07,,0.0415067,0.0001744,0.00067628
0.27,9.23402E-05,2.44715E-07,4.1909E-07,,0.0371783,0.00011516,0.0007061
0.29,8.44071E-05,1.77386E-07,4.35889E-07,,0.0336643,7.992E-05,0.0007354
0.31,7.77003E-05,1.26461E-07,4.54801E-07,,0.030723,5.872E-05,0.0007615
0.33,7.20854E-05,1.01119E-07,4.7586E-07,,0.0282013,4.434E-05,0.0007934
0.35,6.64811E-05,7.80964E-08,4.78245E-07,,0.0260335,3.392E-05,0.00081904
0.37,6.213E-05,5.9331E-08,4.93408E-07,,0.0241131,2.59E-05,0.00084218
0.39,5.82019E-05,4.8194E-08,5.13752E-07,,0.0225147,1.966E-05,0.00087734
0.41,5.49107E-05,3.73629E-08,5.17704E-07,,0.0210559,1.664E-05,0.00089438
0.43,5.15765E-05,3.36844E-08,5.17738E-07,,0.0197916,1.3E-05,0.00091404
0.45,4.86125E-05,2.67362E-08,5.28813E-07,,0.0187096,1.094E-05,0.00094102
0.47,4.58198E-05,2.32622E-08,5.31403E-07,,0.0176553,9.04E-06,0.0009533
0.49,4.33199E-05,2.0265E-08,5.39956E-07,,0.0167206,7.46E-06,0.00097144
0.51,4.11078E-05,1.74722E-08,5.44999E-07,,0.0159495,6.24E-06,0.00098832
0.53,3.90522E-05,1.41005E-08,5.5069E-07,,0.0151792,5E-06,0.00100866
0.55,3.71464E-05,1.2125E-08,5.52291E-07,,0.0145218,4.76E-06,0.00102358
0.57,3.5352E-05,1.11373E-08,5.47827E-07,,0.0138766,3.82E-06,0.00104184
0.59,3.36985E-05,9.12782E-09,5.59549E-07,,0.0133226,3.42E-06,0.00105782
0.61,3.22304E-05,7.83357E-09,5.67012E-07,,0.0127825,3.48E-06,0.00105948
0.63,3.08354E-05,7.25456E-09,5.55665E-07,,0.0123009,2.58E-06,0.00108066
0.65,2.9479E-05,7.05021E-09,5.68239E-07,,0.0118867,2.22E-06,0.00109682
0.67,2.83571E-05,5.79002E-09,5.57028E-07,,0.0114471,2.52E-06,0.0011017
0.69,2.71863E-05,5.82408E-09,5.54063E-07,,0.0110313,2.1E-06,0.00111916
0.71,2.61543E-05,4.5639E-09,5.49565E-07,,0.0107167,1.78E-06,0.00113262
0.73,2.52143E-05,5.07479E-09,5.47657E-07,,0.0103829,1.44E-06,0.00113664
0.75,2.42985E-05,3.71243E-09,5.4108E-07,,0.010067,1.3E-06,0.00115058
0.77,2.3497E-05,3.9849E-09,5.42648E-07,,0.00973838,1.28E-06,0.00115092
0.79,2.26717E-05,3.43996E-09,5.37162E-07,,0.00946776,1.18E-06,0.00115264
0.81,2.18482E-05,2.92908E-09,5.28745E-07,,0.00924492,8E-07,0.00116338
0.83,2.11383E-05,3.30373E-09,5.30312E-07,,0.0089654,1.02E-06,0.00116226
