#Table:,G4 genMono,Lepts genMono,G4 genRafa,Lepts genRafa,,G4 genMono,Lepts genMono,G4 genRafa,Lepts genRafa
 #x(mm) ,       EdepTotal ,       EdepTotal ,       EdepTotal ,       EdepTotal ,,           E2_e- ,           E2_e- ,           E2_e- ,           E2_e- 
-0.5,27.1641,0,2.44739,0,,149.877,150,152.197,152.197
0.5,8894360,29926.2,415469,1217.98,,135.549,93.1028,125.054,125.054
1.5,30832300,29920.4,1301820,1211.54,,111.941,89.3605,102.907,102.907
2.5,29190000,29917.5,1279180,1203.77,,109.288,85.6232,102.603,102.603
3.5,30290000,29917,1293090,1202.43,,104.903,81.88,98.5669,98.5669
4.5,31344400,29907,1302260,1201.65,,99.8172,78.1324,93.3462,93.3462
5.5,32357500,29930.7,1328800,1199.77,,94.3864,74.3892,88.3552,88.3552
6.5,33383000,29956.3,1374320,1197.25,,88.7034,70.6461,83.7742,83.7742
7.5,34419200,29994.1,1421160,1189.08,,82.8615,66.8921,78.8784,78.8784
8.5,35428900,30031.2,1455570,1190.01,,76.8639,63.1281,73.6732,73.6732
9.5,36301000,30085.7,1478040,1180.6,,70.823,59.3497,68.2443,68.2443
10.5,36874200,30143.6,1494250,1177.63,,64.8421,55.5749,62.8793,62.8793
11.5,36973000,30203.7,1505860,1169.91,,58.9246,51.8017,57.6262,57.6262
12.5,36407200,30292.9,1501790,1165.79,,52.8965,48.0077,52.4535,52.4535
13.5,35001200,30414.1,1479050,1161,,46.2741,44.1782,47.2292,47.2292
14.5,32949300,30580.7,1436450,1159.15,,38.1745,40.3142,41.6503,41.6503
15.5,31838700,30816,1375800,1145.68,,29.0221,36.4185,35.8289,35.8289
16.5,33917700,31133.1,1309790,1144.34,,24.3812,32.4739,29.7836,29.7836
17.5,33633500,31604.1,1259820,1146.31,,22.4537,28.414,24.6157,24.6157
18.5,28962400,32308.3,1223380,1133.77,,19.2676,24.2453,21.7525,21.7525
19.5,24748400,33348.1,1145420,1123.31,,16.8884,19.8982,20.3322,20.3322
20.5,19494500,35016.7,986910,1095.57,,14.5284,15.4275,18.4798,18.4798
21.5,14114200,36485.9,817693,1080.32,,12.4759,11.0649,16.744,16.744
22.5,9016760,35413.3,649403,1051.91,,10.6145,7.14192,15.1797,15.1797
23.5,4885460,25330.6,484736,997.107,,8.9693,4.1753,13.6015,13.6015
24.5,2111710,5989.8,337548,909.816,,7.47962,2.51218,12.1323,12.1323
25.5,678873,136.567,213927,734.63,,6.06315,1.66362,10.7231,10.7231
26.5,157995,0,120403,434.35,,4.46313,0,9.35271,9.35271
27.5,38893.7,0,59524.5,166.242,,2.77421,0,7.96162,7.96162
28.5,23377.8,0,25035.6,20.5019,,2.30004,0,6.43037,6.43037
29.5,21450.7,0,9322.17,0.726961,,2.34478,0,4.53944,4.53944
30.5,20292,0,3748.08,0,,2.3946,0,2.77527,2.77527
31.5,19152.7,0,2401.79,0,,2.45739,0,2.00165,2.00165
32.5,18295.6,0,2114.14,0,,2.51901,0,1.84463,1.84463
33.5,17435.7,0,2086.29,0,,2.57166,0,1.86263,1.86263
34.5,16711.9,0,2000.39,0,,2.6407,0,1.88134,1.88134
35.5,15935.2,0,1980.6,0,,2.67718,0,1.90171,1.90171
36.5,15229.3,0,1939.66,0,,2.74051,0,1.88518,1.88518
37.5,14614,0,1913.35,0,,2.77271,0,1.94341,1.94341
38.5,13906.6,0,1868.02,0,,2.82855,0,1.92656,1.92656
39.5,13380.1,0,1862.32,0,,2.85601,0,1.99855,1.99855
40.5,12972.7,0,1823.81,0,,2.93597,0,2.00735,2.00735
41.5,12382.9,0,1787.58,0,,2.93386,0,2.02474,2.02474
42.5,11910.1,0,1767.01,0,,2.96647,0,2.02034,2.02034
43.5,11406.5,0,1718.47,0,,3.00333,0,2.04547,2.04547
44.5,10855.4,0,1712.14,0,,3.01515,0,2.07663,2.07663
45.5,10477.5,0,1676.82,0,,3.06064,0,2.06917,2.06917
46.5,10198.5,0,1642.25,0,,3.10163,0,2.08767,2.08767
47.5,9838.16,0,1588.06,0,,3.18321,0,2.16386,2.16386
48.5,9499.83,0,1599.54,0,,3.16774,0,2.1573,2.1573
49.5,9198.96,0,1548.62,0,,3.19421,0,2.15783,2.15783
50.5,367875,0,120171,0,,3.93533,0,2.97603,2.97603
