#Table:, G4 5MeV, G4 genRafa,Lepts 5MeV,Lepts genRafa,,,,
 # mm,       Edep ,       Edep ,       Edep ,       Edep ,           Ep ,           Ep ,           Ep ,           Ep 
-0.5,0.218026,0.210717,0,0,4.99576,5.09137,5,5.06155
0.5,55178.9,62522.1,144.416,149.606,4.92081,4.54618,4.90046,4.91783
1.5,195645,203072,144.166,148.786,4.61249,4.18937,4.70139,4.70642
2.5,181985,195187,143.774,146.898,4.38725,4.10636,4.50249,4.51716
3.5,188003,194187,144.937,146.432,4.15127,3.93087,4.30296,4.31935
4.5,193995,192678,144.365,145.718,3.90675,3.72941,4.1034,4.09253
5.5,200958,195150,144.856,143.329,3.64923,3.52348,3.90279,3.92177
6.5,208392,201043,144.431,142.735,3.38701,3.32155,3.7032,3.70141
7.5,217022,206667,144.802,141.331,3.11573,3.12015,3.50312,3.5321
8.5,226367,210497,144.521,142.154,2.84664,2.90212,3.30215,3.30612
9.5,235892,212246,144.534,140.346,2.57902,2.68483,3.10166,3.09511
10.5,244573,214220,143.81,138.285,2.3143,2.4643,2.90108,2.95727
11.5,250624,214895,143.812,138.833,2.06761,2.25324,2.7006,2.71002
12.5,252777,213809,145.045,136.295,1.81707,2.04233,2.49895,2.55831
13.5,249325,210916,145.333,133.276,1.55545,1.826,2.29648,2.39491
14.5,240009,205048,145.283,131.725,1.26055,1.60207,2.09321,2.19662
15.5,234135,196810,146.609,129.493,0.957488,1.36563,1.88667,2.026
16.5,248268,187152,147.876,128.366,0.799745,1.1287,1.67682,1.84318
17.5,244363,180536,149.841,124.269,0.731285,0.917725,1.45823,1.68975
18.5,209064,177227,154.265,124.113,0.629524,0.794715,1.22676,1.48021
19.5,176575,167426,158.8,123.203,0.553266,0.734716,1.00651,1.28824
20.5,137310,144911,168.287,118.404,0.478661,0.65901,0.760024,1.11108
21.5,97994.1,120265,166.222,116.808,0.414075,0.590288,0.554719,0.940052
22.5,61528.6,96260.7,160.736,109.588,0.35538,0.532913,0.361816,0.779945
23.5,32929.8,72193,118.249,100.77,0.302403,0.473827,0.20782,0.640443
24.5,14001.1,50412.2,30.2291,91.9733,0.255082,0.423097,0.118464,0.472451
25.5,4340.66,32017.5,0.735291,74.8684,0.214395,0.375883,0.105359,0.340686
26.5,876.851,18180.1,0,48.0044,0.181865,0.331481,0,0.235214
27.5,103.36,8910.67,0,16.1026,0.139845,0.290494,0,0.160389
28.5,3.23796,3541.82,0,2.13475,0.100167,0.253699,0,0.115356
29.5,0,1099.12,0,0,0,0.221846,0,0
30.5,0,248.724,0,0,0,0.198427,0,0
31.5,0,34.2714,0,0,0,0.174588,0,0
32.5,0,5.75651,0,0,0,0.143047,0,0
33.5,0,0.341797,0,0,0,0.142762,0,0
34.5,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0
46.5,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,0,0,0
48.5,0,0,0,0,0,0,0,0
49.5,0,0,0,0,0,0,0,0
50.5,0,0,0,0,0,0,0,0
