,,,,,,,
#E(eV),  g4        ,    dna     ,     lepts  ,  leptsOld , ,,
10,0,21.9377,29.0969,25.1976, ,,
30,0,114.276,329.969,211.088, ,,
60,0,234.809,631.563,458.315, ,,
90,0,290.785,645.366,489.625, ,,
100,0,299.557,623.996,484.514, ,,
300,270.304,226.427,359.934,412.43, ,,
600,172.368,155.038,227.174,307.402, ,,
900,132.736,120.743,171.224,234.304, ,,
1000,123.368,112.503,156.019,212.716, ,,
3000,56.3535,53.2585,65.3323,82.849, ,,
6000,33.4783,32.1872,40.2095,45.3215, ,,
9000,24.5048,24.0511,29.0516,31.3712, ,,
10000,22.5836,22.099,25.3836,28.2056, ,,
30000,9.66217,9.98962,10.6929,11.0332, ,,
60000,5.80216,5.86872,6.55729,6.23517,, , 
90000,4.40661,5.00505,4.99127,4.57882,, , 
100000,4.1192,4.5352,4.53584,4.23265,, , 
300000,2.3571,1.94131,2.55374,2.19194,, , 
600000,1.96121,1.76698,2.21246,1.61986,, , 
900000,1.82665,2.23492,1.98369,1.61066,, , 
1000000,1.80007,1.36851,1.97967,1.59253,, , 
3000000,1.70087,            ,2.07761,1.55516,, ,
