5 , g4el5_p02.25.root_PerPrimary.csv,5 , g4el5_p05.25.root_PerPrimary.csv,5 , g4el5_p08.25.root_PerPrimary.csv,5 , g4el5_p11.30.root_PerPrimary.csv,5 , g4el5_p14.30.root_PerPrimary.csv,5 , g4el5_p20.30.root_PerPrimary.csv,5 , g4el5_p29.30.root_PerPrimary.csv,5 , g4el5_p41.30.root_PerPrimary.csv,5 , g4el5_p50.30.root_PerPrimary.csv,5 , g4el5_p59.30.root_PerPrimary.csv
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
5 , el5_p02.25.root_PerPrimary.csv,5 , el5_p05.25.root_PerPrimary.csv,5 , el5_p08.25.root_PerPrimary.csv,5 , el5_p11.30.root_PerPrimary.csv,5 , el5_p14.30.root_PerPrimary.csv,5 , el5_p20.30.root_PerPrimary.csv,5 , el5_p29.30.root_PerPrimary.csv,5 , el5_p41.30.root_PerPrimary.csv,5 , el5_p50.30.root_PerPrimary.csv,5 , el5_p59.30.root_PerPrimary.csv
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
5 , ph5_p02.25.root_PerPrimary.csv,5 , ph5_p08.25.root_PerPrimary.csv
 , 0, , 0
 , 0, , 0
 , 0, , 0
 , 0, , 0
 , 0, , 0
