5 , g4el5 02.25,5 , g4el5 05.25,5 , g4el5 08.25,5 , g4el5 11.30,5 , g4el5 14.30,5 , g4el5 20.30,5 , g4el5 29.30,5 , g4el5 41.30,5 , g4el5 50.30,5 , g4el5 59.30
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
5 , el5 02.25,5 , el5 05.25,5 , el5 08.25,5 , el5 11.30,5 , el5 14.30,5 , el5 20.30,5 , el5 29.30,5 , el5 41.30,5 , el5 50.30,5 , el5 59.30
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
 , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0, , 0
5 , ph5 02.25,5 , ph5 08.25
 , 0, , 0
 , 0, , 0
 , 0, , 0
 , 0, , 0
 , 0, , 0
