#stpw                                                               dna    
#keV   lepts    dna       g4  
1      102.02   107.884   123.421    
3      49.0455  53.2615   57.4305    
10     21.1346  22.1877   22.9365    
30     9.04879  10.0005   9.78543    
100    4.25392  4.47916   4.16285    
300    2.54785  2.0708    2.37858    
1000   1.99833  0         1.84719     
5000   2.211    0         1.88173    


      xse le      xsio le          xse dna      xsio dna    
     0.765468     0.73026          0.514884     0.728066   
     0.311239     0.290618         0.20914      0.307732   
     0.107449     0.0975669        0.0680277    0.114066   
     0.0395736    0.039176         0.0229323    0.0466704  
     0.0146284    0.015833         0.00703014   0.0187534  
     0.00730214   0.00867412       0.0025496    0.0104646  
     0.0046449    0.00642635       -0           -0	     
     0.00370037   0.00611251       -0           -0         
