#Energy(eV),Intensity(a.u.)0mTorr,Intensity(a.u.)2mTorr,Intensity(a.u.)9.5mTorr, #E(MeV) ,0mTorr,2mTorr,9.5mTorr
16.8952,14.5,8.66666666666667,2,-5E-09,100000,98824,59134
16.8904,13.25,7.16666666666667,0.8,5E-09,100000,98824,59134
16.8856,12.375,8.5,1.6,1.5E-08,100000,98824,59134
16.8808,12.875,6.33333333333333,1.2,2.5E-08,100000,98824,59134
16.876,10.25,6.83333333333333,0.8,3.5E-08,100000,98824,59134
16.8712,11.625,4,1,4.5E-08,100000,98824,59134
16.8664,11,5.33333333333333,1.8,5.5E-08,100000,98824,59134
16.8616,9.25,5.66666666666667,1.8,6.5E-08,100000,98824,59134
16.8568,12.5,6.83333333333333,0.6,7.5E-08,100000,98824,59134
16.852,10.25,6,0.6,8.5E-08,100000,98824,59134
16.8472,12.75,6.33333333333333,1.2,9.5E-08,100000,98824,59134
16.8424,8.625,7.16666666666667,1.6,1.05E-07,100000,98821,59079
16.8376,9.625,6.66666666666667,1.6,1.15E-07,100000,98300,53113
16.8328,14.625,6.66666666666667,0.8,1.25E-07,100000,98266,53062
16.828,11,7,1.2,1.35E-07,100000,98215,53005
16.8232,11.125,6.83333333333333,1,1.45E-07,100000,98182,52956
16.8184,12,7.83333333333333,1,1.55E-07,100000,98145,52910
16.8136,12.375,4.16666666666667,1.4,1.65E-07,100000,98089,52843
16.8088,8.5,8.16666666666667,0.6,1.75E-07,100000,98044,52783
16.804,13.125,5.5,1.6,1.85E-07,100000,97998,52709
16.7992,10.5,6.16666666666667,1.8,1.95E-07,100000,97958,52644
16.7944,12.125,7.16666666666667,1.8,2.05E-07,100000,97902,52566
16.7896,9.375,6.33333333333333,1.4,2.15E-07,100000,97860,52502
16.7848,11.375,5,1.4,2.25E-07,100000,97813,52437
16.78,10.5,5.5,2,2.35E-07,100000,97763,52362
16.7752,12.375,6.16666666666667,1.8,2.45E-07,100000,97716,52292
16.7704,11.875,5.33333333333333,1.6,2.55E-07,100000,97656,52217
16.7656,10.625,5.66666666666667,1.8,2.65E-07,100000,97608,52125
16.7608,13.25,6.83333333333333,1.6,2.75E-07,100000,97545,52052
16.756,8.75,4.66666666666667,1.8,2.85E-07,100000,97503,51985
16.7512,9.5,6.5,0.8,2.95E-07,100000,97452,51894
16.7464,12.625,6.66666666666667,0.8,3.05E-07,100000,97399,51794
16.7416,15.75,6,1.2,3.15E-07,100000,97354,51701
16.7368,9.875,5.66666666666667,1.6,3.25E-07,100000,97307,51620
16.732,11.875,5.5,1.2,3.35E-07,100000,97256,51534
16.7272,11.625,7.16666666666667,1,3.45E-07,100000,97207,51451
16.7224,11.5,8,1.4,3.55E-07,100000,97145,51364
16.7176,10,5.5,1.2,3.65E-07,100000,97093,51284
16.7128,9.375,5.66666666666667,1.6,3.75E-07,100000,97031,51210
16.708,8.25,7.5,2,3.85E-07,100000,96987,51120
16.7032,9.875,9.5,1.4,3.95E-07,100000,96937,51041
16.6984,11.375,7,1.2,4.05E-07,100000,96881,50962
16.6936,11.25,6,1.2,4.15E-07,100000,96830,50868
16.6888,11.375,4.83333333333333,0.6,4.25E-07,100000,96784,50783
16.684,12.5,7.5,2.6,4.35E-07,100000,96744,50695
16.6792,12.125,5.33333333333333,1.6,4.45E-07,100000,96688,50596
16.6744,12.375,7,1.4,4.55E-07,100000,96628,50508
16.6696,10.875,7.33333333333333,0.6,4.65E-07,100000,96573,50400
16.6648,12.125,5.16666666666667,1,4.75E-07,100000,96521,50298
16.66,14,4.5,2,4.85E-07,100000,96474,50190
