#            ****  Double-differential cross section (in \AA^2/sr) ***
# Proton energy: 0.1 MeV
# Sc. Angle   Energy of ejected secondary electrons (in eV)
# (degrees)     W=10eV          50eV           100eV         200eV
  0.00E+00   5.244460E-02   3.734153E-02   5.782939E-03   1.096016E-03
  5.00E+00   4.981167E-02   3.166680E-02   5.273467E-03   9.477062E-04
  1.00E+01   4.717874E-02   2.599206E-02   4.763995E-03   7.993957E-04
  1.50E+01   4.454581E-02   2.031733E-02   4.254523E-03   6.510852E-04
  2.00E+01   4.156619E-02   1.538559E-02   3.707302E-03   4.961656E-04
  2.50E+01   3.814610E-02   1.177098E-02   3.129984E-03   3.688078E-04
  3.00E+01   3.528125E-02   9.390706E-03   2.629442E-03   2.796555E-04
  3.50E+01   3.123477E-02   7.591788E-03   2.204208E-03   2.075063E-04
  4.00E+01   2.718676E-02   6.341664E-03   1.816054E-03   1.470788E-04
  4.50E+01   2.376415E-02   5.306347E-03   1.457214E-03	  1.019318E-04
  5.00E+01   2.107665E-02   4.411934E-03   1.155574E-03   7.224369E-05
  5.50E+01   1.847909E-02   3.688507E-03   8.772900E-04   5.248243E-05
  6.00E+01   1.627298E-02   3.107225E-03   6.714594E-04   3.886839E-05
  6.50E+01   1.440992E-02   2.538361E-03   5.126865E-04   2.931609E-05
  7.00E+01   1.283529E-02   2.030927E-03   3.819715E-04   2.376337E-05
  7.50E+01   1.139105E-02   1.592434E-03   2.967809E-04   1.992189E-05
  8.00E+01   1.016245E-02   1.301707E-03   2.419458E-04   1.693170E-05
  8.50E+01   9.163617E-03   1.084569E-03   2.024585E-04   1.452747E-05
  9.00E+01   8.360941E-03   9.171548E-04   1.757796E-04   1.294286E-05
  9.50E+01   7.799154E-03   7.977599E-04   1.620529E-04   1.170380E-05
  1.00E+02   7.235912E-03   7.154087E-04   1.505255E-04   1.073131E-05
  1.05E+02   6.756598E-03   6.868247E-04   1.424525E-04   1.034102E-05
  1.10E+02   6.419569E-03   6.678649E-04   1.374159E-04   9.981820E-06
  1.15E+02   6.177497E-03   6.757700E-04   1.343708E-04   9.756273E-06
  1.20E+02   5.965489E-03   6.836751E-04   1.324209E-04   9.530726E-06
  1.25E+02   5.817090E-03   6.964715E-04   1.311000E-04   9.345192E-06
  1.30E+02   5.817090E-03   7.195391E-04   1.311000E-04   9.345192E-06
  1.35E+02   5.960187E-03   7.426067E-04   1.311000E-04   9.345192E-06
  1.40E+02   5.901139E-03   7.666560E-04   1.311000E-04   9.345192E-06
  1.45E+02   5.761767E-03   7.973342E-04   1.293649E-04   9.345192E-06
  1.50E+02   5.624557E-03   8.251086E-04   1.276012E-04   9.345192E-06
  1.55E+02   5.487348E-03   8.482834E-04   1.267480E-04   9.345192E-06
  1.60E+02   5.350139E-03   8.714583E-04   1.267480E-04   9.345192E-06
  1.65E+02   5.212929E-03   8.946331E-04   1.267480E-04   9.345192E-06
  1.70E+02   5.075720E-03   9.178079E-04   1.267480E-04   9.345192E-06
  1.75E+02   4.938510E-03   9.409827E-04   1.267480E-04   9.345192E-06
  1.80E+02   4.801301E-03   9.641576E-04   1.267480E-04   9.345192E-06
