  dE_eV         10MeV         MeV_aver    sub-MeV_aver    BraggP_aver    slow_aver
 1.26E+01   1.609251E-05   4.087458E-03   1.232790E-02   1.264470E-01   1.504000E-01
 1.50E+01   5.951942E-03   1.100000E-02   3.133530E-02   2.049483E-01   2.170666E-01
 2.00E+01   3.986962E-04   1.823500E-02   7.333350E-02   1.927421E-01   2.288533E-01
 3.00E+01   5.245358E-05   9.705000E-03   5.102826E-02   1.073476E-01   8.923571E-02
 4.00E+01   2.109785E-05   6.255000E-03   2.803976E-02   6.870014E-02   3.913500E-02
 5.00E+01   9.999076E-06   4.192500E-03   1.668964E-02   4.789372E-02   1.945693E-02
 7.00E+01   5.237381E-06   2.120000E-03   8.067015E-03   2.559970E-02   5.487788E-03
 1.00E+02   2.703519E-06   9.999787E-04   3.918951E-03   1.181792E-02   1.180913E-03
 1.50E+02   9.887844E-07   4.177915E-04   1.682171E-03   3.422848E-03   1.490197E-04
 2.00E+02   4.829229E-07   2.080602E-04   8.949873E-04   1.040613E-03   3.700017E-05
 3.00E+02   2.008093E-07   8.420515E-05   3.960367E-04   1.333591E-04   9.380063E-06
 4.00E+02   1.051987E-07   4.331002E-05   2.102843E-04   3.322263E-05   2.649515E-06
 5.00E+02   6.595442E-08   2.656995E-05   1.227702E-04   1.138892E-05   1.163298E-06
 7.00E+02   3.285453E-08   1.426205E-05   4.395579E-05   2.359232E-06   3.506594E-07
 1.00E+03   1.646384E-08   6.476762E-06   8.684806E-06   4.613984E-07   1.027820E-07
 1.50E+03   7.241842E-09   2.623777E-06   7.523147E-07   7.426208E-08   2.651570E-08
 2.00E+03   3.236024E-09   1.094840E-06   5.528144E-08   2.054222E-08   1.033228E-08
 3.00E+03   1.402113E-09   2.584753E-07   1.970421E-09   3.387071E-09   2.790075E-09
 4.00E+03   7.478110E-10   1.276721E-07   1.342664E-10   9.462743E-10   1.113471E-09
 5.00E+03   4.592440E-10   7.599009E-08   1.979630E-11   3.523817E-10   5.485930E-10
 7.00E+03   2.201677E-10   3.501272E-08   1.104679E-12   7.956581E-11   1.898456E-10
 1.00E+04   1.009933E-10   1.542975E-08   5.199519E-14   1.644840E-11   6.205692E-11
 1.50E+04   4.164219E-11   6.084621E-09   1.611422E-15   2.742966E-12   1.752451E-11
 2.00E+04   2.220968E-11   3.145765E-09   1.370207E-16   7.698747E-13   7.170278E-12
