Ang(deg)	DCS(10MeV)
0	344102.512858028
0.0089	344102.512858028
0.009	329153.636368225
0.0091	315008.7484181
0.0092	301616.473925087
0.0093	288929.229459261
0.0094	276902.90664595
0.0095	265496.585009446
0.0096	254672.271246308
0.0097	244394.66225213
0.0098	234630.929520873
0.0099	225350.522795739
0.01	216524.991079916
0.02	13768.4012542676
0.03	2747.280764477
0.04	875.5057425614
0.05	360.6051697038
0.06	174.6942176734
0.07	94.6582141852
0.08	55.6717000836
0.09	34.8576465064


100keV
0	475826.872795679
0.063	475826.872795679
0.064	448320.497087418
0.065	422794.351801023
0.066	399078.624958961
0.067	377020.33498956
0.068	356481.444302763
0.069	337337.208078552
0.07	319474.726058996
0.08	192825.586862455
0.09	123524.523614928
0.1	82935.5498809591
0.2	6032.8708743788
0.3	1302.2967105056
0.4	438.8411367522
0.5	188.7484517959
0.6	94.7312449955
0.7	52.888649484
0.8	31.9220396584
0.9	20.4493335443
1	13.7298786715
