# ang   dxs(ang)         integrando      acumul

   0   3.26320791       0.00000000       0.00000000    
   1   3.26320791       6.24535698E-03   6.24535698E-03
   2   3.26320791       1.24888113E-02   1.87341683E-02
   3   3.26320791       1.87284630E-02   3.74626294E-02
   4   3.26320791       2.49624085E-02   6.24250397E-02
   5   3.26320791       3.11887525E-02   9.36137885E-02
   6   3.26320791       3.74055915E-02  0.131019384    
   7   3.26320791       4.36110422E-02  0.174630433    
   8   3.26320791       4.98032048E-02  0.224433631    
   9   3.26320791       5.59801981E-02  0.280413836    
  10   3.26320791       6.21401407E-02  0.342553973    
  11   3.26320791       6.82811514E-02  0.410835117    
  12   3.26320791       7.44013637E-02  0.485236466    
  13   3.26320791       8.04989114E-02  0.565735400    
  14   3.26320791       8.65719542E-02  0.652307332    
  15   3.26320791       9.26185995E-02  0.744925916    
  16   3.26320791       9.86370444E-02  0.843562961    
  17   3.26320791      0.104625449      0.948188424    
  18   3.26320791      0.110581979       1.05877042    
  19   3.26320791      0.116504818       1.17527521    
  20   3.26320791      0.122392185       1.29766738    
  21   3.26320791      0.128242254       1.42590964    
  22   3.01104689      0.123694442       1.54960406    
  23   2.78832293      0.119475357       1.66907942    
  24   2.59053397      0.115547307       1.78462672    
  25   2.41401505      0.111878209       1.89650488    
  26   2.25576091      0.108440697       2.00494552    
  27   2.11328197      0.105211079       2.11015654    
  28   1.98450696      0.102169015       2.21232557    
  29   1.86769497       9.92966071E-02   2.31162214    
  30   1.76137900       9.65784118E-02   2.40820050    
  31   1.66430902       9.40005928E-02   2.50220108    
  32   1.57542300       9.15512219E-02   2.59375238    
  33   1.49380398       8.92194659E-02   2.68297195    
  34   1.41866601       8.69959667E-02   2.76996803    
  35   1.34932399       8.48720819E-02   2.85484004    
  36   1.28518403       8.28402191E-02   2.93768024    
  37   1.22572803       8.08936432E-02   3.01857400    
  38   1.17050099       7.90261924E-02   3.09760022    
  39   1.11910105       7.72321895E-02   3.17483234    
  40   1.07117498       7.55066425E-02   3.25033903    
  41   1.02641106       7.38450587E-02   3.32418418    
  42  0.984530091       7.22432286E-02   3.39642739    
  43  0.945283890       7.06973076E-02   3.46712470    
  44  0.908451378       6.92038462E-02   3.53632855    
  45  0.873834312       6.77596778E-02   3.60408831    
  46  0.841254175       6.63618594E-02   3.67045021    
  47  0.810551107       6.50077537E-02   3.73545790    
  48  0.781579971       6.36948198E-02   3.79915261    
  49  0.754210293       6.24208339E-02   3.86157346    
  50  0.728323400       6.11836612E-02   3.92275715    
  51  0.703811586       5.99813573E-02   3.98273849    
  52  0.680576980       5.88120930E-02   4.04155064    
  53  0.658530474       5.76742217E-02   4.09922504    
  54  0.637590408       5.65661564E-02   4.15579128    
  55  0.617682397       5.54864556E-02   4.21127796    
  56  0.598738074       5.44337630E-02   4.26571178    
  57  0.580694914       5.34068160E-02   4.31911850    
  58  0.563495278       5.24044298E-02   4.37152290    
  59  0.547086179       5.14255054E-02   4.42294836    
  60  0.531418920       5.04690260E-02   4.47341728    
  61  0.516448200       4.95339856E-02   4.52295113    
  62  0.502132475       4.86195013E-02   4.57157040    
  63  0.488433301       4.77247238E-02   4.61929512    
  64  0.475314796       4.68488298E-02   4.66614389    
  65  0.462743998       4.59910966E-02   4.71213484    
  66  0.450690001       4.51507904E-02   4.75728559    
  67  0.439124286       4.43272516E-02   4.80161285    
  68  0.428020209       4.35198508E-02   4.84513283    
  69  0.417353004       4.27279919E-02   4.88786077    
  70  0.407099307       4.19511087E-02   4.92981195    
  71  0.397237808       4.11886796E-02   4.97100067    
  72  0.387748092       4.04401980E-02   5.01144075    
  73  0.378611296       3.97051759E-02   5.05114603    
  74  0.369809896       3.89831886E-02   5.09012938    
  75  0.361326993       3.82737853E-02   5.12840319    
  76  0.353147298       3.75765786E-02   5.16597986    
