#Energy,Elastic,Ionisation,ElectronicExc,ChargeTransfer
1.00E+00,7.448400E+01,0,0,3.600000E-03
1.50E+00,6.807234E+01,0,0,4.858130E-03
2.00E+00,6.386079E+01,0,0,6.009299E-03
3.00E+00,5.836360E+01,0,0,8.109433E-03
4.00E+00,5.475271E+01,0,0,1.003102E-02
5.00E+00,5.210646E+01,0,0,1.182990E-02
7.00E+00,4.835609E+01,0,0,1.517046E-02
1.00E+01,4.467483E+01,0,9.642420E-05,1.974706E-02
1.26E+01,4.243304E+01,1.000000E-05,2.814380E-04,2.342590E-02
1.50E+01,4.082918E+01,3.680000E-03,4.784510E-04,2.664827E-02
2.00E+01,3.830313E+01,2.985000E-02,7.624420E-04,3.296278E-02
3.00E+01,3.500596E+01,7.653000E-02,1.680000E-03,4.448263E-02
4.00E+01,3.284019E+01,1.037300E-01,2.510000E-03,5.502312E-02
5.00E+01,3.125299E+01,1.313300E-01,3.440000E-03,6.489050E-02
7.00E+01,2.900355E+01,1.874400E-01,5.060000E-03,8.321449E-02
1.00E+02,2.678848E+01,2.734847E-01,7.260000E-03,1.086846E-01
1.50E+02,2.434483E+01,4.286201E-01,1.132000E-02,1.445521E-01
2.00E+02,2.291995E+01,5.676590E-01,1.528000E-02,1.789293E-01
3.00E+02,2.088267E+01,7.990514E-01,2.306000E-02,2.432471E-01
4.00E+02,1.962456E+01,9.878825E-01,3.134000E-02,3.012833E-01
5.00E+02,1.851138E+01,1.125945E+00,3.915000E-02,3.600158E-01
7.00E+02,1.733198E+01,1.331749E+00,5.415000E-02,4.722839E-01
1.00E+03,1.607851E+01,1.590549E+00,7.792000E-02,6.177459E-01
1.50E+03,1.498046E+01,1.894210E+00,1.177500E-01,8.355745E-01
2.00E+03,1.384486E+01,2.140248E+00,1.550500E-01,1.011408E+00
3.00E+03,1.248440E+01,2.475545E+00,2.341600E-01,1.350187E+00
4.00E+03,1.157318E+01,2.716082E+00,3.060200E-01,1.639796E+00
5.00E+03,1.073562E+01,2.948821E+00,3.740500E-01,1.856442E+00
7.00E+03,9.582250E+00,3.266723E+00,5.111500E-01,2.270736E+00
1.00E+04,8.579828E+00,3.647760E+00,6.684400E-01,2.829420E+00
1.50E+04,7.549339E+00,3.944328E+00,8.222300E-01,3.377779E+00
2.00E+04,6.726511E+00,4.203319E+00,9.237600E-01,3.753662E+00
3.00E+04,5.841563E+00,4.423292E+00,9.872000E-01,4.141949E+00
4.00E+04,5.240826E+00,4.502698E+00,9.476400E-01,4.308770E+00
5.00E+04,4.843996E+00,4.446843E+00,8.899500E-01,4.250154E+00
7.00E+04,4.111991E+00,4.331730E+00,7.497200E-01,4.111863E+00
1.00E+05,3.484484E+00,4.013189E+00,6.003600E-01,3.828892E+00
1.50E+05,2.946697E+00,3.485913E+00,4.411900E-01,3.337354E+00
2.00E+05,2.551036E+00,3.112764E+00,3.522400E-01,2.967299E+00
3.00E+05,1.996957E+00,2.506569E+00,2.562300E-01,2.458222E+00
4.00E+05,1.703884E+00,2.082429E+00,2.023900E-01,2.089761E+00
5.00E+05,1.481875E+00,1.807123E+00,1.681100E-01,1.822038E+00
7.00E+05,1.204670E+00,1.452869E+00,1.272600E-01,1.455982E+00
1.00E+06,9.112259E-01,1.100949E+00,9.535000E-02,1.114290E+00
1.50E+06,6.763773E-01,7.915286E-01,6.724000E-02,8.138969E-01
2.00E+06,5.531042E-01,6.239902E-01,5.292000E-02,6.503348E-01
3.00E+06,3.534713E-01,4.455316E-01,3.794000E-02,4.609697E-01
4.00E+06,2.413547E-01,3.418118E-01,2.987000E-02,3.569904E-01
5.00E+06,1.794529E-01,2.850763E-01,2.462000E-02,2.905971E-01
7.00E+06,1.181128E-01,2.141125E-01,1.843000E-02,2.182946E-01
1.00E+07,6.608287E-02,1.481253E-01,1.380000E-02,1.600875E-01
