# Energy , Elastic   , Ionisation , ElectronicExc, VibrationalExc
0.001,150.64,0,0,0
0.01,150.64,0,0,0
0.1,150.64,0,0,0
0.15,162.4,0,0,0
0.2,166.6,0,0,0
0.3,156.24,0,0,0
0.4,150.64,0,0,0
0.5,140.28,0,0,0
0.7,119,0,0,0
1,100.24,0,0,0
1.5,83.16,0,0,0
2,74.48,0,0,0
3,66.64,0,0,0
4,62.72,0,0,0
5,60.2,0,0,0
7,56.84,0,4.284E-06,0
10,53.76,0,0.1246,0
15,49.28,0.999898,2.4024,0
20,43.68,2.99969,4.34,1.36286
30,36.96,6.69932,4.116,0.826916
40,33.32,8.99908,3.584,0.723926
50,30.24,10.299,3.332,0
70,26.292,11.4988,3.024,0
100,22.68,11.5988,2.744,0
150,18.9,10.6989,2.52,0
200,16.436,9.69901,2.352,0
300,13.272,7.99919,2.072,0
400,11.228,6.79931,1.876,0
500,9.8,5.8994,1.736,0
700,7.84,4.69952,1.484,0
1000,6.076,3.59963,1.232,0
2000,3.5,2.0552,0.7728,0
3000,2.4724,1.4532,0.5908,0
5000,1.5456,0.9324,0.3976,0
10000,0.77,0.4984,0.224,0
