# Energy , Elastic   , Ionisation , ElectronicExc, VibrationalExc, RotationalExc 
0.1,538,0,0,0,13000
0.15,580,0,0,0,9300
0.2,595,0,0,0,7300
0.3,558,0,0,0,5160
0.4,538,0,0,0,4030
0.5,501,0,0,0,3320
0.7,425,0,0,0,2480
1,358,0,0,0,1820
1.5,297,0,0,0,1270
2,266,0,0,0,984
3,238,0,0,0,686
4,224,0,0,0,531
5,215,0,0,0,434
7,203,0,1.53E-05,0,321
10,192,0,0.445,0,232
15,176,3.5710648259,8.58,0,161
20,156,10.7131944776,15.5,0,124
30,132,23.9261343333,14.7,4.8673613577,85.6
40,119,32.1395834328,12.8,2.953270611,65.8
50,108,36.7819677064,11.9,2.5854509339,53.6
70,93.9,41.0672454974,10.8,0,39.4
100,81,41.42435198,9.8,0,28.3
150,67.5,38.2103936367,9,0,19.5
200,58.7,34.6393288109,8.4,0,14.9
300,47.4,28.5685186069,7.4,0,10.3
400,40.1,24.2832408159,6.7,0,7.85
500,35,21.0692824726,6.2,0,6.38
700,28,16.7840046816,5.3,0,4.66
1000,21.7,12.8558333731,4.4,0,3.34
2000,12.5,7.34,2.76,0,1.75
3000,8.83,5.19,2.11,0,1.2
5000,5.52,3.33,1.42,0,0.74
10000,2.75,1.78,0.8,0,0.385
