181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
  0 15.6      6.59      53.8      129       206       232       222       186       151       135       120       114       137       61        45.7      67.7      73.7      89.3      109       125       153       180       202       209       212       211       215       223       237       268       313       348       	   348       	   
  1 15.6      6.59      53.8      129       206       232       222       186       150       135       119       112       136       59.5      43.8      64.5      69.8      84.4      103       118       144       169       188       193       192       189       191       195       202       218       231       231       	   231       	   
  2 15.7      6.6       53.7      129       205       231       222       186       150       134       117       109       134       55.8      39.5      57.8      62.2      75.7      92.7      107       131       153       168       171       166       161       159       158       159       158       144       122       	   122       	   
  3 15.7      6.6       53.6      129       205       231       221       186       149       132       114       105       132       51.8      35.2      51.6      55.6      68.4      84.3      97.9      120       139       151       152       144       136       132       127       124       114       89.1      64.5      	   64.5      	   
  4 15.7      6.61      53.4      129       204       230       221       185       148       130       111       101       129       48.4      31.7      46.4      49.8      61.6      76.4      89.2      109       126       136       134       124       115       109       102       95.7      80.9      54        34.2      	   34.2      	   
  5 15.7      6.61      53.2      128       204       229       220       184       147       128       108       97.5      126       45.4      28.6      41.5      44.4      55.5      69.3      81.3      99.5      114       121       118       106       95.6      88.8      80.4      72.6      56        32.1      18.3      	   18.3      	   
  6 15.7      6.62      53        128       203       228       219       184       146       126       106       94.2      124       42.6      25.6      37        39.5      50        62.9      74        90.6      103       108       104       89.8      79.1      71.8      62.8      54.4      38.2      19.1      10.1      	   10.1      	   
  7 15.7      6.64      52.7      127       202       227       218       183       145       125       103       91        122       39.9      23        33        35.2      45        57        67.4      82.4      93.2      95.9      90.4      75.7      64.8      57.4      48.3      40        25.6      11.3      5.82      	   5.82      	   
  8 15.7      6.65      52.3      126       201       226       217       182       143       123       101       87.8      119       37.5      20.7      29.4      31.2      40.5      51.7      61.3      74.8      83.9      84.8      78.5      63.4      52.6      45.4      36.7      29.1      16.9      6.82      3.52      	   3.52      	   
  9 15.7      6.66      52        125       199       225       216       180       142       121       98.3      84.8      117       35.3      18.6      26.1      27.7      36.4      46.8      55.7      67.8      75.3      74.6      67.7      52.6      42.2      35.5      27.4      20.8      11.1      4.22      2.28      	   2.28      	   
 10 15.8      6.67      51.5      124       198       223       214       179       141       120       95.9      82        115       33.3      16.8      23.2      24.5      32.6      42.4      50.6      61.3      67.4      65.3      58.1      43.4      33.6      27.4      20.3      14.7      7.22      2.71      1.53      	   1.53      	   
 11 15.8      6.69      51        123       196       221       213       178       139       118       93.7      79.3      112       31.3      15.1      20.5      21.7      29.3      38.3      45.8      55.4      60.1      57        49.5      35.4      26.4      20.9      14.8      10.3      4.71      1.85      1.07      	   1.07      	   
 12 15.8      6.71      50.5      122       194       219       211       177       138       116       91.5      76.7      110       29.6      13.7      18.1      19.1      26.3      34.6      41.5      49.9      53.4      49.4      42        28.7      20.6      15.8      10.7      7.09      3.12      1.34      0.763     	   0.763     	   
 13 15.8      6.73      50        121       192       218       209       175       136       114       89.4      74.1      107       28.1      12.4      16        16.8      23.5      31.3      37.5      44.8      47.3      42.7      35.4      23.1      15.9      11.8      7.61      4.88      2.12      1.01      0.546     	   0.546     	   
 14 15.9      6.75      49.4      120       190       215       207       173       135       113       87.2      71.7      105       26.6      11.2      14.1      14.8      21.1      28.2      33.8      40.1      41.8      36.7      29.6      18.4      12.1      8.69      5.38      3.37      1.51      0.794     0.414     	   0.414     	   
 15 15.9      6.78      48.8      119       188       213       205       172       133       111       85.2      69.4      103       25.3      10.2      12.4      13        18.9      25.4      30.5      35.9      36.7      31.3      24.6      14.5      9.13      6.34      3.78      2.34      1.13      0.621     0.306     	   0.306     	   
 16 15.9      6.8       48.1      117       186       211       203       170       132       109       83.2      67.2      100       24        9.34      10.9      11.4      16.9      22.9      27.4      32        32.2      26.7      20.4      11.3      6.81      4.57      2.66      1.67      0.9       0.507     0.246     	   0.246     	   
 17 16        6.82      47.4      116       184       208       201       168       130       108       81.3      65.1      97.6      22.9      8.55      9.58      10        15.1      20.6      24.6      28.5      28.1      22.6      16.7      8.78      5.02      3.27      1.88      1.24      0.745     0.408     0.194     	   0.194     	   
 18 16        6.85      46.7      114       181       206       199       166       129       106       79.5      63        95        21.8      7.84      8.39      8.75      13.5      18.5      22        25.2      24.5      19        13.6      6.72      3.66      2.32      1.36      0.964     0.643     0.34      0.166     	   0.166     	   
 19 16        6.87      45.9      112       178       203       196       164       127       104       77.7      61.1      92.4      20.8      7.23      7.35      7.65      12.1      16.6      19.7      22.3      21.2      15.9      11        5.1       2.63      1.64      1.01      0.79      0.56      0.282     0.142     	   0.142     	   
 20 16.1      6.9       45.1      111       176       200       194       162       125       103       75.9      59.2      89.8      19.9      6.67      6.43      6.68      10.8      14.9      17.6      19.7      18.3      13.2      8.85      3.81      1.88      1.17      0.79      0.68      0.491     0.238     0.125     	   0.125     	   
 21 16.1      6.93      44.3      109       173       197       191       160       123       101       74.2      57.4      87.2      19.1      6.18      5.61      5.83      9.63      13.3      15.7      17.3      15.8      11        7.05      2.81      1.33      0.847     0.65      0.608     0.433     0.204     0.11      	   0.11      	   
 22 16.2      6.96      43.5      107       170       194       189       158       122       99.5      72.5      55.7      84.5      18.3      5.74      4.89      5.09      8.61      11.9      14        15.2      13.5      9.01      5.57      2.05      0.931     0.63      0.561     0.553     0.379     0.176     0.0957    	   0.0957    	   
 23 16.2      6.99      42.6      105       167       191       186       156       120       97.8      70.8      54        81.9      17.5      5.35      4.26      4.44      7.71      10.7      12.5      13.3      11.6      7.37      4.36      1.47      0.657     0.492     0.508     0.511     0.334     0.156     0.0845    	   0.0845    	   
 24 16.2      7.02      41.7      103       164       188       183       154       118       96.2      69.2      52.4      79.1      16.8      5         3.71      3.88      6.91      9.58      11.1      11.7      9.86      5.99      3.37      1.03      0.469     0.403     0.469     0.469     0.291     0.138     0.0736    	   0.0736    	   
 25 16.3      7.05      40.8      101       161       185       180       152       116       94.6      67.7      50.9      76.4      16.2      4.69      3.22      3.4       6.21      8.59      9.86      10.2      8.38      4.84      2.58      0.713     0.347     0.352     0.443     0.433     0.257     0.125     0.0646    	   0.0646    	   
 26 16.3      7.08      39.9      99.5      158       181       177       149       115       92.9      66.1      49.4      73.7      15.5      4.4       2.8       2.97      5.6       7.71      8.77      8.91      7.11      3.89      1.95      0.484     0.271     0.322     0.419     0.396     0.225     0.113     0.0566    	   0.0566    	   
 27 16.4      7.1       39        97.4      155       178       175       147       113       91.3      64.6      48        70.9      14.9      4.14      2.43      2.62      5.06      6.93      7.81      7.78      6.02      3.1       1.45      0.325     0.227     0.307     0.399     0.363     0.199     0.103     0.0495    	   0.0495    	   
 28 16.4      7.13      38        95.3      151       174       172       145       111       89.7      63.2      46.6      68.2      14.3      3.9       2.11      2.31      4.59      6.25      6.97      6.8       5.08      2.46      1.07      0.219     0.206     0.299     0.378     0.33      0.176     0.0927    0.0435    	   0.0435    	   
 29 16.4      7.16      37        93.2      148       171       169       143       109       88.1      61.7      45.2      65.4      13.8      3.68      1.84      2.05      4.19      5.66      6.23      5.94      4.3       1.94      0.768     0.152     0.2       0.296     0.358     0.299     0.156     0.0837    0.0388    	   0.0388    	   
 30 16.5      7.19      36.1      91.1      145       168       166       140       107       86.5      60.3      44        62.7      13.2      3.48      1.6       1.83      3.85      5.14      5.6       5.21      3.63      1.52      0.543     0.116     0.204     0.296     0.339     0.271     0.14      0.0751    0.0345    	   0.0345    	   
