#  Energy           Total            Elastic             Ionisation    ElectronicExc    
  0.100000001       58.2400017       58.2400017          0.00000000       0.00000000          
  0.150000006       25.5079994       25.5079994          0.00000000       0.00000000          
  0.200000003       122.919998       122.919998          0.00000000       0.00000000          
  0.300000012       202.440002       202.440002          0.00000000       0.00000000          
  0.400000006       248.919998       248.919998          0.00000000       0.00000000          
  0.500000000       256.760010       256.760010          0.00000000       0.00000000          
  0.699999988       224.000000       224.000000          0.00000000       0.00000000          
   1.00000000       173.039993       173.039993          0.00000000       0.00000000          
   1.50000000       122.919998       122.919998          0.00000000       0.00000000          
   2.00000000       94.6399994       94.6399994          0.00000000       0.00000000          
   3.00000000       62.7200012       62.7200012          0.00000000       0.00000000          
   4.00000000       44.5200005       44.5200005          0.00000000       0.00000000          
   5.00000000       62.4399986       62.4399986          0.00000000       0.00000000          
   7.00000000       23.1840000       22.7919998          0.00000000       0.397599995         
   10.0000000       13.2439995       10.4720001          0.00000000       2.77480006          
   15.0000000       13.0760002       6.72000027          1.39685655       4.95914364          
   20.0000000       13.6360006       5.90799999          3.03017330       4.69782686          
   30.0000000       14.8400002       6.83199978          4.47369194       3.56230831          
   40.0000000       15.3439999       7.67199993          4.78222752       2.88977265          
   50.0000000       15.2600002       8.06400013          4.71545410       2.48054576          
   70.0000000       14.6160002       8.11999989          4.44483423       2.02316546          
   100.000000       13.2439995       7.53200006          4.03523302       1.67676723          
   150.000000       11.2560005       6.35600042          3.51705909       1.38294089          
   200.000000       9.74399948       5.37600040          3.17132068       1.22467947          
   300.000000       7.75600004       4.03200006          2.69617510       1.02782476          
   400.000000       6.60800028       3.30400014          2.38972211      0.914278090          
   500.000000       5.88000011       2.85599995          2.16374373      0.832256436          
   700.000000       4.95600033       2.37719989          1.85387111      0.727728784          
   1000.00000       4.19999981       1.99640000          1.55850255      0.633897424          
   2000.00000       2.99600005       1.43919992          1.08200645      0.480393589          
   5000.00000       1.86760008      0.915600002         0.636607468      0.315392494          
   10000.0000       1.27680004      0.641200006         0.414508343      0.221091643          
   20000.0000      0.854396224      0.441521555         0.262527108      0.150319517          
   50000.0000      0.484533995      0.269807845         0.132565677      8.21604803E-02      
   100000.000      0.309067875      0.188011408         7.53557831E-02   4.56727147E-02      
   1000000.00      7.21538141E-02   5.54287918E-02      1.26359314E-02   8.30776244E-03      
