#  Energy           Total            Elastic               Ionisation    ElectronicExc    
  0.100000001       8.32719994       8.32719994            0.00000000       0.00000000          
  0.150000006       8.32719898       8.32719898            0.00000000       0.00000000          
  0.200000003       8.32719994       8.32719994            0.00000000       0.00000000          
  0.300000012       8.32719994       8.32719994            0.00000000       0.00000000          
  0.400000006       8.32720089       8.32720089            0.00000000       0.00000000          
  0.500000000       8.32720089       8.32720089            0.00000000       0.00000000          
  0.699899971       8.32719994       8.32719994            0.00000000       0.00000000          
   1.00000000       8.33343697       8.33343697            0.00000000       0.00000000          
   1.50000000       8.32322788       8.32322788            0.00000000       0.00000000          
   2.00000000       8.31998062       8.31998062            0.00000000       0.00000000          
   3.00000000       8.33988571       8.33988571            0.00000000       0.00000000          
   4.00000000       8.34179497       8.34179497            0.00000000       0.00000000          
   5.00000000       8.31213379       8.31213379            0.00000000       0.00000000          
   7.00000000       8.32673740       8.18397045            0.00000000      0.142767057          
   10.0000000       8.32691860       6.58268356            0.00000000       1.74423516          
   15.0000000       8.32818031       4.28000689           0.889666021       3.15850735          
   20.0000000       8.32386780       3.60643959            1.84971845       2.86770940          
   30.0000000       8.34122849       3.83288050            2.50982523       1.99852204          
   40.0000000       8.33384609       4.16692305            2.59738970       1.56953335          
   50.0000000       8.32161236       4.39747572            2.57144046       1.35269582          
   70.0000000       8.31833935       4.63016939            2.53452420       1.15364528          
   100.000000       8.32700634       4.73565483            2.53710437       1.05424738          
   150.000000       8.24194717       4.65403509            2.57528567       1.01262653          
   200.000000       8.01529980       4.40956354            2.60121632       1.00452030          
   300.000000       7.32254744       3.80666709            2.54549646      0.970383704          
   400.000000       6.60346460       3.30173230            2.38808155      0.913650513          
   500.000000       5.85200024       2.85599995            2.16374373      0.832256436          
   700.000000       4.95879984       2.37719989            1.85387111      0.727728784          
   1000.00000       4.18879986       1.99640000            1.55850255      0.633897424          
   2000.00000       3.00159979       1.43919992            1.08200645      0.480393589          
   5000.00000       1.86760008      0.915600002           0.636607468      0.315392494          
   10000.0000       1.27680004      0.641200006           0.414508343      0.221091643          
   20000.0000      0.854396224      0.441521555           0.262527108      0.150319517          
   50000.0000      0.484533995      0.269807845           0.132565677      8.21604803E-02      
   100000.000      0.309067875      0.188011408           7.53557831E-02   4.56727147E-02      
   1000000.00      7.21538141E-02   5.54287918E-02        1.26359314E-02   8.30776244E-03      

