#Energy , Positronium , Annihilation
0.004 , 0 , 20
0.0115 , 0 , 20
0.1 , 0 , 0.9691465106
0.15 , 0 , 0.8494497743
0.2 , 0 , 0.7076598881
0.3 , 0 , 0.48800411
0.4 , 0 , 0.3526143985
0.5 , 0 , 0.267379161
0.7 , 0 , 0.1712374867
1 , 0 , 0.1041658647
1.5 , 0 , 0.0581190721
2 , 0 , 0.0381443321
3 , 0 , 0.0209470086
4 , 0 , 0.0136559005
5 , 0 , 0.0097904574
6 , 7.50E-01 , 0.0074566125
7 , 1.45E+00 , 0
10 , 2.42E+00 , 0
12 , 2.66E+00 , 0
15 , 2.92E+00 , 0
20 , 2.73E+00 , 0
30 , 2.28E+00 , 0
40 , 1.71E+00 , 0
50 , 1.31E+00 , 0
60 , 1.09 , 0
70 , 0.644 , 0
100 , 0.28 , 0
150 , 0.084 , 0
200 , 0.0336 , 0
300 , 0.0112 , 0
400 , 0.0056 , 0
500 , 0.001 , 0
700 , 0 , 0
1000 , 0 , 0
2000 , 0 , 0
3000 , 0 , 0
4000 , 0 , 0
5000 , 0 , 0
7000 , 0 , 0
10000 , 0 , 0
10000 , 0 , 0
15000 , 0 , 0
20000 , 0 , 0
30000 , 0 , 0
40000 , 0 , 0
50000 , 0 , 0
70000 , 0 , 0
100000 , 0 , 0
150000 , 0 , 0
200000 , 0 , 0
300000 , 0 , 0
400000 , 0 , 0
500000 , 0 , 0
700000 , 0 , 0
1000000 , 0 , 0
1500000 , 0 , 0
2000000 , 0 , 0
3000000 , 0 , 0
4000000 , 0 , 0
 ,  , 
